,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85100452543,10.1109/STA50679.2020.9329315,,,A disruptive M2M social paradigm for Industry 4.0,cp,Conference Paper,Kilani R.,,LR-16ES22 Gabes University,,Tunisia,,,,,2020-12-20,20 December 2020,Proceedings - STA 2020: 2020 20th International Conference on Sciences and Techniques of Automatic Control and Computer Engineering,,21101036607,,Conference Proceeding,,,9329315,101-106,,,1,0,,,,,
1,2-s2.0-85103283733,10.1049/iet-spr.2020.0373,,,Tensor methods for multisensor signal processing,ar,Article,Miron S.,,CRAN Centre de Recherche en Automatique de Nancy,Vandoeouvre-les-Nancy,France,,,,,2020-12-18,18 December 2020,IET Signal Processing,17519675,6100153106,17519683,Journal,14,10,,693-709,,,4,1,repositoryam,Green,,,
2,2-s2.0-85091071931,10.1016/j.ejmech.2020.112834,S0223523420308060,32966897,"Corrigendum to “New desulfured troglitazone derivatives: Improved synthesis and biological evaluation” [Eur. J. Med. Chem. 187 (2020) 111939] (European Journal of Medicinal Chemistry (2020) 187, (S0223523419310918), (10.1016/j.ejmech.2019.111939))",er,Erratum,Dupommier D.,,Université de Lorraine,Nancy,France,,,,,2020-12-15,15 December 2020,European Journal of Medicinal Chemistry,02235234,17464,17683254,Journal,208,,112834,,,,0,0,,,,,
3,2-s2.0-85099887400,10.1109/CDC42340.2020.9304506,,,Formation control using optimal time multiplexing,cp,Conference Paper,Oza H.,,Indian Institute of Technology Bombay,Mumbai,India,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304506,4055-4059,,,0,0,repositoryam,Green,,,
4,2-s2.0-85099887287,10.1109/CDC42340.2020.9304429,,,Stochastic stabilisation and power control for nonlinear feedback loops communicating over lossy wireless networks,cp,Conference Paper,Maass A.I.,,University of Melbourne,Parkville,Australia,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304429,1866-1871,,,1,0,repositoryam,Green,,,
5,2-s2.0-85099883308,10.1109/CDC42340.2020.9303741,,,Event-Triggered Control in Presence of Measurement Noise: A Space-Regularization Approach,cp,Conference Paper,Scheres K.J.A.,,Technische Universiteit Eindhoven,Eindhoven,Netherlands,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9303741,6234-6239,,,2,0,repositoryam,Green,,,
6,2-s2.0-85099880363,10.1109/CDC42340.2020.9303972,,,Time-based transmission power policies for energy-efficient wireless control of nonlinear systems,cp,Conference Paper,Varma V.S.,,CRAN Centre de Recherche en Automatique de Nancy,Vandoeouvre-les-Nancy,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9303972,1854-1859,,,1,0,repositoryam,Green,,,
7,2-s2.0-85099880221,10.1109/CDC42340.2020.9304177,,,LMI-based output feedback control of singularly perturbed systems with guaranteed cost,cp,Conference Paper,Tognetti E.S.,,Universidade de Brasília,Brasilia,Brazil,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304177,4566-4571,,,0,0,repositoryam,Green,,,
8,2-s2.0-85099878663,10.1109/CDC42340.2020.9303774,,,A unifying event-triggered control framework based on a hybrid small-gain theorem,cp,Conference Paper,Wang W.,,University of Melbourne,Parkville,Australia,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9303774,4979-4984,,,0,0,repositoryam,Green,,,
9,2-s2.0-85099878257,10.1109/CDC42340.2020.9304229,,,Structural Risk Minimization for Switched System Identification,cp,Conference Paper,Massucci L.,,LORIA Laboratoire Lorrain de Recherche en Informatique et ses Applications,Vandoeouvre-les-Nancy,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304229,1002-1007,,,2,0,repositoryam,Green,,,
