,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85099038706,10.3389/fphy.2020.578605,,,Implementation of a Compact Spot-Scanning Proton Therapy System in a GPU Monte Carlo Code to Support Clinical Routine,ar,Article,Gajewski J.,,Henryk Niewodniczanski Institute of Nuclear Physics of the Polish Academy of Sciences,Krakow,Poland,,,,,2020-12-23,23 December 2020,Frontiers in Physics,,21100831025,2296424X,Journal,8,,578605,,,,2,1,repositoryvor,Green,,,
1,2-s2.0-85086405182,10.1088/1361-6560/ab7a6c,,,Ultra-fast prompt gamma detection in single proton counting regime for range monitoring in particle therapy,ar,Article,Marcatili S.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-12-21,21 December 2020,Physics in Medicine and Biology,00319155,29203,13616560,Journal,65,24,245033,,,,9,0,repositoryam,Green,,,
2,2-s2.0-85100272190,10.1109/ICSP48669.2020.9320925,,,Deep Group-Wise Angular Translation of Cardiac Diffusion MRI in q-space via Manifold Regularized GAN,cp,Conference Paper,He Y.,,Université Claude Bernard Lyon 1,Villeurbanne,France,,,,,2020-12-06,6 December 2020,"International Conference on Signal Processing Proceedings, ICSP",,21101034509,,Conference Proceeding,2020-December,,9320925,511-515,,,0,0,repositoryam,Green,,,
3,2-s2.0-85100256590,10.1109/ICSP48669.2020.9321058,,,Towards a multi-scale virtual heart model,cp,Conference Paper,Wang Z.,,CREATIS (Centre de Recherche en Acquisition et Traitement de l'Image pour la Santé),Villeurbanne,France,,,,,2020-12-06,6 December 2020,"International Conference on Signal Processing Proceedings, ICSP",,21101034509,,Conference Proceeding,2020-December,,9321058,521-526,,,0,0,repositoryam,Green,,,
4,2-s2.0-85100255461,10.1109/ICSP48669.2020.9321056,,,CASPER: Conventional CT database Augmentation using deep learning based SPEctral CT images geneRation,cp,Conference Paper,Lartaud P.J.,,CREATIS (Centre de Recherche en Acquisition et Traitement de l'Image pour la Santé);Philips Research,Villeurbanne;Eindhoven,France;Netherlands,,,,,2020-12-06,6 December 2020,"International Conference on Signal Processing Proceedings, ICSP",,21101034509,,Conference Proceeding,2020-December,,9321056,537-541,,,1,0,,,,,
5,2-s2.0-85100233370,10.1109/ICSP48669.2020.9321051,,,Simulation of water diffusion through a simple virtual cardiac cell model: optimization of Monte Carlo parameters and observation by simulated MRI,cp,Conference Paper,Jing Y.,,CREATIS (Centre de Recherche en Acquisition et Traitement de l'Image pour la Santé),Villeurbanne,France,,,,,2020-12-06,6 December 2020,"International Conference on Signal Processing Proceedings, ICSP",,21101034509,,Conference Proceeding,2020-December,,9321051,527-532,,,0,0,,,,,
6,2-s2.0-85097446268,10.1186/s13613-020-00783-4,,,Protracted viral shedding and viral load are associated with ICU mortality in Covid-19 patients with acute respiratory failure,ar,Article,Bitker L.,,Université Claude Bernard Lyon 1;Hopital de la Croix-Rousse,Villeurbanne;Lyon,France;France,,,,,2020-12-01,December 2020,Annals of Intensive Care,,21100200831,21105820,Journal,10,1,167,,,,8,1,publisherfullgold,Gold,,,
7,2-s2.0-85096885360,10.1109/TUFFC.2020.3003403,,32746187,LU-Net: A Multistage Attention Network to Improve the Robustness of Segmentation of Left Ventricular Structures in 2-D Echocardiography,ar,Article,Leclerc S.,,Université Claude Bernard Lyon 1,Villeurbanne,France,,,,,2020-12-01,December 2020,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",08853010,12998,15258955,Journal,67,12,9120082,2519-2530,,,7,0,repositoryam,Green,,,
8,2-s2.0-85096884328,10.1109/TUFFC.2020.2981037,,32175861,Real-Time Automatic Ejection Fraction and Foreshortening Detection Using Deep Learning,ar,Article,Smistad E.,,Norges Teknisk-Naturvitenskapelige Universitet;SINTEF Foundation for Scientific and Industrial Research,Trondheim;Trondheim,Norway;Norway,,,,,2020-12-01,December 2020,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",08853010,12998,15258955,Journal,67,12,9037081,2595-2604,,,14,1,repositoryam,Green,,,
9,2-s2.0-85096883322,10.1109/TUFFC.2020.2986166,,32286972,Reconstruction for Diverging-Wave Imaging Using Deep Convolutional Neural Networks,ar,Article,Lu J.,,CREATIS (Centre de Recherche en Acquisition et Traitement de l'Image pour la Santé);Harbin Institute of Technology,Villeurbanne;Harbin,France;China,,,,,2020-12-01,December 2020,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",08853010,12998,15258955,Journal,67,12,9057682,2481-2492,,,10,0,repositoryam,Green,,,
10,2-s2.0-85096715870,10.1038/s41598-020-76528-x,,33244043,White matter microarchitecture and structural network integrity correlate with children intelligence quotient,ar,Article,Suprano I.,,Institut National des Sciences Appliquées de Lyon,Villeurbanne,France,,,,,2020-12-01,December 2020,Scientific Reports,,21100200805,20452322,Journal,10,1,20722,,,,2,1,repositoryvor,Green,,,
11,2-s2.0-85095283557,10.1109/TUFFC.2020.2976809,,32112679,A Pilot Study on Convolutional Neural Networks for Motion Estimation from Ultrasound Images,ar,Article,Evain E.,,Royal Philips;Institut National des Sciences Appliquées de Lyon,Amsterdam;Villeurbanne,Netherlands;France,,,,,2020-12-01,December 2020,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",08853010,12998,15258955,Journal,67,12,9016110,2565-2573,,,10,0,repositoryam,Green,,,
12,2-s2.0-85094145959,10.1186/s40644-020-00354-7,,33115533,MRI-based radiomics to predict lipomatous soft tissue tumors malignancy: a pilot study,ar,Article,Leporq B.,,Institut National des Sciences Appliquées de Lyon,Villeurbanne,France,,,,,2020-12-01,1 December 2020,Cancer Imaging,,4000149001,14707330,Journal,20,1,78,,,,5,1,repositoryvor,Green,,,
13,2-s2.0-85092292281,10.1038/s41598-020-74046-4,,33037284,Neuroprotection by remote ischemic conditioning in the setting of acute ischemic stroke: a preclinical two-centre study,ar,Article,Basalay M.V.,,University College London,London,United Kingdom,,,,,2020-12-01,1 December 2020,Scientific Reports,,21100200805,20452322,Journal,10,1,16874,,,,5,1,repositoryam,Green,,,
14,2-s2.0-85092080355,10.1016/j.acvd.2020.05.020,S1875213620301972,33032943,Therapeutic management and outcome of nonagenarians versus octogenarians admitted to an intensive care unit for acute coronary syndromes,ar,Article,Kochly F.,,Hopital de la Croix-Rousse,Lyon,France,,,,,2020-12-01,December 2020,Archives of Cardiovascular Diseases,18752136,11300153709,18752128,Journal,113,12,,780-790,,,4,1,publisherfree2read,Bronze,,,
15,2-s2.0-85091721289,10.1186/s13613-020-00745-w,,,Transpulmonary pressures in obese and non-obese COVID-19 ARDS,le,Letter,Mezidi M.,,Université Claude Bernard Lyon 1;Hopital de la Croix-Rousse,Villeurbanne;Lyon,France;France,,,,,2020-12-01,1 December 2020,Annals of Intensive Care,,21100200831,21105820,Journal,10,1,129,,,,6,1,repositoryvor,Green,,,
