,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85098755840,10.1109/ICTAI50040.2020.00015,,,Model-based Merging of Open-Domain Ontologies,cp,Conference Paper,Bouraoui Z.,,Universite d'Artois,Arras,France,,,,,2020-11-01,November 2020,"Proceedings - International Conference on Tools with Artificial Intelligence, ICTAI",10823409,145117,,Conference Proceeding,2020-November,,9288242,29-34,,,0,0,,,,,
1,2-s2.0-85051965387,10.1080/17445760.2018.1499908,,,A MaxSAT based approach for QoS cloud services,ar,Article,Ait Wakrime A.,,Institut de Recherche Technologique Railenium,Valenciennes,France,,,,,2020-11-01,1 November 2020,"International Journal of Parallel, Emergent and Distributed Systems",17445760,100147332,17445779,Journal,35,6,,641-651,,,1,0,,,,,
2,2-s2.0-85092728981,10.3233/FAIA200573,,,Cohesive subgraph models for overlapping community search over networks,cp,Conference Paper,Adeyl K.,,Higher Institute of Computer Science and Mathematics,Monastir,Tunisia,,,,,2020-09-15,15 September 2020,Frontiers in Artificial Intelligence and Applications,09226389,19500157321,,Book Series,327,,,282-293,,,0,0,,,,,
3,2-s2.0-85091785336,10.3233/FAIA200155,,,Minimality of combined qualitative constraint networks,cp,Conference Paper,Cohen-Solal Q.,,Universite d'Artois,Arras,France,,,,,2020-08-24,24 August 2020,Frontiers in Artificial Intelligence and Applications,09226389,19500157321,,Book Series,325,,,688-695,,,0,0,,,,,
4,2-s2.0-85091744640,10.3233/FAIA200108,,,Segmented tables: An efficient modeling tool for constraint reasoning,cp,Conference Paper,Audemard G.,,Universite d'Artois,Arras,France,,,,,2020-08-24,24 August 2020,Frontiers in Artificial Intelligence and Applications,09226389,19500157321,,Book Series,325,,,315-322,,,3,0,,,,,
5,2-s2.0-85064478494,10.1002/cpe.5282,,,Cloud service composition using minimal unsatisfiability and genetic algorithm,cp,Conference Paper,Ait Wakrime A.,,Institut de Recherche Technologique Railenium,Famars,France,,,,,2020-08-10,10 August 2020,Concurrency and Computation: Practice and Experience,15320626,27871,15320634,Journal,32,15,e5282,,,,7,0,,,,,
6,2-s2.0-85093851697,10.1142/S0218488520500245,,,A Weighted-Logic Representation of C-Revising Ordinal Conditional Functions,ar,Article,Laaziz S.,,Université des Sciences et de la Technologie Houari Boumediene,Algiers,Algeria,,,,,2020-08-01,1 August 2020,"International Journal of Uncertainty, Fuzziness and Knowlege-Based Systems",02184885,24326,,Journal,28,4,,569-589,,,0,0,,,,,
7,2-s2.0-85086853761,10.1142/S0218213020600052,,,Possibilistic Networks: Computational Analysis of MAP and MPE Inference,cp,Conference Paper,Levray A.,,The University of Edinburgh,Edinburgh,United Kingdom,,,,,2020-06-01,1 June 2020,International Journal on Artificial Intelligence Tools,02182130,4700152645,17936349,Journal,29,3-4,2060005,,,,0,0,,,,,
8,2-s2.0-85083383412,10.1007/s00607-020-00803-y,,,SAT-based models for overlapping community detection in networks,ar,Article,Jabbour S.,,Universite d'Artois,Arras,France,,,,,2020-05-01,1 May 2020,Computing,0010485X,24407,14365057,Journal,102,5,,1275-1299,,,4,0,,,,,
9,2-s2.0-85079145088,10.1007/s10601-019-09307-9,,,XCSP<sup>3</sup> and its ecosystem,ar,Article,Audemard G.,,Universite d'Artois,Arras,France,,,,,2020-04-01,1 April 2020,Constraints,13837133,24175,15729354,Journal,25,1-2,,47-69,,,1,0,,,,,
10,2-s2.0-85077734835,10.1016/j.artint.2019.103229,S0004370218303928,,Definability for model counting,ar,Article,Lagniez J.M.,,Huawei Technologies Ltd,Boulogne-Billancourt,France,,,,,2020-04-01,April 2020,Artificial Intelligence,00043702,23675,,Journal,281,,103229,,,,3,1,repositoryvor,Green,,,
11,2-s2.0-85083033732,10.1145/3341105.3373940,,,On satisfiability problem in modal logic S5,cp,Conference Paper,Salhi Y.,,Universite d'Artois,Arras,France,,,,,2020-03-30,30 March 2020,Proceedings of the ACM Symposium on Applied Computing,,89358,,Conference Proceeding,,,,948-955,,,0,0,,,,,
12,2-s2.0-85108240443,10.1613/JAIR.1.11750,,,Graph width measures for CNF-encodings with auxiliary variables,ar,Article,Mengel S.,,Universite d'Artois,Arras,France,,,,,2020-02-01,February 2020,Journal of Artificial Intelligence Research,10769757,24330,,Journal,67,,,409-436,,,0,1,publisherfree2read,Bronze,,,
13,2-s2.0-85106558782,,,,Inducing relational knowledge from BERT,cp,Conference Paper,Bouraoui Z.,,Universite d'Artois,Arras,France,,,,,2020-01-01,2020,AAAI 2020 - 34th AAAI Conference on Artificial Intelligence,,21101046626,,Conference Proceeding,,,,7456-7463,,,35,0,,,,,
14,2-s2.0-85106421916,,,,A framework for measuring information asymmetry,cp,Conference Paper,Salhi Y.,,Centre de Recherche en Informatique de Lens,Lens,France,,,,,2020-01-01,2020,AAAI 2020 - 34th AAAI Conference on Artificial Intelligence,,21101046220,,Conference Proceeding,,,,2983-2990,,,0,0,,,,,
15,2-s2.0-85104597001,,,,Non-prioritized iterated revision: Improvement via incremental belief merging,cp,Conference Paper,Schwind N.,,National Institute of Advanced Industrial Science and Technology,Tsukuba,Japan,,,,,2020-01-01,2020,"17th International Conference on Principles of Knowledge Representation and Reasoning, KR 2020",,21101043274,,Conference Proceeding,2,,,737-746,,,1,0,,,,,
