,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85103283733,10.1049/iet-spr.2020.0373,,,Tensor methods for multisensor signal processing,ar,Article,Miron S.,,CRAN Centre de Recherche en Automatique de Nancy,Vandoeouvre-les-Nancy,France,,,,,2020-12-18,18 December 2020,IET Signal Processing,17519675,6100153106,17519683,Journal,14,10,,693-709,,,4,1,repositoryam,Green,,,
1,2-s2.0-85091246246,10.1016/j.knosys.2020.106429,S095070512030558X,,Similarity-based constraint score for feature selection,ar,Article,Salmi A.,,Université Mouloud Mammeri de Tizi Ouzou,Tizi Ouzou,Algeria,,,,,2020-12-17,17 December 2020,Knowledge-Based Systems,09507051,24772,,Journal,209,,106429,,,,1,0,,,,,
2,2-s2.0-85097847320,10.1021/acs.analchem.0c03208,,,Automatic Annotation and Dereplication of Tandem Mass Spectra of Peptidic Natural Products,ar,Article,Ricart E.,,Swiss Institute of Bioinformatics;Université de Genève,Geneva;Geneva,Switzerland;Switzerland,,,,,2020-12-15,15 December 2020,Analytical Chemistry,00032700,23915,15206882,Journal,92,24,,15862-15871,,,6,1,publisherfree2read,Bronze,,,
3,2-s2.0-85099886318,10.1109/CDC42340.2020.9303940,,,Fixed-time convergent consensus algorithm of networked nonholonomic multi-agent systems,cp,Conference Paper,Defoort M.,,Université Polytechnique Hauts-de-France,Valenciennes,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9303940,3537-3542,,,1,0,repositoryam,Green,,,
4,2-s2.0-85099884697,10.1109/CDC42340.2020.9304415,,,A note on non asymptotic stabilization of linear time delay systems,cp,Conference Paper,Perruquetti W.,,"Centre de Recherche en Informatique, Signal et Automatique de Lille ( CRISTAL )",Villeneuve-d'Ascq,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304415,757-762,,,0,0,repositoryam,Green,,,
5,2-s2.0-85099882185,10.1109/CDC42340.2020.9304275,,,Synchronization of Perturbed Linear Systems with Data-Rate Constraints,cp,Conference Paper,Voortman Q.,,Technische Universiteit Eindhoven,Eindhoven,Netherlands,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304275,5804-5809,,,1,0,repositoryam,Green,,,
6,2-s2.0-85099882102,10.1109/CDC42340.2020.9303910,,,Exponential Synchronization of Nonlinear Oscillators under Sampled-Data Coupling,cp,Conference Paper,Thomas J.,,Université de Lille,Lille,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9303910,1824-1829,,,1,0,repositoryam,Green,,,
7,2-s2.0-85099880881,10.1109/CDC42340.2020.9304432,,,Prescribed-time predictor control of LTI systems with input delay,cp,Conference Paper,Espitia N.,,Université de Lille,Lille,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304432,2477-2482,,,1,0,repositoryam,Green,,,
8,2-s2.0-85099878807,10.1109/CDC42340.2020.9303953,,,On interval prediction of COVID-19 development in France based on a SEIR epidemic model,cp,Conference Paper,Efimov D.,,Université de Lille,Lille,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9303953,3883-3888,,,3,1,repositoryam,Green,,,
9,2-s2.0-85099876175,10.1109/CDC42340.2020.9304421,,,On finite-time stabilization of a class of nonlinear time-delay systems: Implicit Lyapunov-Razumikhin approach,cp,Conference Paper,Nekhoroshikh A.N.,,"Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO",Saint Petersburg,Russian Federation,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304421,1975-1980,,,1,0,repositoryam,Green,,,
