,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85099276988,10.23919/PEMWN50727.2020.9293080,,,"On the problem of finding ""sets ensuring linearly independent transversals"" (SELIT), and its application to network coding",cp,Conference Paper,Malik H.,,INRIA Saclay,Palaiseau,France,,,,,2020-12-01,1 December 2020,"2020 9th IFIP International Conference on Performance Evaluation and Modeling in Wireless Networks, PEMWN 2020",,21101033876,,Conference Proceeding,,,9293080,,,,0,0,repositoryam,Green,,,
1,2-s2.0-85099022336,10.1007/s13740-020-00117-4,,,Recommending Geo-semantically Related Classes for Link Discovery,ar,Article,Kopsachilis V.,,University of the Aegean,Mytilene,Greece,,,,,2020-12-01,December 2020,Journal on Data Semantics,18612032,21100466219,18612040,Journal,9,4,,151-177,,,2,0,,,,,
2,2-s2.0-85097739238,10.1109/LWC.2020.3015920,,,Index Modulation Aided Uplink NOMA for Massive Machine Type Communications,ar,Article,Shahab M.B.,,"The University of Newcastle, Australia",Callaghan,Australia,,,,,2020-12-01,December 2020,IEEE Wireless Communications Letters,21622337,21100203111,21622345,Journal,9,12,9165182,2159-2162,,,7,0,repositoryvor,Green,,,
3,2-s2.0-85097190798,10.1142/S0219649220500410,,,Personalized Retrieval in the Medical Domain: A NoSQL Solution Based on Ontology Building,ar,Article,Besbes G.,,Equipes Traitement de l'Information et Systèmes,Cergy-Pontoise,France,,,,,2020-12-01,December 2020,Journal of Information and Knowledge Management,02196492,21100237436,,Journal,19,4,2050041,,,,0,0,,,,,
4,2-s2.0-85095763924,10.3390/jlpea10040037,,,Framework for design exploration and performance analysis of rf-noc manycore architecture,ar,Article,Lahdhiri H.,,CY Cergy Paris Université,Cergy-Pontoise,France,,,,,2020-12-01,December 2020,Journal of Low Power Electronics and Applications,,21100332242,20799268,Journal,10,4,37,1-15,,,3,1,repositoryam,Green,,,
5,2-s2.0-85092669439,10.1109/ICARM49381.2020.9195347,,,Use of Multi-frequency Electrical Impedance Tomography as Tactile Sensor for Material Discrimination,cp,Conference Paper,Abdelwahed M.,,Institut VEDECOM,Versailles,France,,,,,2020-12-01,December 2020,ICARM 2020 - 2020 5th IEEE International Conference on Advanced Robotics and Mechatronics,,21101023244,,Conference Proceeding,,,9195347,588-594,,,0,0,,,,,
6,2-s2.0-85089796828,10.1007/s41109-020-00295-x,,,Exploring dynamic multilayer graphs for digital humanities,ar,Article,Bornhofen S.,,CY Cergy Paris Université,Cergy-Pontoise,France,,,,,2020-12-01,1 December 2020,Applied Network Science,,21100901173,23648228,Journal,5,1,54,,,,0,1,repositoryam,Green,,,
7,2-s2.0-85088476049,10.1007/s41109-020-00277-z,,,A methodology for multilayer networks analysis in the context of open and private data: biological application,ar,Article,Malek M.,,CY Cergy Paris Université,Cergy-Pontoise,France,,,,,2020-12-01,1 December 2020,Applied Network Science,,21100901173,23648228,Journal,5,1,41,,,,0,1,publisherfullgold,Gold,,,
8,2-s2.0-85086259732,10.1186/s13638-020-01742-0,,,Authenticated secret key generation in delay-constrained wireless systems,ar,Article,Mitev M.,,University of Essex,Colchester,United Kingdom,,,,,2020-12-01,1 December 2020,Eurasip Journal on Wireless Communications and Networking,16871472,18202,16871499,Journal,2020,1,122,,,,9,1,repositoryam,Green,,,
9,2-s2.0-85078861044,10.1186/s13638-020-1649-0,,,"Correction to: On Gaussian covert communication in continuous time (EURASIP Journal on Wireless Communications and Networking, (2019), 2019, 1, (283), 10.1186/s13638-019-1609-8)",er,Erratum,Wang L.,,Equipes Traitement de l'Information et Systèmes,Cergy-Pontoise,France,,,,,2020-12-01,1 December 2020,Eurasip Journal on Wireless Communications and Networking,16871472,18202,16871499,Journal,2020,1,29,,,,0,1,publisherfullgold,Gold,,,
10,2-s2.0-85099236604,10.1109/LATINCOM50620.2020.9282312,,,Multimetric Online Intrusion Detection in Software-Defined Wireless Sensor Networks,cp,Conference Paper,Segura G.A.N.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2020-11-18,18 November 2020,"Proceedings - 2020 IEEE Latin-American Conference on Communications, LATINCOM 2020",,21101033809,,Conference Proceeding,,,9282312,,,,3,0,,,,,
11,2-s2.0-85087920717,10.1002/dac.4521,,,HSDN-GRA: A hybrid software-defined networking-based geographic routing protocol with multi-agent approach,ar,Article,Alouache L.,,CY Cergy Paris Université,Cergy-Pontoise,France,,,,,2020-10-01,1 October 2020,International Journal of Communication Systems,10745351,17964,10991131,Journal,33,15,e4521,,,,1,0,,,,,
12,2-s2.0-85093478188,10.1109/NOCS50636.2020.9241714,,,Improving Inference Latency and Energy of DNNs through Wireless Enabled Multi-Chip-Module-based Architectures and Model Parameters Compression,cp,Conference Paper,Ascia G.,,Università degli Studi di Catania,Catania,Italy,,,,,2020-09-24,24 September 2020,"14th IEEE/ACM International Symposium on Networks-on-Chip, NOCS 2020",,21101030011,,Conference Proceeding,,,9241714,,,,5,0,,,,,
13,2-s2.0-85090828946,10.1109/JLT.2020.2998841,,,PDL in Optical Links: A Model Analysis and a Demonstration of a PDL-Resilient Modulation,ar,Article,Dumenil A.,,Equipes Traitement de l'Information et Systèmes;Nokia Bell Labs,Cergy-Pontoise;Murray,France;United States,,,,,2020-09-15,15 September 2020,Journal of Lightwave Technology,07338724,12178,15582213,Journal,38,18,9104875,5017-5025,,,1,0,,,,,
14,2-s2.0-85090165447,10.1109/TIT.2020.2979716,,,On the Capacity of MIMO Optical Wireless Channels,ar,Article,Li L.,,Laboratoire Traitement et Communication de l'Information,Palaiseau,France,,,,,2020-09-01,September 2020,IEEE Transactions on Information Theory,00189448,15107,15579654,Journal,66,9,9031328,5660-5682,,,6,0,repositoryam,Green,,,
