,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85101467653,10.4230/LIPIcs.IPEC.2020.15,,,Fixed-parameter algorithms for graph constraint logic,cp,Conference Paper,Hatanaka T.,,Tohoku University,Sendai,Japan,,,,,2020-12-01,December 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,180,,15,,,,0,0,,,,,
1,2-s2.0-85100915340,10.4230/LIPIcs.ISAAC.2020.44,,,On girth and the parameterized complexity of token sliding and token jumping,cp,Conference Paper,Bartier V.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-12-01,December 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,181,,44,441-4417,,,2,0,,,,,
2,2-s2.0-85096919176,10.1007/s00493-020-4475-4,,,The VC-Dimension of K-Vertex D-Polytopes,ar,Article,Kupavskii A.,,Universite Grenoble Alpes;Moscow Institute of Physics and Technology;IAS,Saint Martin d'Heres;Dolgoprudny;Princeton,France;Russian Federation;United States,,,,,2020-12-01,December 2020,Combinatorica,02099683,25785,14396912,Journal,40,6,,869-874,,,2,0,repositoryam,Green,,,
3,2-s2.0-85090580720,10.1016/j.addma.2020.101557,S2214860420309295,,Analysis of geometrical defects in overhang fabrications in electron beam melting based on thermomechanical simulations and experimental validations,ar,Article,Ghaoui S.,,Université de Bordeaux,Bordeaux,France,,,,,2020-12-01,December 2020,Additive Manufacturing,,21100349533,22148604,Journal,36,,101557,,,,4,1,publisherfree2read,Bronze,,,
4,2-s2.0-85090195792,10.1007/s12008-020-00692-7,,,Eight action rules for the orientation of additive manufacturing parts in powder bed fusion: an industry practice,ar,Article,Grandvallet C.,,Universite Grenoble Alpes;DP Research Institute,Saint Martin d'Heres;Echirolles,France;France,,,,,2020-12-01,December 2020,International Journal on Interactive Design and Manufacturing,19552513,12000154536,19552505,Journal,14,4,,1159-1170,,,3,0,,,,,
5,2-s2.0-85089959549,10.1007/s12008-020-00683-8,,,Real-time coding method and tool for artefact-centric interaction analysis in co-design situations assisted by augmented reality,ar,Article,Masclet C.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-12-01,December 2020,International Journal on Interactive Design and Manufacturing,19552513,12000154536,19552505,Journal,14,4,,1141-1157,,,2,0,repositoryam,Green,,,
6,2-s2.0-85083955106,10.1002/jgt.22572,,,Coloring graphs with no induced five-vertex path or gem,ar,Article,Chudnovsky M.,,Princeton University,Princeton,United States,,,,,2020-12-01,1 December 2020,Journal of Graph Theory,03649024,23898,10970118,Journal,95,4,,527-542,,,4,0,repositoryam,Green,,,
7,2-s2.0-85098791267,10.1109/FOCS46700.2020.00060,,,Adjacency labelling for planar graphs (and beyond),cp,Conference Paper,Dujmovic V.,,University of Ottawa,Ottawa,Canada,,,,,2020-11-01,November 2020,"Proceedings - Annual IEEE Symposium on Foundations of Computer Science, FOCS",02725428,21100474207,,Conference Proceeding,2020-November,,9317884,577-588,,,6,0,repositoryam,Green,,,
8,2-s2.0-85090109713,10.1007/s00373-020-02228-y,,,Ear-Slicing for Matchings in Hypergraphs,ar,Article,Sebő A.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-11-01,1 November 2020,Graphs and Combinatorics,09110119,28476,14355914,Journal,36,6,,1947-1951,,,0,0,repositoryam,Green,,,
9,2-s2.0-85086135132,10.1016/j.tcs.2020.05.033,S0304397520303169,,Diameter of colorings under Kempe changes,ar,Article,Bonamy M.,,Université de Bordeaux,Bordeaux,France,,,,,2020-10-24,24 October 2020,Theoretical Computer Science,03043975,20571,,Journal,838,,,45-57,,,1,1,publisherfree2read,Bronze,,,
