,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85103301603,10.1049/iet-cta.2020.0562,,,Fast zonotope-tube-based lpv-mpc for autonomous vehicles,ar,Article,Alcalá E.,,Universitat Politècnica de Catalunya,Barcelona,Spain,,,,,2020-12-27,27 December 2020,IET Control Theory and Applications,17518644,5100155079,17518652,Journal,14,20,,3676-3685,,,1,1,repositoryam,Green,,,
1,2-s2.0-85103288457,10.1049/iet-cta.2020.0698,,,Gain-scheduled steering control for autonomous vehicles,ar,Article,Kapsalis D.,,Universite Grenoble Alpes;Renault,Saint Martin d'Heres;Boulogne-Billancourt,France;France,,,,,2020-12-27,27 December 2020,IET Control Theory and Applications,17518644,5100155079,17518652,Journal,14,20,,3451-3460,,,2,1,repositoryam,Green,,,
2,2-s2.0-85099041850,10.1088/1742-5468/abcaf2,,,Random matrix improved covariance estimation for a large class of metrics,ar,Article,Tiomoko M.,,Universite Paris-Saclay;Universite Grenoble Alpes,Saint-Aubin;Saint Martin d'Heres,France;France,,,,,2020-12-21,21 December 2020,Journal of Statistical Mechanics: Theory and Experiment,,145274,17425468,Journal,2020,12,124011,,,,1,0,repositoryam,Green,,,
3,2-s2.0-85103283733,10.1049/iet-spr.2020.0373,,,Tensor methods for multisensor signal processing,ar,Article,Miron S.,,CRAN Centre de Recherche en Automatique de Nancy,Vandoeouvre-les-Nancy,France,,,,,2020-12-18,18 December 2020,IET Signal Processing,17519675,6100153106,17519683,Journal,14,10,,693-709,,,4,1,repositoryam,Green,,,
4,2-s2.0-85096951409,10.1049/iet-cta.2020.0592,,,Sub-optimal recursively feasible linear parameter-varying predictive algorithm for semi-active suspension control,ar,Article,Morato M.M.,,Universite Grenoble Alpes;Universidade Federal de Santa Catarina,Saint Martin d'Heres;Florianopolis,France;Brazil,,,,,2020-12-17,17 December 2020,IET Control Theory and Applications,17518644,5100155079,17518652,Journal,14,18,,2764-2775,,,6,1,repositoryam,Green,,,
5,2-s2.0-85100699270,10.1109/IC_ASET49463.2020.9318321,,,Prediction of water flow depth with kinematic wave equations and NARMAX approach based on neural networks in overland flow model,cp,Conference Paper,Omri T.,,"Université de Tunis El Manar, Ecole Nationale d'Ingénieurs de Tunis",Tunis,Tunisia,,,,,2020-12-15,15 December 2020,"Proceedings of the International Conference on Advanced Systems and Emergent Technologies, IC_ASET 2020",,21101037138,,Conference Proceeding,,,9318321,193-198,,,0,0,,,,,
6,2-s2.0-85099882838,10.1109/CDC42340.2020.9303760,,,State Variance Estimation in Large-Scale Network Systems,cp,Conference Paper,Niazi M.U.B.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9303760,6052-6057,,,2,0,repositoryam,Green,,,
7,2-s2.0-85099882794,10.1109/CDC42340.2020.9304185,,,Rapid stabilization of a reaction-diffusion equation with distributed disturbance,cp,Conference Paper,Guzman P.,,Universidad Técnica Federico Santa María,Valparaíso,Chile,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304185,666-671,,,0,0,repositoryam,Green,,,
8,2-s2.0-85099882205,10.1109/CDC42340.2020.9304374,,,Unknown Input Observer design for coupled PDE/ODE linear systems,cp,Conference Paper,Cristofaro A.,,Sapienza Università di Roma,Rome,Italy,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304374,646-651,,,0,0,repositoryam,Green,,,
9,2-s2.0-85099881504,10.1109/CDC42340.2020.9303767,,,Control of a Wave Equation with a Dynamic Boundary Condition,cp,Conference Paper,Vanspranghe N.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9303767,652-657,,,0,0,repositoryam,Green,,,
