,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85100873425,10.1109/SNAMS52053.2020.9336578,,,Community Detection for Mobile Money Fraud Detection,cp,Conference Paper,Ayeb S.E.,,Université de Caen Normandie;Orange,Caen;Caen,France;France,,,,,2020-12-14,14 December 2020,"2020 7th International Conference on Social Network Analysis, Management and Security, SNAMS 2020",,21101038522,,Conference Proceeding,,,9336578,,,,0,0,,,,,
1,2-s2.0-85089806885,10.1016/j.comnet.2020.107490,S1389128620311580,,Generalized Nash Equilibrium approach for radio resource sharing and power allocation in vehicular networks,ar,Article,Chouikhi S.,,Université de Technologie de Troyes,Troyes,France,,,,,2020-12-09,9 December 2020,Computer Networks,13891286,26811,,Journal,182,,107490,,,,1,0,,,,,
2,2-s2.0-85098622583,10.3233/FAIA200762,,,Survey on formal concept analysis based supervised classification techniques,cp,Conference Paper,Azibi H.,,"Université de Tunis El Manar, Faculté des Sciences de Tunis",Tunis,Tunisia,,,,,2020-12-02,2 December 2020,Frontiers in Artificial Intelligence and Applications,09226389,19500157321,,Book Series,332,,,21-29,,,0,1,,,,,
3,2-s2.0-85097791887,10.1109/TNSM.2020.3014870,,,Bringing Intelligence to Software Defined Networks: Mitigating DDoS Attacks,ar,Article,Abou El Houda Z.,,Université de Technologie de Troyes;University of Montreal,Troyes;Montreal,France;Canada,,,,,2020-12-01,December 2020,IEEE Transactions on Network and Service Management,,7200153156,19324537,Journal,17,4,9160997,2523-2535,,,13,0,,,,,
4,2-s2.0-85096216878,10.1109/JSEN.2020.3008555,,,Sensitivity and Noise of a Magnetic Field Sensor Based on Magnetostatic Spin Wave YIG Device and Its Integrated Electronics,ar,Article,Haas O.,,Université de Caen Normandie,Caen,France,,,,,2020-12-01,1 December 2020,IEEE Sensors Journal,1530437X,15047,15581748,Journal,20,23,9138384,14148-14156,,,1,0,,,,,
5,2-s2.0-85092520158,10.3390/computers9040081,,,Asymmetric attributional word similarity measures to detect the relations of textual generality,ar,Article,Pais S.,,Faculdade de Ciências e Tecnologia da Universidade Nova de Lisboa;École nationale supérieure d'ingénieurs de Caen;Universidade da Beira Interior,Caparica;Caen;Covilha,Portugal;France;Portugal,,,,,2020-12-01,December 2020,Computers,,21100886391,2073431X,Journal,9,4,81,1-25,,,0,1,publisherfullgold,Gold,,,
6,2-s2.0-85092485301,10.1016/j.jisa.2020.102640,S2214212620308000,,Applied graph theory to security: A qualitative placement of security solutions within IoT networks,ar,Article,Godquin T.,,Orange Labs;Université de Caen Normandie,Issy-les-Moulineaux;Caen,France;France,,,,,2020-12-01,December 2020,Journal of Information Security and Applications,22142134,21100332403,22142126,Journal,55,,102640,,,,4,1,repositoryam,Green,,,
7,2-s2.0-85089673125,10.1002/pssb.202000265,,,Spin Pumping and Magnetic Anisotropy in La<inf>2/3</inf>Sr<inf>1/3</inf>MnO<inf>3</inf>/Pt Systems,ar,Article,Benguettat-EL Mokhtari I.,,Université Oran;Laboratoire des Sciences des Procédés et des Matériaux,Oran;Villetaneuse,Algeria;France,,,,,2020-12-01,December 2020,Physica Status Solidi (B) Basic Research,03701972,29140,15213951,Journal,257,12,2000265,,,,4,0,,,,,
8,2-s2.0-85081362441,10.1007/s12530-018-9260-x,,,Finger kunckcle patterns based person recognition via bank of multi-scale binarized statistical texture features,ar,Article,Attia A.,,Université Bachir El Ibrahimi de Bordj Bou Arreridj,Bordj bou Arreridj,Algeria,,,,,2020-12-01,1 December 2020,Evolving Systems,18686478,19700175286,18686486,Journal,11,4,,625-635,,,5,0,repositoryvor,Green,,,
9,2-s2.0-85098481993,10.1109/CloudTech49835.2020.9365870,,,A Cross-Layered Interference in Multichannel MAC of VANET,cp,Conference Paper,Chbib F.,,Islamic University of Lebanon;Université de Technologie de Troyes,Beirut;Troyes,Lebanon;France,,,,,2020-11-24,24 November 2020,"Proceedings of 2020 5th International Conference on Cloud Computing and Artificial Intelligence: Technologies and Applications, CloudTech 2020",,21101039898,,Conference Proceeding,,,9365870,,,,1,0,,,,,
