,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85101290965,10.1049/iet-its.2019.0565,,,Controller area network reliability: Overview of design challenges and safety related perspectives of future transportation systems,re,Review,Lakhal N.M.B.,,Université Clermont Auvergne;Université de Sousse,Clermont-Ferrand;Sousse,France;Tunisia,,,,,2020-12-15,15 December 2020,IET Intelligent Transport Systems,1751956X,5400152639,,Journal,14,13,,1727-1739,,,6,0,,,,,
1,2-s2.0-85100123505,10.1109/ICARCV50220.2020.9305365,,,LiDAR Observations by Motion Compensation and Scan Accumulation,cp,Conference Paper,Lima A.,,Université de Technologie de Compiègne,Compiegne,France,,,,,2020-12-13,13 December 2020,"16th IEEE International Conference on Control, Automation, Robotics and Vision, ICARCV 2020",,21101034443,,Conference Proceeding,,,9305365,400-405,,,0,0,repositoryam,Green,,,
2,2-s2.0-85101250479,10.1109/TrustCom50675.2020.00255,,,A blockchain-based key management protocol for secure device-to-device communication in the internet of things,cp,Conference Paper,Kandi M.A.,,Sorbonne Universite,Paris,France,,,,,2020-12-01,December 2020,"Proceedings - 2020 IEEE 19th International Conference on Trust, Security and Privacy in Computing and Communications, TrustCom 2020",,21101080909,,Conference Proceeding,,,9343146,1868-1873,,,0,0,repositoryam,Green,,,
3,2-s2.0-85097414796,10.3390/drones4040071,,,"Development, modeling and control of a dual tilt-wing uav in vertical flight",ar,Article,Sanchez-Rivera L.M.,,Laboratoire Franco-Mexicain d'Informatique et d'Automatique (LAFMIA),Mexico City,Mexico,,,,,2020-12-01,December 2020,Drones,,21101017244,2504446X,Journal,4,4,71,1-15,,,6,1,repositoryam,Green,,,
4,2-s2.0-85091730645,10.1007/s10846-020-01252-7,,,Stabilization and Tracking Control Algorithms for VTOL Aircraft: Theoretical and Practical Overview,ar,Article,Betancourt J.,,Université de Technologie de Compiègne,Compiegne,France,,,,,2020-12-01,December 2020,Journal of Intelligent and Robotic Systems: Theory and Applications,09210296,24360,15730409,Journal,100,3-4,,1249-1263,,,1,0,repositoryam,Green,,,
5,2-s2.0-85078788927,10.1017/S026357472000003X,S026357472000003X,,User-Robot Interaction for Safe Navigation of a Quadrotor,ar,Article,Sanchez L.F.,,Tecnologico de Monterrey;Sorbonne Universite,Monterrey;Paris,Mexico;France,,,,,2020-12-01,1 December 2020,Robotica,02635747,18078,14698668,Journal,38,12,,2189-2203,,,1,0,repositoryam,Green,,,
6,2-s2.0-85056707938,10.1109/MITS.2018.2879165,,,Improved Outdoor Localization Based on Weighted Kullback-Leibler Divergence for Measurements Diagnosis,ar,Article,Al Hage J.,,Université de Technologie de Compiègne,Compiegne,France,,,,,2020-12-01,Winter 2020,IEEE Intelligent Transportation Systems Magazine,19391390,18300156720,19411197,Journal,12,4,8538873,41-56,,,4,0,repositoryam,Green,,,
7,2-s2.0-85099476088,10.1109/CCE50788.2020.9299342,,,Performance Comparison of Positioning Algorithms for UAV Navigation Purposes based on Estimated Distances,cp,Conference Paper,Arellano-Cruz L.A.,,Laboratoire Franco-Mexicain d'Informatique et d'Automatique (LAFMIA),Mexico City,Mexico,,,,,2020-11-11,11 November 2020,"2020 17th International Conference on Electrical Engineering, Computing Science and Automatic Control, CCE 2020",,21101033928,,Conference Proceeding,,,9299342,,,,3,0,,,,,
8,2-s2.0-85099450225,10.1109/CCE50788.2020.9299129,,,Umikpali Exoskeleton: Saddle-Assistive device for Sit-To-Stand transfer. Mechanical Design and Simulation,cp,Conference Paper,Hernandez J.H.,,Centro de Investigacion y de Estudios Avanzados,Mexico City,Mexico,,,,,2020-11-11,11 November 2020,"2020 17th International Conference on Electrical Engineering, Computing Science and Automatic Control, CCE 2020",,21101033928,,Conference Proceeding,,,9299129,,,,0,0,,,,,
9,2-s2.0-85092689324,10.1109/TCST.2019.2945021,,,Finite Horizon Nonlinear Energy Optimizing Control in a Force Augmenting Hybrid Exoskeleton for the Elbow Joint,ar,Article,Castillo F.,,Laboratoire Franco-Mexicain d'Informatique et d'Automatique (LAFMIA),Mexico City,Mexico,,,,,2020-11-01,November 2020,IEEE Transactions on Control Systems Technology,10636536,17342,15580865,Journal,28,6,8884137,2681-2688,,,0,0,,,,,
