,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85092058949,10.1016/j.tcs.2020.09.036,S030439752030548X,,Step-by-step community detection in volume-regular graphs,ar,Article,Becchetti L.,,Sapienza Università di Roma,Rome,Italy,,,,,2020-12-22,22 December 2020,Theoretical Computer Science,03043975,20571,,Journal,847,,,49-67,,,3,1,repositoryam,Green,,,
1,2-s2.0-85103283733,10.1049/iet-spr.2020.0373,,,Tensor methods for multisensor signal processing,ar,Article,Miron S.,,CRAN Centre de Recherche en Automatique de Nancy,Vandoeouvre-les-Nancy,France,,,,,2020-12-18,18 December 2020,IET Signal Processing,17519675,6100153106,17519683,Journal,14,10,,693-709,,,4,1,repositoryam,Green,,,
2,2-s2.0-85100696809,10.1109/IC_ASET49463.2020.9318262,,,A new approch to detect N400 event-related potentials in giftedness children,cp,Conference Paper,Benharrath K.,,École Nationale Supérieure d'Ingénieurs de Tunis,Tunis,Tunisia,,,,,2020-12-15,15 December 2020,"Proceedings of the International Conference on Advanced Systems and Emergent Technologies, IC_ASET 2020",,21101037138,,Conference Proceeding,,,9318262,75-78,,,1,0,,,,,
3,2-s2.0-85100935532,10.1109/IOTSMS52051.2020.9340196,,,An actuation conflicts management flow for smart IoT-based systems,cp,Conference Paper,Rocher G.,,Université Côte d'Azur,Nice,France,,,,,2020-12-14,14 December 2020,"2020 7th International Conference on Internet of Things: Systems, Management and Security, IOTSMS 2020",,21101038554,,Conference Proceeding,,,9340196,,,,3,0,,,,,
4,2-s2.0-85099887153,10.1109/CDC42340.2020.9304135,,,Deterministic observer design for vision-aided inertial navigation,cp,Conference Paper,Hamel T.,,Université Côte d'Azur,Nice,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304135,1306-1313,,,0,0,repositoryam,Green,,,
5,2-s2.0-85099883621,10.1109/CDC42340.2020.9304210,,,Bearing-only formation control under persistence of excitation,cp,Conference Paper,Tang Z.,,Instituto Superior Técnico,Lisbon,Portugal,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304210,4011-4016,,,1,0,repositoryam,Green,,,
6,2-s2.0-85099878357,10.1109/CDC42340.2020.9303761,,,Equivariant Systems Theory and Observer Design for Second Order Kinematic Systems on Matrix Lie Groups,cp,Conference Paper,Ng Y.,,The Australian National University,Canberra,Australia,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9303761,4194-4199,,,0,0,repositoryam,Green,,,
7,2-s2.0-85099877782,10.1109/CDC42340.2020.9303849,,,Relative pose estimation from bearing measurements of three unknown source points,cp,Conference Paper,Hua M.D.,,Université Côte d'Azur,Nice,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9303849,4176-4181,,,1,0,repositoryam,Green,,,
8,2-s2.0-85095033783,10.1109/CDC42340.2020.9303813,,,Equivariant Filter (EqF): A General Filter Design for Systems on Homogeneous Spaces,cp,Conference Paper,Van Goor P.,,The Australian National University,Canberra,Australia,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9303813,5401-5408,,,1,0,repositoryam,Green,,,
9,2-s2.0-85086803923,10.1016/j.tcs.2020.06.021,S0304397520303625,,Dynamical behavior of additive cellular automata over finite abelian groups,ar,Article,Dennunzio A.,,Università degli Studi di Milano-Bicocca,Milan,Italy,,,,,2020-12-02,2 December 2020,Theoretical Computer Science,03043975,20571,,Journal,843,,,45-56,,,9,0,,,,,
10,2-s2.0-85114410315,10.1109/WIIAT50758.2020.00032,,,Graded belief revision for jason: A rule-based approach,cp,Conference Paper,Zein D.E.,,Université Côte d'Azur,Nice,France,,,,,2020-12-01,December 2020,"Proceedings - 2020 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology, WI-IAT 2020",,21101058341,,Conference Proceeding,,,9457755,211-218,,,0,0,repositoryam,Green,,,
