,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85096593712,10.1021/acs.chemrestox.0c00362,,33190492,In Situ Alkylation of Reconstructed Human Epidermis by Methyl Methanesulfonate: A Quantitative HRMAS NMR Chemical Reactivity Mapping,ar,Article,Srour H.,,Université de Strasbourg,Strasbourg,France,,,,,2020-12-21,21 December 2020,Chemical Research in Toxicology,0893228X,24649,15205010,Journal,33,12,,3023-3030,,,2,0,repositoryam,Green,,,
1,2-s2.0-85098531149,10.1212/WNL.0000000000010943,,32989106,β-Amyloid and tau biomarkers and clinical phenotype in dementia with Lewy bodies,ar,Article,Ferreira D.,,Karolinska Institutet,Stockholm,Sweden,,,,,2020-12-15,15 December 2020,Neurology,,17952,1526632X,Journal,95,24,,e3257-e3268,,,19,0,repositoryvor,Green,,,
2,2-s2.0-85091975065,10.1016/j.enbuild.2020.110480,S0378778820318016,,High resolution stochastic generator of European household specific electricity demand load curves for decentralized power self-production applications,ar,Article,Bouvenot J.B.,,"Laboratoire des Sciences de l'Ingénieur, de l'Informatique et de l'Imagerie;Université de Strasbourg",Illkirch-Graffenstaden;Strasbourg,France;France,,,,,2020-12-15,15 December 2020,Energy and Buildings,03787788,29359,,Journal,229,,110480,,,,1,1,repositoryvor,Green,,,
3,2-s2.0-85097719073,10.1039/d0tc04650g,,,"Universal host materials for red, green and blue high-efficiency single-layer phosphorescent organic light-emitting diodes",ar,Article,Lucas F.,,CNRS Centre National de la Recherche Scientifique,Paris,France,,,,,2020-12-14,14 December 2020,Journal of Materials Chemistry C,20507534,21100229207,20507526,Journal,8,46,,16354-16367,,,16,0,repositoryam,Green,,,
4,2-s2.0-85119416427,10.1186/s43019-020-00059-y,,,Biomechanical effects of stitches on the intra-articular mid-substance of quadruple hamstring-tendon grafts for anterior cruciate ligament reconstruction – a pilot comparative cadaveric study,ar,Article,Saur M.,,Hopital de Hautepierre,Strasbourg,France,,,,,2020-12-01,December 2020,Knee Surgery and Related Research,22340726,21101021926,22342451,Journal,32,1,39,,,,0,1,repositoryvor,Green,,,
5,2-s2.0-85109198690,10.3390/jcm9123874,,,Diagnostic accuracy and clinical impact of sentinel lymph node sampling in endometrial cancer at high risk of recurrence: A meta-analysis,re,Review,Lecointre L.,,Université de Strasbourg;Les Hôpitaux Universitaires de Strasbourg,Strasbourg;Strasbourg,France;France,,,,,2020-12-01,December 2020,Journal of Clinical Medicine,,21101054449,20770383,Journal,9,12,3874,1-17,,,8,1,repositoryvor,Green,,,
6,2-s2.0-85102487991,10.1109/ICMLA51294.2020.00159,,,SummaTRIZ : Summarization Networks for Mining Patent Contradiction,cp,Conference Paper,Guarino G.,,"Laboratoire des Sciences de l'Ingénieur, de l'Informatique et de l'Imagerie",Illkirch-Graffenstaden,France,,,,,2020-12-01,December 2020,"Proceedings - 19th IEEE International Conference on Machine Learning and Applications, ICMLA 2020",,21101039830,,Conference Proceeding,,,9356295,979-986,,,3,0,repositoryam,Green,,,
7,2-s2.0-85097335203,10.1109/TGRS.2020.2987880,,,Impact of 3-D Structures and Their Radiation on Thermal Infrared Measurements in Urban Areas,ar,Article,Zheng X.,,CNRS Centre National de la Recherche Scientifique,Paris,France,,,,,2020-12-01,December 2020,IEEE Transactions on Geoscience and Remote Sensing,01962892,17360,15580644,Journal,58,12,9091086,8412-8426,,,5,0,repositoryvor,Green,,,
8,2-s2.0-85096665419,10.3390/bioengineering7040143,,,Correlating grip force signals from multiple sensors highlights prehensile control strategies in a complex task-user system,ar,Article,Dresp-Langley B.,,CNRS Centre National de la Recherche Scientifique,Paris,France,,,,,2020-12-01,December 2020,Bioengineering,,21100886380,23065354,Journal,7,4,0143,1-22,,,3,1,repositoryam,Green,,,
9,2-s2.0-85096609204,10.1016/j.rcot.2020.10.020,S1877051720303385,,Isoelastic resurfacing prosthesis for distal radius fractures: Outcomes in 24 cases with at least 2 years follow-up,ar,Article,Martins A.,,Les Hôpitaux Universitaires de Strasbourg,Strasbourg,France,,,,,2020-12-01,December 2020,Revue de Chirurgie Orthopedique et Traumatologique,18770517,16400154783,,Journal,106,8,,1028-1033,,,0,0,,,,,
10,2-s2.0-85096189717,10.1016/j.otsr.2020.07.005,S187705682030284X,33189661,Isoelastic resurfacing prosthesis for distal radius fractures: Outcomes in 24 cases with at least 2 years’ follow-up,ar,Article,Martins A.,,Les Hôpitaux Universitaires de Strasbourg,Strasbourg,France,,,,,2020-12-01,December 2020,Orthopaedics and Traumatology: Surgery and Research,,17500155019,18770568,Journal,106,8,,1613-1618,,,1,1,publisherfree2read,Bronze,,,
