,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85101475898,10.4230/LIPIcs.FSTTCS.2020.36,,,Reachability in dynamical systems with rounding,cp,Conference Paper,Baier C.,,Technische Universität Dresden,Dresden,Germany,,,,,2020-12-01,December 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,182,,36,,,,2,0,,,,,
1,2-s2.0-85099205953,10.1142/S0129054120420046,,,A New Hierarchy for Automaton Semigroups,cp,Conference Paper,Bartholdi L.,,Georg-August-Universität Göttingen,Gottingen,Germany,,,,,2020-12-01,December 2020,International Journal of Foundations of Computer Science,01290541,4700152641,,Journal,31,8,,1069-1089,,,0,0,repositoryam,Green,,,
2,2-s2.0-85083347890,10.1007/s10703-019-00335-y,,,Parameterized verification of algorithms for oblivious robots on a ring,ar,Article,Sangnier A.,,Université Paris Cité,Paris,France,,,,,2020-12-01,December 2020,Formal Methods in System Design,09259856,12262,15728102,Journal,56,1-3,,55-89,,,1,0,repositoryam,Green,,,
3,2-s2.0-85097582423,10.1145/3428196,,,Proving highly-concurrent traversals correct,ar,Article,Feldman Y.M.Y.,,Tel Aviv University,Tel Aviv-Yafo,Israel,,,,,2020-11-13,13 November 2020,Proceedings of the ACM on Programming Languages,,21101020042,24751421,Journal,4,OOPSLA,128,,,,3,1,repositoryam,Green,,,
4,2-s2.0-85097575490,10.1145/3428278,,,Testing consensus implementations using communication closure,ar,Article,Drǎgoi C.,,INRIA Institut National de Recherche en Informatique et en Automatique;Informal Systems,Le Chesnay;,France;France,,,,,2020-11-13,13 November 2020,Proceedings of the ACM on Programming Languages,,21101020042,24751421,Journal,4,OOPSLA,210,,,,1,1,repositoryam,Green,,,
5,2-s2.0-85108915122,10.1017/S0960129521000074,S0960129521000074,,Quantifiers on languages and codensity monads,ar,Article,Gehrke M.,,Université Côte d'Azur,Nice,France,,,,,2020-11-01,November 2020,Mathematical Structures in Computer Science,09601295,5000157801,,Journal,30,10,,1054-1088,,,1,0,repositoryam,Green,,,
6,2-s2.0-85100334347,10.1109/FOCS46700.2020.00103,,,Correlated pseudorandom functions from variable-density lpn,cp,Conference Paper,Boyle E.,,IDC Herzliya,Herzliya,Israel,,,,,2020-11-01,November 2020,"Proceedings - Annual IEEE Symposium on Foundations of Computer Science, FOCS",02725428,21100474207,,Conference Proceeding,2020-November,,9317926,1069-1080,,,5,0,repositoryam,Green,,,
7,2-s2.0-85094630398,10.1007/s00012-020-00690-6,,,Affine completeness of the algebra of full binary trees,ar,Article,Arnold A.,,Université de Bordeaux,Bordeaux,France,,,,,2020-11-01,1 November 2020,Algebra Universalis,00025240,24618,14208911,Journal,81,4,55,,,,1,0,,,,,
8,2-s2.0-85085765392,10.1007/s00453-020-00721-7,,,Dynamic Clustering to Minimize the Sum of Radii,ar,Article,Henzinger M.,,Universität Wien,Vienna,Austria,,,,,2020-11-01,1 November 2020,Algorithmica,01784617,23087,14320541,Journal,82,11,,3183-3194,,,1,0,repositoryam,Green,,,
9,2-s2.0-85084417227,10.1016/j.jctb.2020.04.002,S009589562030037X,,Homomorphisms of partial t-trees and edge-colorings of partial 3-trees,ar,Article,Chen M.,,Xiamen University of Technology,Xiamen,China,,,,,2020-11-01,November 2020,Journal of Combinatorial Theory. Series B,00958956,23844,10960902,Journal,145,,,1-31,,,0,1,publisherfree2read,Bronze,,,
