,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85100331049,10.1109/BIBM49941.2020.9313351,,,Variant Calling Parallelization on Processor-in-Memory Architecture,cp,Conference Paper,Lavenier D.,,Institut de Recherche en Informatique et Systèmes Aléatoires,Rennes,France,,,,,2020-12-16,16 December 2020,"Proceedings - 2020 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2020",,21101034600,,Conference Proceeding,,,9313351,204-207,,,1,0,repositoryam,Green,,,
1,2-s2.0-85103896670,10.1109/WSC48552.2020.9383896,,,Comparing Regenerative-Simulation-Based Estimators of the Distribution of the Hitting Time to a Rarely Visited Set,cp,Conference Paper,Glynn P.W.,,Stanford University,Palo Alto,United States,,,,,2020-12-14,14 December 2020,Proceedings - Winter Simulation Conference,08917736,145228,,Conference Proceeding,2020-December,,9383896,421-432,,,0,0,repositoryam,Green,,,
2,2-s2.0-85099596478,10.1145/3429880.3430097,,,Active-Standby for High-Availability in FaaS,cp,Conference Paper,Bouizem Y.,,Université Abou Bekr Belkaid Tlemcen,Tlemcen,Algeria,,,,,2020-12-07,7 December 2020,"WOSC 2020 - Proceedings of the 2020 6th International Workshop on Serverless Computing, Part of Middleware 2020",,21101034091,,Conference Proceeding,,,,31-36,,,1,0,repositoryvor,Green,,,
3,2-s2.0-85098499427,10.1145/3423211.3425685,,,Fleet: Online federated learning via staleness awareness and performance prediction,cp,Conference Paper,Damaskinos G.,,Ecole Polytechnique Fédérale de Lausanne,Lausanne,Switzerland,,,,,2020-12-07,7 December 2020,Middleware 2020 - Proceedings of the 2020 21st International Middleware Conference,,21101033120,,Conference Proceeding,,,,163-177,,,5,0,repositoryam,Green,,,
4,2-s2.0-85098067834,10.1145/3427228.3427295,,,Dragonblood is Still Leaking: Practical Cache-based Side-Channel in the Wild,cp,Conference Paper,De Almeida Braga D.,,CNRS Centre National de la Recherche Scientifique,Paris,France,,,,,2020-12-07,7 December 2020,ACM International Conference Proceeding Series,,11600154611,,Conference Proceeding,,,3427295,291-303,,,3,0,repositoryam,Green,,,
5,2-s2.0-85098054946,10.1145/3427228.3427297,,,FPSelect: Low-Cost Browser Fingerprints for Mitigating Dictionary Attacks against Web Authentication Mechanisms,cp,Conference Paper,Andriamilanto N.,,CNRS Centre National de la Recherche Scientifique,Paris,France,,,,,2020-12-07,7 December 2020,ACM International Conference Proceeding Series,,11600154611,,Conference Proceeding,,,3427297,627-642,,,2,0,repositoryam,Green,,,
6,2-s2.0-85105813997,10.1109/CloudCom49646.2020.00002,,,An Experimental Evaluation of the Kubernetes Cluster Autoscaler in the Cloud,cp,Conference Paper,Tamiru M.A.,,CNRS Centre National de la Recherche Scientifique,Paris,France,,,,,2020-12-01,December 2020,"Proceedings of the International Conference on Cloud Computing Technology and Science, CloudCom",23302194,21100310005,23302186,Conference Proceeding,2020-December,,9407312,17-24,,,1,0,repositoryam,Green,,,
7,2-s2.0-85105787314,10.1109/CloudCom49646.2020.00009,,,ReLeaSER: A Reinforcement Learning Strategy for Optimizing Utilization of Ephemeral Cloud Resources,cp,Conference Paper,Handaoui M.,,Université de Brest (UBO),Brest,France,,,,,2020-12-01,December 2020,"Proceedings of the International Conference on Cloud Computing Technology and Science, CloudCom",23302194,21100310005,23302186,Conference Proceeding,2020-December,,9407327,65-73,,,0,0,repositoryam,Green,,,
8,2-s2.0-85104576598,10.1109/CloudCom49646.2020.00005,,,Stateful Container Migration in Geo-Distributed Environments,cp,Conference Paper,Junior P.S.,,CNRS Centre National de la Recherche Scientifique,Paris,France,,,,,2020-12-01,December 2020,"Proceedings of the International Conference on Cloud Computing Technology and Science, CloudCom",23302194,21100310005,23302186,Conference Proceeding,2020-December,,9407315,49-56,,,2,0,repositoryam,Green,,,
9,2-s2.0-85101486416,10.4230/LIPIcs.FSTTCS.2020.39,,,Synthesizing safe coalition strategies,cp,Conference Paper,Bertrand N.,,CNRS Centre National de la Recherche Scientifique,Paris,France,,,,,2020-12-01,December 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,182,,39,,,,0,0,,,,,
