,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85102770937,10.1049/iet-ipr.2020.1141,,,Synthetic medical image generator for data augmentation and anonymisation based on generative adversarial network for glioblastoma tumors growth prediction,ar,Article,Kamli A.,,Université Fédérale Toulouse Midi-Pyrénées;Université Mohamed Khider Biskra,Toulouse;Biskra,France;Algeria,,,,,2020-12-19,19 December 2020,IET Image Processing,17519659,5400152646,,Journal,14,16,,,,,0,1,publisherfree2read,Bronze,,,
1,2-s2.0-85096669196,10.7326/M20-5261,,32931326,The COVID-NMA project: Building an evidence ecosystem for the COVID-19 pandemic,re,Review,Boutron I.,,Université Paris Cité;Hôpital Hotel-Dieu AP-HP,Paris;Paris,France;France,,,,,2020-12-15,15 December 2020,Annals of Internal Medicine,00034819,26574,15393704,Journal,173,12,,1015-1017,,,19,0,repositoryvor,Green,,,
2,2-s2.0-85080030657,10.1016/j.fss.2020.01.006,S0165011419302325,,Learning rule sets and Sugeno integrals for monotonic classification problems,ar,Article,Brabant Q.,,Université de Lorraine,Nancy,France,,,,,2020-12-15,15 December 2020,Fuzzy Sets and Systems,01650114,26529,,Journal,401,,,4-37,,,3,1,repositoryam,Green,,,
3,2-s2.0-85111628971,10.1109/ICCTA52020.2020.9477675,,,Genetic-Voronoi algorithm for coverage of IoT data collection networks,cp,Conference Paper,Abdallah W.,,Université Fédérale Toulouse Midi-Pyrénées;Université de Gafsa,Toulouse;Gafsa,France;Tunisia,,,,,2020-12-12,12 December 2020,"30th International Conference on Computer Theory and Applications, ICCTA 2020 - Proceedings",,21101054408,,Conference Proceeding,,,9477675,16-22,,,3,0,repositoryam,Green,,,
4,2-s2.0-85102121014,10.1109/HotICN50779.2020.9350817,,,Reactivity Enhancement of Cooperative Congestion Control for Satellite Networks,cp,Conference Paper,Thibaud A.,,TéSA Laboratory,Toulouse,France,,,,,2020-12-12,12 December 2020,"2020 3rd International Conference on Hot Information-Centric Networking, HotICN 2020",,21101039507,,Conference Proceeding,,,9350817,135-141,,,0,0,repositoryam,Green,,,
5,2-s2.0-85108028950,10.1109/ISPA-BDCloud-SocialCom-SustainCom51426.2020.00112,,,Game-based negotiation between power demand and supply in green datacenters,cp,Conference Paper,Thi M.T.,,Institut National Polytechnique de Toulouse,Toulouse,France,,,,,2020-12-01,December 2020,"Proceedings - 2020 IEEE International Symposium on Parallel and Distributed Processing with Applications, 2020 IEEE International Conference on Big Data and Cloud Computing, 2020 IEEE International Symposium on Social Computing and Networking and 2020 IEEE International Conference on Sustainable Computing and Communications, ISPA-BDCloud-SocialCom-SustainCom 2020",,21101048603,,Conference Proceeding,,,9443918,690-697,,,1,0,repositoryam,Green,,,
6,2-s2.0-85102376892,10.1109/APSEC51365.2020.00022,,,An integrated framework for the formal analysis of critical interactive systems,cp,Conference Paper,Mendil I.,,IRIT Institut de Recherche Informatique de Toulouse,Toulouse,France,,,,,2020-12-01,December 2020,"Proceedings - Asia-Pacific Software Engineering Conference, APSEC",15301362,145296,,Conference Proceeding,2020-December,,9359256,139-148,,,2,0,,,,,
7,2-s2.0-85102074289,10.1109/R10-HTC49770.2020.9357016,,,Exploiting Various Word Embedding Models for Query Expansion in Microblog,cp,Conference Paper,Ahmed S.,,University of Chittagong,Chittagong,Bangladesh,,,,,2020-12-01,1 December 2020,"IEEE Region 10 Humanitarian Technology Conference, R10-HTC",25727621,21100902135,,Conference Proceeding,2020-December,,9357016,,,,1,0,,,,,
8,2-s2.0-85099701613,10.1109/SSCI47803.2020.9308411,,,Beneficial Catastrophes: Leveraging Abiotic Constraints through Environment-Driven Evolutionary Selection,cp,Conference Paper,Godin-Dubois K.,,Université Fédérale Toulouse Midi-Pyrénées,Toulouse,France,,,,,2020-12-01,1 December 2020,"2020 IEEE Symposium Series on Computational Intelligence, SSCI 2020",,21101034124,,Conference Proceeding,,,9308411,94-101,,,0,0,,,,,
9,2-s2.0-85099311775,10.23919/PEMWN50727.2020.9293075,,,Built in-stack localisation services with ALO,cp,Conference Paper,Van Den Bossche A.,,Université Toulouse - Jean Jaurès,Toulouse,France,,,,,2020-12-01,1 December 2020,"2020 9th IFIP International Conference on Performance Evaluation and Modeling in Wireless Networks, PEMWN 2020",,21101033876,,Conference Proceeding,,,9293075,,,,0,0,repositoryam,Green,,,
10,2-s2.0-85097782388,10.1186/s12916-020-01880-8,,33334338,Changes in evidence for studies assessing interventions for COVID-19 reported in preprints: meta-research study,ar,Article,Oikonomidi T.,,Université Paris Cité;Hôpital Hotel-Dieu AP-HP;AP-HP Assistance Publique - Hopitaux de Paris,Paris;Paris;Paris,France;France;France,,,,,2020-12-01,December 2020,BMC Medicine,,28111,17417015,Journal,18,1,402,,,,14,1,repositoryvor,Green,,,
11,2-s2.0-85097572447,10.1093/treephys/tpaa097,,32722792,Genome-wide investigation of DNA methylation dynamics reveals a critical role of DNA demethylation during the early somatic embryogenesis of Dimocarpus longan Lour,ar,Article,Chen X.,,Fujian Agriculture and Forestry University,Fuzhou,China,,,,,2020-12-01,1 December 2020,Tree Physiology,0829318X,17807,17584469,Journal,40,12,,1807-1826,,,2,0,,,,,
12,2-s2.0-85096416067,10.1038/s41467-020-19727-4,,33230217,Seeing around corners with edge-resolved transient imaging,ar,Article,Rapp J.,,Boston University;Charles Stark Draper Lab Inc,Boston;Cambridge,United States;United States,,,,,2020-12-01,December 2020,Nature Communications,,19700182758,20411723,Journal,11,1,5929,,,,13,1,repositoryam,Green,,,
13,2-s2.0-85096147342,10.1007/s11192-020-03763-4,,,Scholarly literature mining with information retrieval and natural language processing: Preface,ed,Editorial,Cabanac G.,,Université Fédérale Toulouse Midi-Pyrénées,Toulouse,France,,,,,2020-12-01,December 2020,Scientometrics,01389130,24222,15882861,Journal,125,3,,2835-2840,,,6,1,publisherfree2read,Bronze,,,
14,2-s2.0-85094617495,10.3390/computers9040085,,,Statistical model-based classification to detect patient-specific spike-and-wave in eeg signals,ar,Article,Quintero-Rincón A.,,Pontificia Universidad Catolica Argentina;Fundacion Para La Lucha Contra Las Enfermedades Neurologicas de La Infancia,Buenos Aires;Buenos Aires,Argentina;Argentina,,,,,2020-12-01,December 2020,Computers,,21100886391,2073431X,Journal,9,4,85,1-14,,,1,1,repositoryam,Green,,,
15,2-s2.0-85094587561,10.1016/j.plaphy.2020.10.009,S0981942820304988,33120109,Genome-wide identification and comprehensive analyses of NAC transcription factor gene family and expression patterns during somatic embryogenesis in Dimocarpus longan Lour,ar,Article,Munir N.,,Fujian Agriculture and Forestry University,Fuzhou,China,,,,,2020-12-01,December 2020,Plant Physiology and Biochemistry,09819428,16617,,Journal,157,,,169-184,,,5,0,,,,,
16,2-s2.0-85091233067,10.1016/j.suscom.2020.100447,S2210537920301712,,Energy-aware scheduling of malleable HPC applications using a Particle Swarm optimised greedy algorithm,ar,Article,Dupont B.,,University of Luxembourg,Esch-sur-Alzette,Luxembourg,,,,,2020-12-01,December 2020,Sustainable Computing: Informatics and Systems,22105379,19700201455,,Journal,28,,100447,,,,0,0,repositoryam,Green,,,
17,2-s2.0-85090340728,10.1016/j.artint.2020.103382,S0004370220301326,,Autoepistemic answer set programming,ar,Article,Cabalar P.,,Universidade da Coruña,A Coruna,Spain,,,,,2020-12-01,December 2020,Artificial Intelligence,00043702,23675,,Journal,289,,103382,,,,3,0,,,,,
18,2-s2.0-85089751377,10.1016/j.scico.2020.102533,S0167642320301416,,SApHESIA: An agent-based model and a criticality-based heuristic for cooperatively coupling SoSs,ar,Article,Camps V.,,Universite Paul Sabatier Toulouse III,Toulouse,France,,,,,2020-12-01,1 December 2020,Science of Computer Programming,01676423,28416,,Journal,200,,102533,,,,0,1,publisherfree2read,Bronze,,,
19,2-s2.0-85089432500,10.1016/j.inffus.2020.08.008,S1566253520303377,,Robust fusion algorithms for unsupervised change detection between multi-band optical images — A comprehensive case study,ar,Article,Ferraris V.,,Université Fédérale Toulouse Midi-Pyrénées,Toulouse,France,,,,,2020-12-01,December 2020,Information Fusion,15662535,26099,,Journal,64,,,293-317,,,1,0,repositoryam,Green,,,
20,2-s2.0-85089295262,10.1007/s10115-020-01501-z,,,SLA-driven resource re-allocation for SQL-like queries in the cloud,ar,Article,Kandi M.M.,,Universite Paul Sabatier Toulouse III,Toulouse,France,,,,,2020-12-01,1 December 2020,Knowledge and Information Systems,02191377,15703,02193116,Journal,62,12,,4653-4680,,,0,0,,,,,
21,2-s2.0-85089263779,10.1186/s13638-020-01773-7,,,Spatially coupled turbo-coded continuous phase modulation: asymptotic analysis and optimization,ar,Article,Benaddi T.,,"Laboratoire des Sciences et Techniques de l'Information, de la Communication et de la Connaissance (Lab-Sticc)",Brest,France,,,,,2020-12-01,1 December 2020,Eurasip Journal on Wireless Communications and Networking,16871472,18202,16871499,Journal,2020,1,159,,,,0,1,repositoryvor,Green,,,
22,2-s2.0-85089009856,10.1016/j.simpat.2020.102151,S1569190X20300903,,Design and verification of a mobile robot based on the integrated model of cyber-Physical systems,ar,Article,Levshun D.,,"St. Petersburg Federal Research Center of the Russian Academy of Sciences;Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO",Saint Petersburg;Saint Petersburg,Russian Federation;Russian Federation,,,,,2020-12-01,December 2020,Simulation Modelling Practice and Theory,1569190X,12189,,Journal,105,,102151,,,,3,0,,,,,
23,2-s2.0-85087525067,10.1016/j.simpat.2020.102143,S1569190X20300824,,Continuous fields: Enhanced in-vehicle anomaly detection using machine learning models,ar,Article,Fenzl F.,,Fraunhofer Institute for Secure Information Technology SIT;Technische Hochschule Mittelhessen,Darmstadt;Giessen,Germany;Germany,,,,,2020-12-01,December 2020,Simulation Modelling Practice and Theory,1569190X,12189,,Journal,105,,102143,,,,4,1,publisherhybridgold,Hybrid Gold,,,
24,2-s2.0-85087294176,10.1007/s10440-020-00344-8,,,Tangency Property and Prior-Saturation Points in Minimal Time Problems in the Plane,ar,Article,Bayen T.,,Université d'Avignon et des Pays du Vaucluse,Avignon,France,,,,,2020-12-01,1 December 2020,Acta Applicandae Mathematicae,01678019,24099,15729036,Journal,170,1,,515-537,,,1,0,repositoryam,Green,,,
25,2-s2.0-85103861089,10.1109/ICAASE51408.2020.9380123,,,Development of an intelligent electronic sentinel for the monitoring and detection of meteorological phenomena due to global climate change,cp,Conference Paper,Salheddine S.,,Université Constantine,Constantine,Algeria,,,,,2020-11-28,28 November 2020,"ICAASE 2020 - Proceedings, 4th International Conference on Advanced Aspects of Software Engineering",,21101041988,,Conference Proceeding,,,9380123,,,,1,0,,,,,
26,2-s2.0-85097335943,10.1145/3414685.3417784,,,A benchmark for rough sketch cleanup,ar,Article,Yan C.,,George Mason University,Fairfax,United States,,,,,2020-11-26,26 November 2020,ACM Transactions on Graphics,07300301,24972,15577368,Journal,39,6,163,,,,7,1,repositoryvor,Green,,,
27,2-s2.0-85097284017,10.1049/el.2020.1962,,,Web-based efficient dual attention networks to detect COVID-19 from X-ray images,ar,Article,Kamal Sarker M.M.,,Universitat de Barcelona,Barcelona,Spain,,,,,2020-11-26,26 November 2020,Electronics Letters,00135194,24918,,Journal,56,24,,1298-1301,,,4,1,repositoryam,Green,,,
28,2-s2.0-85100258930,10.1109/ITNAC50341.2020.9315166,,,A distributed algorithm for range-based localization in sparse wireless networks,cp,Conference Paper,Vey Q.,,IRIT Institut de Recherche Informatique de Toulouse,Toulouse,France,,,,,2020-11-25,25 November 2020,"2020 30th International Telecommunication Networks and Applications Conference, ITNAC 2020",,21101034512,,Conference Proceeding,,,9315166,,,,1,0,,,,,
29,2-s2.0-85099879607,10.1109/LCN48667.2020.9314777,,,L3SFA: Load Shifting Strategy for Spreading Factor Allocation in LoRaWAN Systems,cp,Conference Paper,Hamnache M.,,Institut National Polytechnique de Toulouse,Toulouse,France,,,,,2020-11-16,16 November 2020,"Proceedings - Conference on Local Computer Networks, LCN",,21101034391,,Conference Proceeding,2020-November,,9314777,216-224,,,1,0,,,,,
