,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85114397602,10.1109/WIIAT50758.2020.00017,,,A game theoretical approach to self-assembly in swarm robotics,cp,Conference Paper,Iwase T.,,Toyota Motor Europe NV/SA,Zaventem,Belgium,,,,,2020-12-01,December 2020,"Proceedings - 2020 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology, WI-IAT 2020",,21101058341,,Conference Proceeding,,,9457789,90-97,,,0,0,,,,,
1,2-s2.0-85097594376,10.3389/frobt.2020.561660,,,A Formal Account of Structuring Motor Actions With Sensory Prediction for a Naive Agent,ar,Article,Godon J.M.,,Sorbonne Universite,Paris,France,,,,,2020-12-01,1 December 2020,Frontiers in Robotics and AI,,21100868821,22969144,Journal,7,,561660,,,,0,1,repositoryam,Green,,,
2,2-s2.0-85094971016,10.1186/s12888-020-02930-4,,33148207,Borderline personality disorder and prior suicide attempts define a severity gradient among hospitalized adolescent suicide attempters,ar,Article,Aouidad A.,,Hôpital Universitaire Pitié Salpêtrière,Paris,France,,,,,2020-12-01,1 December 2020,BMC Psychiatry,,14260,1471244X,Journal,20,1,525,,,,4,1,repositoryvor,Green,,,
3,2-s2.0-85092592793,10.1007/s00221-020-05941-5,,33057868,The impact of emotional videos and emotional static faces on postural control through a personality trait approach,ar,Article,Lebert A.,,Université Paris Cité,Paris,France,,,,,2020-12-01,1 December 2020,Experimental Brain Research,00144819,15585,14321106,Journal,238,12,,2877-2886,,,3,0,,,,,
4,2-s2.0-85092465338,10.1007/s11948-020-00272-8,,33048325,Ethical Decision Making in Autonomous Vehicles: The AV Ethics Project,ar,Article,Evans K.,,Sorbonne Universite;Institut VEDECOM,Paris;Versailles,France;France,,,,,2020-12-01,December 2020,Science and Engineering Ethics,13533452,23590,14715546,Journal,26,6,,3285-3312,,,4,1,repositoryvor,Green,,,
5,2-s2.0-85088636470,10.1038/s41467-020-17343-w,,32724052,Global reward state affects learning and activity in raphe nucleus and anterior insula in monkeys,ar,Article,Wittmann M.K.,,University of Oxford,Oxford,United Kingdom,,,,,2020-12-01,1 December 2020,Nature Communications,,19700182758,20411723,Journal,11,1,3771,,,,18,1,repositoryam,Green,,,
6,2-s2.0-85079669706,10.1038/s41398-020-0743-8,,32066713,Behavior and interaction imaging at 9 months of age predict autism/intellectual disability in high-risk infants with West syndrome,ar,Article,Ouss L.,,Hôpital Necker Enfants Malades,Paris,France,,,,,2020-12-01,1 December 2020,Translational Psychiatry,,19900191866,21583188,Journal,10,1,54,,,,2,1,repositoryvor,Green,,,
7,2-s2.0-85079495312,10.1007/s00787-020-01491-x,,32052175,Repeating a suicide attempt during adolescence: risk and protective factors 12 months after hospitalization,ar,Article,Mirkovic B.,,"Laboratoire de Recherches Cliniques et en Santé Publique sur les Handicaps Psychiques, Cognitifs et Moteurs;Université de Rouen Normandie",Versailles;Mont-Saint-Aignan,France;France,,,,,2020-12-01,1 December 2020,European Child and Adolescent Psychiatry,10188827,15548,1435165X,Journal,29,12,,1729-1740,,,6,0,,,,,
8,2-s2.0-85078149799,10.1038/s42003-020-0759-x,,31965053,Mice adaptively generate choice variability in a deterministic task,ar,Article,Belkaid M.,,Sorbonne Universite,Paris,France,,,,,2020-12-01,1 December 2020,Communications Biology,,21100924827,23993642,Journal,3,1,34,,,,4,1,repositoryam,Green,,,
9,2-s2.0-85096058065,10.3389/frobt.2020.597859,,,Editorial: Designing Self-Organization in the Physical Realm,ed,Editorial,Hamann H.,,Universität zu Lübeck,Lübeck,Germany,,,,,2020-11-02,2 November 2020,Frontiers in Robotics and AI,,21100868821,22969144,Journal,7,,597859,,,,0,1,repositoryvor,Green,,,
10,2-s2.0-85115837285,10.1109/TMRB.2020.3034720,,,Automatic Tip-Steering of Concentric Tube Robots in the Trachea Based on Visual SLAM,ar,Article,Girerd C.,,Department of Mechanical and Aerospace Engineering;Université Bourgogne Franche-Comté,San Diego;Besancon,United States;France,,,,,2020-11-01,November 2020,IEEE Transactions on Medical Robotics and Bionics,,21101060161,25763202,Journal,2,4,9244078,582-585,,,0,0,repositoryam,Green,,,
11,2-s2.0-85115822946,10.1109/TMRB.2020.3032456,,,Micro/Macro-Scale Robotic Approach for Middle Ear Surgery,ar,Article,So J.H.,,Sorbonne Universite,Paris,France,,,,,2020-11-01,November 2020,IEEE Transactions on Medical Robotics and Bionics,,21101060161,25763202,Journal,2,4,9233351,533-536,,,1,0,repositoryam,Green,,,
12,2-s2.0-85101487759,10.1109/FG47880.2020.00081,,,MoDuL: Deep Modal and Dual Landmark-wise Gated Network for Facial Expression Recognition,cp,Conference Paper,Bernheim S.,,Sorbonne Universite,Paris,France,,,,,2020-11-01,November 2020,"Proceedings - 2020 15th IEEE International Conference on Automatic Face and Gesture Recognition, FG 2020",,21101038831,,Conference Proceeding,,,9320284,153-159,,,0,0,,,,,
