,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85099887406,10.1109/CDC42340.2020.9304116,,,Robust Satisfaction of Nonlinear Requirements in Control Problems,cp,Conference Paper,Pouilly-Cathelain M.,,Safran Electronics and Defense,Massy,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304116,1242-1247,,,1,0,repositoryam,Green,,,
1,2-s2.0-85099885579,10.1109/CDC42340.2020.9304125,,,On Quantization in Discrete-Time Control Systems: Stability Analysis of Ternary Controllers,cp,Conference Paper,Valmorbida G.,,Universite Paris-Saclay,Saint-Aubin,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304125,2543-2548,,,0,0,,,,,
2,2-s2.0-85099882866,10.1109/CDC42340.2020.9303815,,,Data-Driven System Identification of Linear Quantum Systems Coupled to Time-Varying Coherent Inputs,cp,Conference Paper,Nurdin H.I.,,UNSW Sydney,Sydney,Australia,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9303815,3829-3835,,,0,0,repositoryam,Green,,,
3,2-s2.0-85099881164,10.1109/CDC42340.2020.9304469,,,From constraint satisfactions to periodic positive invariance for discrete-time systems,cp,Conference Paper,Soyer M.,,Renault,Boulogne-Billancourt,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304469,4547-4552,,,1,0,repositoryam,Green,,,
4,2-s2.0-85099880389,10.1109/CDC42340.2020.9304330,,,Formal Synthesis from Control Programs,cp,Conference Paper,Sinyakov V.,,Universite Paris-Saclay,Saint-Aubin,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304330,2138-2145,,,1,0,repositoryam,Green,,,
5,2-s2.0-85099880280,10.1109/CDC42340.2020.9303964,,,An LMI-based iterative algorithm for state and output feedback stabilization of discrete-time Lur'e systems,cp,Conference Paper,Bertolin A.L.J.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9303964,2561-2566,,,1,0,repositoryam,Green,,,
6,2-s2.0-85099879484,10.1109/CDC42340.2020.9304009,,,On the robustness of stabilizing feedbacks for quantum spin-1/2 systems,cp,Conference Paper,Liang W.,,CY Cergy Paris Université,Cergy-Pontoise,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304009,3842-3847,,,2,0,repositoryam,Green,,,
7,2-s2.0-85099876937,10.1109/CDC42340.2020.9304480,,,A differential-delay estimator for thermoacoustic oscillations in a Rijke tube using in-domain pressure measurements,cp,Conference Paper,Auriol J.,,Universite Paris-Saclay,Saint-Aubin,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304480,4417-4422,,,0,0,repositoryam,Green,,,
8,2-s2.0-85099876148,10.1109/CDC42340.2020.9303851,,,On stable right-inversion of non-minimum-phase systems,cp,Conference Paper,Elobaid M.,,Sapienza Università di Roma,Rome,Italy,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9303851,5153-5158,,,0,0,repositoryam,Green,,,
9,2-s2.0-85101226685,10.1109/GLOBECOM42002.2020.9348256,,,Continuous Time Markov Chain Traffic Model for Urban Environments,cp,Conference Paper,Oumaima E.J.,,Universite Paris-Saclay,Saint-Aubin,France,,,,,2020-12-01,December 2020,"2020 IEEE Global Communications Conference, GLOBECOM 2020 - Proceedings",,21101038715,,Conference Proceeding,2020-January,,9348256,,,,2,0,,,,,
