,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85096676517,10.1021/acsabm.0c00772,,,Nanoscale Evidence Unravels Microalgae Flocculation Mechanism Induced by Chitosan,ar,Article,Demir I.,,Université Fédérale Toulouse Midi-Pyrénées,Toulouse,France,,,,,2020-12-21,21 December 2020,ACS Applied Bio Materials,,21100912215,25766422,Journal,3,12,,8446-8459,,,7,0,repositoryam,Green,,,
1,2-s2.0-85098888560,10.3233/FAIA200923,,,In Love with a Corporation without Knowing It: An Asymmetrical Relationship,cp,Conference Paper,Boine C.,,University of Ottawa;Boston University,Ottawa;Boston,Canada;United States,,,,,2020-12-15,15 December 2020,Frontiers in Artificial Intelligence and Applications,09226389,19500157321,,Book Series,335,,,269-281,,,0,0,repositoryam,Green,,,
2,2-s2.0-85098881025,10.3233/FAIA200954,,,What Does It Take to Be a Social Agent?,cp,Conference Paper,Fernández Castro V.,,Institut Jean Nicod;Université Fédérale Toulouse Midi-Pyrénées,Paris;Toulouse,France;France,,,,,2020-12-15,15 December 2020,Frontiers in Artificial Intelligence and Applications,09226389,19500157321,,Book Series,335,,,540-549,,,0,0,repositoryam,Green,,,
3,2-s2.0-85098863607,10.3233/FAIA200950,,,Social Models for Social Robotics,cp,Conference Paper,Clodic A.,,Université Fédérale Toulouse Midi-Pyrénées,Toulouse,France,,,,,2020-12-15,15 December 2020,Frontiers in Artificial Intelligence and Applications,09226389,19500157321,,Book Series,335,,,515-519,,,0,0,,,,,
4,2-s2.0-85098862316,10.3233/FAIA200916,,,A Horizontal Approach to Communication for Human-Robot Joint Action: Towards Situated and Sustainable Robotics,cp,Conference Paper,Belhassein K.,,Université Fédérale Toulouse Midi-Pyrénées;Université Toulouse - Jean Jaurès,Toulouse;Toulouse,France;France,,,,,2020-12-15,15 December 2020,Frontiers in Artificial Intelligence and Applications,09226389,19500157321,,Book Series,335,,,204-214,,,1,0,repositoryam,Green,,,
5,2-s2.0-85093702346,10.1016/j.nimb.2020.09.025,S0168583X20304390,,Parametric study of the Two-Temperature Model for Molecular Dynamics simulations of collisions cascades in Si and Ge,ar,Article,Jarrin T.,,Université Fédérale Toulouse Midi-Pyrénées;Commissariat a L'Energie Atomique CEA,Toulouse;Gif-sur-Yvette,France;France,,,,,2020-12-15,15 December 2020,"Nuclear Instruments and Methods in Physics Research, Section B: Beam Interactions with Materials and Atoms",0168583X,29068,,Journal,485,,,1-9,,,2,0,repositoryam,Green,,,
6,2-s2.0-85104435367,10.1109/IMBIoC47321.2020.9385011,,,Evaluation of Cell Membrane Effects after 3D Multicellular Spheroids RF Exposure,cp,Conference Paper,Kolosnjaj-Tabi J.,,IPBS Institut de Pharmacologie et de Biologie Structurale,Toulouse,France,,,,,2020-12-14,14 December 2020,"2020 IEEE MTT-S International Microwave Biomedical Conference, IMBioC 2020",,21101042910,,Conference Proceeding,,,9385011,,,,0,0,repositoryam,Green,,,
7,2-s2.0-85104430125,10.1109/IMBIoC47321.2020.9385022,,,Detection of a Macromolecule Denaturation with Microwave Dielectric Spectroscopy based on Hydration Modifications,cp,Conference Paper,Grenier K.,,Universite Paul Sabatier Toulouse III,Toulouse,France,,,,,2020-12-14,14 December 2020,"2020 IEEE MTT-S International Microwave Biomedical Conference, IMBioC 2020",,21101042910,,Conference Proceeding,,,9385022,,,,1,0,repositoryam,Green,,,
8,2-s2.0-85104428455,10.1109/IMBIoC47321.2020.9385050,,,Microwave-Based Sensor Dedicated to the Characterization of Meat Freshness,cp,Conference Paper,Calvet-Chautard M.,,Laboratoire d'Analyse et d'Architecture des Systemes,Toulouse,France,,,,,2020-12-14,14 December 2020,"2020 IEEE MTT-S International Microwave Biomedical Conference, IMBioC 2020",,21101042910,,Conference Proceeding,,,9385050,,,,0,0,repositoryam,Green,,,
9,2-s2.0-85099882726,10.1109/CDC42340.2020.9303826,,,A New Product Construction for the Diagnosability of Patterns in Time Petri Net,cp,Conference Paper,Lubat E.,,Université Fédérale Toulouse Midi-Pyrénées,Toulouse,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9303826,104-109,,,0,0,repositoryam,Green,,,
