,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85104462989,10.1109/IMBIoC47321.2020.9385037,,,Use of Coplanar Quarter-Wave Resonators for Glucose Sensing in Aqueous Solutions,cp,Conference Paper,Juan C.G.,,Universidad Miguel Hernández de Elche,Elche,Spain,,,,,2020-12-14,14 December 2020,"2020 IEEE MTT-S International Microwave Biomedical Conference, IMBioC 2020",,21101042910,,Conference Proceeding,,,9385037,,,,2,0,,,,,
1,2-s2.0-85104427598,10.1109/IMBIoC47321.2020.9385034,,,Biosensor Based on a Resonant Technique for Aqueous Glucose Monitoring Using Standardized Medical Test Tubes,cp,Conference Paper,Srour M.,,Université de Brest (UBO),Brest,France,,,,,2020-12-14,14 December 2020,"2020 IEEE MTT-S International Microwave Biomedical Conference, IMBioC 2020",,21101042910,,Conference Proceeding,,,9385034,,,,1,0,,,,,
2,2-s2.0-85098246090,10.3390/rs12244156,,,Neural network approaches to reconstruct phytoplankton time-series in the global ocean,le,Letter,Martinez E.,,Université de Brest (UBO),Brest,France,,,,,2020-12-02,2 December 2020,Remote Sensing,,86430,20724292,Journal,12,24,4156,1-13,,,3,1,repositoryvor,Green,,,
3,2-s2.0-85105787314,10.1109/CloudCom49646.2020.00009,,,ReLeaSER: A Reinforcement Learning Strategy for Optimizing Utilization of Ephemeral Cloud Resources,cp,Conference Paper,Handaoui M.,,Université de Brest (UBO),Brest,France,,,,,2020-12-01,December 2020,"Proceedings of the International Conference on Cloud Computing Technology and Science, CloudCom",23302194,21100310005,23302186,Conference Proceeding,2020-December,,9407327,65-73,,,0,0,repositoryam,Green,,,
4,2-s2.0-85100946672,10.1109/EUC50751.2020.00008,,,An iterative approach to automate the tuning of continuous controller parameters,cp,Conference Paper,El Baccouri H.,,"Laboratoire des Sciences et Techniques de l'Information, de la Communication et de la Connaissance (Lab-Sticc)",Brest,France,,,,,2020-12-01,December 2020,"Proceedings - 2020 IEEE 18th International Conference on Embedded and Ubiquitous Computing, EUC 2020",,21101080978,,Conference Proceeding,,,9343398,1-8,,,0,0,,,,,
5,2-s2.0-85097900303,10.3390/electronics9122168,,,Sacrificial volume materials for small hole generation in low-temperature cofired ceramics,ar,Article,Kärnfelt C.,,"Laboratoire des Sciences et Techniques de l'Information, de la Communication et de la Connaissance (Lab-Sticc)",Brest,France,,,,,2020-12-01,December 2020,Electronics (Switzerland),,21100829272,20799292,Journal,9,12,2168,1-17,,,0,1,repositoryvor,Green,,,
6,2-s2.0-85097349410,10.1109/TCSI.2020.2994812,,,A Pipelined Reduced Complexity Two-Stages Parallel LMS Structure for Adaptive Beamforming,ar,Article,Akkad G.,,"Laboratoire des Sciences et Techniques de l'Information, de la Communication et de la Connaissance (Lab-Sticc)",Brest,France,,,,,2020-12-01,December 2020,IEEE Transactions on Circuits and Systems I: Regular Papers,15498328,11000153733,15580806,Journal,67,12,9099039,5079-5091,,,7,0,,,,,
7,2-s2.0-85097317228,10.1088/2040-8986/abb8c4,,,Resonant amplification of surface plasmon polaritons with an electric current in a single-walled carbon nanotube lying on a spatially modulated substrate,ar,Article,Kadochkin A.S.,,"Institute of Nanotechnologies of Microelectronics, Russian Academy of Sciences;Ulyanovsk State University",Moscow;Ulyanovsk,Russian Federation;Russian Federation,,,,,2020-12-01,1 December 2020,Journal of Optics (United Kingdom),20408978,19700189500,20408986,Journal,22,12,125002,,,,3,0,,,,,
8,2-s2.0-85097252518,10.3390/electronics9122021,,,Switchable dbr filters using semiconductor distributed doped areas (Scddas),ar,Article,Allanic R.,,Université de Brest (UBO),Brest,France,,,,,2020-12-01,December 2020,Electronics (Switzerland),,21100829272,20799292,Journal,9,12,2021,1-11,,,0,1,repositoryvor,Green,,,
9,2-s2.0-85097087735,10.1109/TCSII.2020.2997691,,,Fully Parallel Circular-Shift Rotation Network for Communication Standards,ar,Article,Harb H.,,Universite de Bretagne-Sud,Lorient,France,,,,,2020-12-01,December 2020,IEEE Transactions on Circuits and Systems II: Express Briefs,15497747,9500153930,15583791,Journal,67,12,9099895,3412-3416,,,4,0,,,,,
10,2-s2.0-85092720443,10.1016/j.jisa.2020.102627,S2214212620307912,,Automated exploration of homomorphic encryption scheme input parameters,ar,Article,Feron C.,,"Laboratoire des Sciences et Techniques de l'Information, de la Communication et de la Connaissance (Lab-Sticc)",Brest,France,,,,,2020-12-01,December 2020,Journal of Information Security and Applications,22142134,21100332403,22142126,Journal,55,,102627,,,,0,1,repositoryam,Green,,,
11,2-s2.0-85090836600,10.1007/s11069-020-04279-z,,,Wave group focusing in the ocean: estimations using crest velocities and a Gaussian linear model,ar,Article,Platzer P.,,"Laboratoire des Sciences et Techniques de l'Information, de la Communication et de la Connaissance (Lab-Sticc);Laboratoire des Sciences du Climat et de l'Environnement;Commissariat a L'Energie Atomique CEA;France Energies Marines",Brest;Gif-sur-Yvette;Gif-sur-Yvette;Plouzane,France;France;France;France,,,,,2020-12-01,1 December 2020,Natural Hazards,0921030X,23282,15730840,Journal,104,3,,2431-2449,,,3,0,,,,,
12,2-s2.0-85090387315,10.1038/s41598-020-71233-1,,32908167,A laser emitting contact lens for eye tracking,ar,Article,Khaldi A.,,IMT Atlantique,Nantes,France,,,,,2020-12-01,1 December 2020,Scientific Reports,,21100200805,20452322,Journal,10,1,14804,,,,7,1,repositoryvor,Green,,,
13,2-s2.0-85090315785,10.1007/s12243-020-00804-0,,,Energy optimization of quantized min-sum decoders for protograph-based LDPC codes,ar,Article,Yaoumi M.,,"Laboratoire des Sciences et Techniques de l'Information, de la Communication et de la Connaissance (Lab-Sticc)",Brest,France,,,,,2020-12-01,December 2020,Annales des Telecommunications/Annals of Telecommunications,00034347,17722,19589395,Journal,75,11-12,,615-621,,,0,0,repositoryam,Green,,,
