,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85096669196,10.7326/M20-5261,,32931326,The COVID-NMA project: Building an evidence ecosystem for the COVID-19 pandemic,re,Review,Boutron I.,,Université Paris Cité;Hôpital Hotel-Dieu AP-HP,Paris;Paris,France;France,,,,,2020-12-15,15 December 2020,Annals of Internal Medicine,00034819,26574,15393704,Journal,173,12,,1015-1017,,,19,0,repositoryvor,Green,,,
1,2-s2.0-85103355265,10.1007/s41781-020-00042-y,,,Optimizing Cherenkov Photons Generation and Propagation in CORSIKA for CTA Monte–Carlo Simulations,ar,Article,Arrabito L.,,Laboratoire Univers et Particules de Montpellier,Montpellier,France,,,,,2020-12-01,December 2020,Computing and Software for Big Science,,21101041418,25102044,Journal,4,1,9,,,,1,0,repositoryam,Green,,,
2,2-s2.0-85102189509,10.1109/ICS51289.2020.00034,,,The Hardness and Approximation of the Densest k-Subgraph Problem in Parameterized Metric Graphs,cp,Conference Paper,Chang S.C.,,National Taipei University of Business,Taipei,Taiwan,,,,,2020-12-01,December 2020,"Proceedings - 2020 International Computer Symposium, ICS 2020",,21101039602,,Conference Proceeding,,,9359054,126-130,,,0,0,repositoryam,Green,,,
3,2-s2.0-85100947975,10.4230/LIPIcs.ISAAC.2020.7,,,Algorithms and complexity for geodetic sets on planar and chordal graphs,cp,Conference Paper,Chakraborty D.,,"Indraprastha Institute of Information Technology, Delhi",New Delhi,India,,,,,2020-12-01,December 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,181,,7,71-715,,,3,0,,,,,
4,2-s2.0-85100923050,10.4230/LIPIcs.ISAAC.2020.37,,,Linear transformations between dominating sets in the TAR-model,cp,Conference Paper,Bousquet N.,,Université Claude Bernard Lyon 1,Villeurbanne,France,,,,,2020-12-01,December 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,181,,37,371-3714,,,2,0,,,,,
5,2-s2.0-85100917595,10.4230/LIPIcs.ISAAC.2020.24,,,Discriminating codes in geometric setups,cp,Conference Paper,Dey S.,,"Indian Statistical Institute, Kolkata",Kolkata,India,,,,,2020-12-01,December 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,181,,24,241-2416,,,0,0,,,,,
6,2-s2.0-85100914789,10.4230/LIPIcs.ISAAC.2020.30,,,Finding temporal paths under waiting time constraints,cp,Conference Paper,Casteigts A.,,Université de Bordeaux,Bordeaux,France,,,,,2020-12-01,December 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,181,,30,301-3018,,,6,0,,,,,
7,2-s2.0-85100420837,10.1109/GLOBECOM42002.2020.9322147,,,Proactive Autoscaling for Cloud-Native Applications using Machine Learning,cp,Conference Paper,Marie-Magdelaine N.,,Université de Bordeaux;Lectra SA,Bordeaux;Cestas,France;France,,,,,2020-12-01,December 2020,"2020 IEEE Global Communications Conference, GLOBECOM 2020 - Proceedings",,21101036128,,Conference Proceeding,,,9322147,,,,1,0,,,,,
8,2-s2.0-85097470965,10.1016/j.heliyon.2020.e05652,S2405844020324956,,Improving Alzheimer's stage categorization with Convolutional Neural Network using transfer learning and different magnetic resonance imaging modalities,ar,Article,Aderghal K.,,Université de Bordeaux;Faculté des Sciences - Agadir,Bordeaux;Agadir,France;Morocco,,,,,2020-12-01,December 2020,Heliyon,24058440,21100411756,,Journal,6,12,e05652,,,,13,1,repositoryvor,Green,,,
9,2-s2.0-85094974458,10.1016/j.visinf.2020.09.005,S2468502X2030036X,,On visualization techniques comparison for large social networks overview: A user experiment,ar,Article,Pinaud B.,,Laboratoire Bordelais de Recherche en Informatique,Talence,France,,,,,2020-12-01,December 2020,Visual Informatics,25432656,21100907392,2468502X,Journal,4,4,,23-34,,,3,1,repositoryam,Green,,,
