,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85099886318,10.1109/CDC42340.2020.9303940,,,Fixed-time convergent consensus algorithm of networked nonholonomic multi-agent systems,cp,Conference Paper,Defoort M.,,Université Polytechnique Hauts-de-France,Valenciennes,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9303940,3537-3542,,,1,0,repositoryam,Green,,,
1,2-s2.0-85097559240,10.3390/s20247112,,33322442,A framework for detecting and analyzing behavior changes of elderly people over time using learning techniques,ar,Article,Zekri D.,,University of Sfax;Université Polytechnique Hauts-de-France,Sfax;Valenciennes,Tunisia;France,,,,,2020-12-02,2 December 2020,Sensors (Switzerland),14248220,130124,,Journal,20,24,7112,1-27,,,3,1,repositoryvor,Green,,,
2,2-s2.0-85105997534,10.1115/1.4048399,,32909597,Multimodal Evaluation of the Spatiotemporal Variations of Periprosthetic Bone Properties,ar,Article,Fraulob M.,,Université Paris-Est Créteil,Creteil,France,,,,,2020-12-01,1 December 2020,Journal of Biomechanical Engineering,01480731,15845,15288951,Journal,142,12,121014,,,,2,0,repositoryam,Green,,,
3,2-s2.0-85102958994,10.1109/GCWkshps50303.2020.9367534,,,Prediction of Risk Factors for Fall using Bayesian Networks with Partial Health Information,cp,Conference Paper,Sihag G.,,LAMIH,Valenciennes,France,,,,,2020-12-01,December 2020,"2020 IEEE Globecom Workshops, GC Wkshps 2020 - Proceedings",,21101040695,,Conference Proceeding,,,367534,,,,1,0,,,,,
4,2-s2.0-85097544632,10.1038/s41598-020-78806-0,,33319800,Quantitative ultrasound assessment of the influence of roughness and healing time on osseointegration phenomena,ar,Article,Fraulob M.,,Université Paris-Est Créteil,Creteil,France,,,,,2020-12-01,December 2020,Scientific Reports,,21100200805,20452322,Journal,10,1,21962,,,,2,1,repositoryvor,Green,,,
5,2-s2.0-85097352505,10.1049/iet-cps.2019.0063,,,Multi-agent system for the reactive fleet maintenance support planning of a fleet of mobile cyber-physical systems,ar,Article,Mbuli J.,,Université Polytechnique Hauts-de-France;Bombardier Transport,Valenciennes;,France;France,,,,,2020-12-01,1 December 2020,IET Cyber-Physical Systems: Theory and Applications,,21100912216,23983396,Journal,5,4,,376-387,,,1,1,publisherfullgold,Gold,,,
6,2-s2.0-85097350013,10.3390/ma13235582,,,A multiscale topographical analysis based on morphological information: The HEVC multiscale decomposition,ar,Article,Eseholi T.,,Université Polytechnique Hauts-de-France,Valenciennes,France,,,,,2020-12-01,December 2020,Materials,,76627,19961944,Journal,13,23,5582,1-31,,,2,1,repositoryam,Green,,,
7,2-s2.0-85096057183,10.3390/bioengineering7040139,,,Instrumented analysis of the sit-to-stand movement for geriatric screening: A systematic review,re,Review,Shukla B.,,Indian Institute of Technology Jodhpur,Jodhpur,India,,,,,2020-12-01,December 2020,Bioengineering,,21100886380,23065354,Journal,7,4,139,1-13,,,3,1,repositoryvor,Green,,,
8,2-s2.0-85095990388,10.1007/s11071-020-06075-7,,,Autonomous and non-autonomous fixed-time leader–follower consensus for second-order multi-agent systems,ar,Article,Trujillo M.A.,,CINVESTAV Unidad Guadalajara,Guadalajara,Mexico,,,,,2020-12-01,December 2020,Nonlinear Dynamics,0924090X,21576,1573269X,Journal,102,4,,2669-2686,,,1,0,,,,,
9,2-s2.0-85091303421,10.1109/TIE.2020.2978693,,,Output-Constrained Robust Sliding Mode Based Nonlinear Active Suspension Control,ar,Article,Rath J.J.,,Université Polytechnique Hauts-de-France,Valenciennes,France,,,,,2020-12-01,December 2020,IEEE Transactions on Industrial Electronics,02780046,26053,15579948,Journal,67,12,9032311,10652-10662,,,16,0,,,,,
10,2-s2.0-85090329880,10.1038/s41598-020-70907-0,,32901063,Topographical curvature is sufficient to control epithelium elongation,ar,Article,Rougerie P.,,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2020-12-01,1 December 2020,Scientific Reports,,21100200805,20452322,Journal,10,1,14784,,,,5,1,repositoryvor,Green,,,
11,2-s2.0-85088744238,10.1016/j.msec.2020.111276,S0928493119301870,32919640,Experimental characterization and micromechanical modeling of the elastic response of the human humerus under bending impact,ar,Article,Rahmoun J.,,Université Polytechnique Hauts-de-France,Valenciennes,France,,,,,2020-12-01,December 2020,Materials Science and Engineering C,09284931,17813,18730191,Journal,117,,111276,,,,2,0,,,,,
12,2-s2.0-85060618464,10.1080/00207179.2019.1569262,,,Predefined-time stabilisation of a class of nonholonomic systems,ar,Article,Sánchez-Torres J.D.,,Instituto Tecnológico y de Estudios Superiores de Occidente,Tlaquepaque,Mexico,,,,,2020-12-01,December 2020,International Journal of Control,00207179,12342,13665820,Journal,93,12,,2941-2948,,,23,0,,,,,
13,2-s2.0-85088032309,10.1016/j.fuel.2020.118644,S0016236120316409,,A comparative analysis of different methods to improve the performance of rubber seed oil fuelled compression ignition engine,ar,Article,Edwin Geo V.,,SRM Institute of Science and Technology,Chennai,India,,,,,2020-11-15,15 November 2020,Fuel,00162361,16313,,Journal,280,,118644,,,,7,0,,,,,
14,2-s2.0-85099445100,10.1109/CCE50788.2020.9299189,,,Observer-Based Leader-Follower Consensus Tracking with Fixed-Time Convergence,cp,Conference Paper,Trujillo M.A.,,CINVESTAV-Guadalajara,Zapopan,Mexico,,,,,2020-11-11,11 November 2020,"2020 17th International Conference on Electrical Engineering, Computing Science and Automatic Control, CCE 2020",,21101033928,,Conference Proceeding,,,9299189,,,,0,0,,,,,
15,2-s2.0-85099443566,10.1109/CCE50788.2020.9299184,,,Discretization of the Robust Exact Filtering Differentiator Based on the Matching Approach,cp,Conference Paper,Carvajal-Rubio J.E.,,CINVESTAV Unidad Guadalajara,Guadalajara,Mexico,,,,,2020-11-11,11 November 2020,"2020 17th International Conference on Electrical Engineering, Computing Science and Automatic Control, CCE 2020",,21101033928,,Conference Proceeding,,,9299184,,,,0,0,,,,,
16,2-s2.0-85096602973,10.1145/3406499.3415071,,,Game Theory-based Human-Assistant Agent Interaction Model: Feasibility Study for a Complex Task,cp,Conference Paper,Razakatiana M.,,Université de Fianarantsoa,Fianarantsoa,Madagascar,,,,,2020-11-10,10 November 2020,HAI 2020 - Proceedings of the 8th International Conference on Human-Agent Interaction,,21101028330,,Conference Proceeding,,,,187-195,,,0,0,,,,,
17,2-s2.0-85096916528,10.1145/3424616.3424706,,,STEP and IFC export to X3D,cp,Conference Paper,Paviot T.,,Arts et Metiers Institute of Technology,Paris,France,,,,,2020-11-09,9 November 2020,Proceedings - Web3D 2020: 25th ACM Conference on 3D Web Technology,,21101029436,,Conference Proceeding,,,3424706,,,,0,0,,,,,
18,2-s2.0-85089513144,10.1016/j.applthermaleng.2020.115862,S1359431120333445,,Immersion cooling effect of dielectric liquid and self-rewetting fluid on smooth and porous surface,ar,Article,Chen P.,,Université Polytechnique Hauts-de-France,Valenciennes,France,,,,,2020-11-05,5 November 2020,Applied Thermal Engineering,13594311,13688,,Journal,180,,115862,,,,4,1,publisherfree2read,Bronze,,,
19,2-s2.0-85097903845,10.1145/3415958.3433100,,,Towards a Roadmap for the Internet of Things Software Systems Engineering,cp,Conference Paper,Motta R.C.,,LAMIH;Universidade Federal do Rio de Janeiro,Valenciennes;Rio de Janeiro,France;Brazil,,,,,2020-11-02,2 November 2020,"Proceedings of the 12th International Conference on Management of Digital EcoSystems, MEDES 2020",,21101032106,,Conference Proceeding,,,,111-114,,,0,0,,,,,
20,2-s2.0-85099791180,10.1109/AICCSA50499.2020.9316512,,,A Multi-Agent Approach for Vehicle-to-Fog Fair Computation Offloading,cp,Conference Paper,Grislin-Le Strugeon E.,,Université Polytechnique Hauts-de-France,Valenciennes,France,,,,,2020-11-01,November 2020,"Proceedings of IEEE/ACS International Conference on Computer Systems and Applications, AICCSA",21615322,21100198533,21615330,Conference Proceeding,2020-November,,9316512,,,,1,0,,,,,
21,2-s2.0-85096069234,10.3390/electronics9111912,,,A distributed observer-based cyber-attack identification scheme in cooperative networked systems under switching communication topologies,ar,Article,Taoufik A.,,Université Polytechnique Hauts-de-France;University of Northumbria,Valenciennes;Newcastle,France;United Kingdom,,,,,2020-11-01,November 2020,Electronics (Switzerland),,21100829272,20799292,Journal,9,11,1912,1-20,,,1,1,repositoryam,Green,,,
22,2-s2.0-85095830544,10.1016/j.neucli.2020.10.013,S0987705320301234,33172761,Postural instability in Parkinson's disease: Review and bottom-up rehabilitative approaches,re,Review,Viseux F.J.F.,,Université Polytechnique Hauts-de-France;Hôpital Jean Bernard,Valenciennes;Poitiers,France;France,,,,,2020-11-01,November 2020,Neurophysiologie Clinique,09877053,17997,17697131,Journal,50,6,,479-487,,,4,0,,,,,
23,2-s2.0-85095797293,10.3390/s20216269,,33153178,Digital cultural heritage preservation in art painting: A surface roughness approach to the brush strokes,le,Letter,Mironova A.,,Université Polytechnique Hauts-de-France,Valenciennes,France,,,,,2020-11-01,1 November 2020,Sensors (Switzerland),14248220,130124,,Journal,20,21,6269,1-28,,,3,1,repositoryam,Green,,,
24,2-s2.0-85095688402,10.3390/su12219179,,,A survey on the usage of blockchain technology for cyber-threats in the context of industry 4.0,re,Review,Elmamy S.B.,,"Université de Tunis El Manar, Faculté des Sciences de Tunis",Tunis,Tunisia,,,,,2020-11-01,1 November 2020,Sustainability (Switzerland),,21100240100,20711050,Journal,12,21,9179,1-19,,,14,1,repositoryvor,Green,,,
25,2-s2.0-85089544169,10.1016/j.jqsrt.2020.107261,S002240732030337X,,Experimental assessment of the sudden-reversal of the oxygen dilution effect on soot production in coflow ethylene flames II: soot radiation and flame transition analysis,ar,Article,Wang Q.,,Tianjin University,Tianjin,China,,,,,2020-11-01,November 2020,Journal of Quantitative Spectroscopy and Radiative Transfer,00224073,12207,,Journal,255,,107261,,,,1,0,repositoryam,Green,,,
26,2-s2.0-85089223850,10.1016/j.automatica.2020.109176,S0005109820303745,,Leader-following consensus for multi-agent systems with nonlinear dynamics subject to additive bounded disturbances and asynchronously sampled outputs,ar,Article,Ménard T.,,Université de Caen Normandie,Caen,France,,,,,2020-11-01,November 2020,Automatica,00051098,24909,,Journal,121,,109176,,,,10,1,repositoryam,Green,,,
27,2-s2.0-85083361567,10.1109/TAC.2020.2967555,,,A Lyapunov-Like Characterization of Predefined-Time Stability,ar,Article,Jimenez-Rodriguez E.,,,,,,,,,2020-11-01,November 2020,IEEE Transactions on Automatic Control,00189286,17339,15582523,Journal,65,11,8961989,4922-4927,,,39,0,repositoryam,Green,,,
28,2-s2.0-85054753595,10.1080/02670844.2018.1529285,,,Mechanical properties of WC/Co-CNT HVOF sprayed coatings,ar,Article,Staia M.H.,,"MSMP Mechanics, Surfaces and Materials Processing;Universidad Central de Venezuela",Aix-en-Provence;Caracas,France;Venezuela,,,,,2020-11-01,1 November 2020,Surface Engineering,02670844,28462,17432944,Journal,36,11,,1156-1164,,,4,0,,,,,
29,2-s2.0-85098888531,10.1109/SMC42975.2020.9283343,,,A Biomechanical Model of Hand-Joystick Interaction of Powered Wheelchair User,cp,Conference Paper,Thuan Nguyen V.,,Université Polytechnique Hauts-de-France,Valenciennes,France,,,,,2020-10-11,11 October 2020,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",1062922X,145097,,Conference Proceeding,2020-October,,9283343,1751-1757,,,0,0,,,,,
30,2-s2.0-85098859046,10.1109/SMC42975.2020.9283441,,,"Systematic H<inf>2</inf>/H<inf>∞</inf> haptic shared control synthesis for cars, parameterized by sharing level",cp,Conference Paper,Pano B.,,Laboratoire des Sciences du Numérique de Nantes,Nantes,France,,,,,2020-10-11,11 October 2020,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",1062922X,145097,,Conference Proceeding,2020-October,,9283441,4416-4423,,,1,0,repositoryam,Green,,,
31,2-s2.0-85098858280,10.1109/SMC42975.2020.9283244,,,Human-Machine Shared Control for Semi-Autonomous Vehicles Using Level of Cooperativeness,cp,Conference Paper,Nguyen A.T.,,Université Polytechnique Hauts-de-France,Valenciennes,France,,,,,2020-10-11,11 October 2020,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",1062922X,145097,,Conference Proceeding,2020-October,,9283244,2770-2775,,,1,0,,,,,
32,2-s2.0-85098855215,10.1109/SMC42975.2020.9283287,,,Reference-Free Human-Automation Shared Control for Obstacle Avoidance of Automated Vehicles,cp,Conference Paper,Huang C.,,School of Mechanical and Aerospace Engineering,Singapore City,Singapore,,,,,2020-10-11,11 October 2020,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",1062922X,145097,,Conference Proceeding,2020-October,,9283287,4398-4403,,,2,0,,,,,
33,2-s2.0-85098850396,10.1109/SMC42975.2020.9283235,,,Joystick Haptic Force Feedback for Powered Wheelchair - A Model-based Shared Control Approach,cp,Conference Paper,Thuan Nguyen V.,,Université Polytechnique Hauts-de-France,Valenciennes,France,,,,,2020-10-11,11 October 2020,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",1062922X,145097,,Conference Proceeding,2020-October,,9283235,4453-4459,,,2,0,,,,,
34,2-s2.0-85093930831,10.1039/d0py00770f,,,A comprehensive review of the structures and properties of ionic polymeric materials,ar,Article,Potaufeux J.E.,,Université Polytechnique Hauts-de-France;Université de Mons,Valenciennes;Mons,France;Belgium,,,,,2020-10-07,7 October 2020,Polymer Chemistry,17599954,19700182678,17599962,Journal,11,37,,5914-5936,,,17,1,publisherfree2read,Bronze,,,
35,2-s2.0-85092668359,10.1080/15555240.2020.1720515,,,Physical activity and health promotion programs in the workplace: A meta-analysis of effectiveness in European organizations,ar,Article,Díaz-Benito V.J.,,Universidad Camilo José Cela;Universidad Politécnica de Madrid,Madrid;Madrid,Spain;Spain,,,,,2020-10-01,October-December 2020,Journal of Workplace Behavioral Health,15555240,4700152751,15555259,Journal,35,4,,232-255,,,3,0,,,,,
36,2-s2.0-85087177813,10.1016/j.ins.2020.05.078,S0020025520305028,,Bi-objective optimization of biclustering with binary data,ar,Article,Hanafi S.,,Université Polytechnique Hauts-de-France,Valenciennes,France,,,,,2020-10-01,October 2020,Information Sciences,00200255,15134,,Journal,538,,,444-466,,,5,1,repositoryam,Green,,,
37,2-s2.0-85079003361,10.1007/s10898-020-00884-1,,,Modelling and solving the multi-quays berth allocation and crane assignment problem with availability constraints,ar,Article,Krimi I.,,"Université Polytechnique Hauts-de-France;Ecole Mohammadia d'Ingenieurs, Mohammed V University in Rabat;Mohamed 6 Polytechnic University;OCP Group",Valenciennes;Rabat;Ben Guerir;El Jadida,France;Morocco;Morocco;Morocco,,,,,2020-10-01,1 October 2020,Journal of Global Optimization,09255001,88345,15732916,Journal,78,2,,349-373,,,6,0,,,,,
38,2-s2.0-85099639999,10.1109/ITSC45102.2020.9294410,,,Investigating stability for driver advisory train cruise control systems with aperiodically sampled measurements,cp,Conference Paper,Jain A.K.,,Université Polytechnique Hauts-de-France,Valenciennes,France,,,,,2020-09-20,20 September 2020,"2020 IEEE 23rd International Conference on Intelligent Transportation Systems, ITSC 2020",,21101034115,,Conference Proceeding,,,9294410,,,,0,0,,,,,
39,2-s2.0-85073805108,10.1080/00207543.2019.1660825,,,Proposal of a multi-agent model for the sustainable truck scheduling and containers grouping problem in a Road-Rail physical internet hub,ar,Article,Chargui T.,,Université Polytechnique Hauts-de-France;Université Abdelmalek Essaadi,Valenciennes;Tetouan,France;Morocco,,,,,2020-09-16,16 September 2020,International Journal of Production Research,00207543,27656,1366588X,Journal,58,18,,5477-5501,,,18,0,,,,,
40,2-s2.0-85094839117,10.1109/DS-RT50469.2020.9213652,,,Energy and Distance evaluation for Jamming Attacks in wireless networks,cp,Conference Paper,Bout E.,,INRIA Institut National de Recherche en Informatique et en Automatique,Le Chesnay,France,,,,,2020-09-01,September 2020,"Proceedings of the 2020 IEEE/ACM 24th International Symposium on Distributed Simulation and Real Time Applications, DS-RT 2020",,21101024110,,Conference Proceeding,,,9213652,,,,1,0,repositoryam,Green,,,
41,2-s2.0-85093982249,10.1109/ICHMS49158.2020.9209366,,,Human Fatigue Aware Cyber-Physical Production System,cp,Conference Paper,Paredes-Astudillo Y.A.,,Institution Universitaria Politecnico Grancolombiano,Bogota,Colombia,,,,,2020-09-01,September 2020,"Proceedings of the 2020 IEEE International Conference on Human-Machine Systems, ICHMS 2020",,21101023751,,Conference Proceeding,,,9209366,,,,2,0,,,,,
42,2-s2.0-85093974746,10.1109/ICHMS49158.2020.9209517,,,Conflicts in Human-Machine Systems as an Intersection of Bio-and Technosphere: Cooperation and Interaction Patterns for Human and Machine Interference and Conflict Resolution,cp,Conference Paper,Flemisch F.O.,,Rheinisch-Westfälische Technische Hochschule Aachen,Aachen,Germany,,,,,2020-09-01,September 2020,"Proceedings of the 2020 IEEE International Conference on Human-Machine Systems, ICHMS 2020",,21101023751,,Conference Proceeding,,,9209517,,,,2,0,,,,,
43,2-s2.0-85092270439,10.3390/en13184948,,,Manufacturing 4.0 operations scheduling with AGV battery management constraints,ar,Article,Abderrahim M.,,Université Oran,Oran,Algeria,,,,,2020-09-01,September 2020,Energies,,62932,19961073,Journal,13,18,4948,,,,10,1,repositoryam,Green,,,
44,2-s2.0-85092175832,10.1109/MED48518.2020.9182933,,,An output observer approach to actuator fault detection in multi-agent systems with linear dynamics,cp,Conference Paper,Taoufik A.,,Université Polytechnique Hauts-de-France;University of Northumbria,Valenciennes;Newcastle,France;United Kingdom,,,,,2020-09-01,September 2020,"2020 28th Mediterranean Conference on Control and Automation, MED 2020",,21101022990,,Conference Proceeding,,,9182933,562-567,,,1,0,,,,,
45,2-s2.0-85091718234,10.3390/APP10186250,,,Numerical study of the toughness of complex metal matrix composite topologies,ar,Article,Lemesle J.,,Université Polytechnique Hauts-de-France,Valenciennes,France,,,,,2020-09-01,September 2020,Applied Sciences (Switzerland),,21100829268,20763417,Journal,10,18,6250,,,,1,1,publisherfullgold,Gold,,,
46,2-s2.0-85091329699,10.3390/ma13184027,,,Lattice strain evolutions in Ni-W alloys during a tensile test combined with synchrotron x-ray diffraction,ar,Article,Sadat T.,,Laboratoire des Sciences des Procédés et des Matériaux;Université Polytechnique Hauts-de-France,Villetaneuse;Valenciennes,France;France,,,,,2020-09-01,September 2020,Materials,,76627,19961944,Journal,13,18,4027,,,,0,1,repositoryvor,Green,,,
47,2-s2.0-85090357713,10.1109/ICHMS49158.2020.9209521,,,Emulated haptic shared control for brain-computer interfaces improves human-robot cooperation,cp,Conference Paper,Pacaux-Lemoine M.P.,,Université Polytechnique Hauts-de-France,Valenciennes,France,,,,,2020-09-01,September 2020,"Proceedings of the 2020 IEEE International Conference on Human-Machine Systems, ICHMS 2020",,21101023751,,Conference Proceeding,,,9209521,,,,2,0,repositoryam,Green,,,
48,2-s2.0-85089436281,10.1016/j.gaitpost.2020.07.146,S0966636220304926,32818861,Effect of 3D printed foot orthoses stiffness and design on foot kinematics and plantar pressures in healthy people,ar,Article,Desmyttere G.,,University of Montreal,Montreal,Canada,,,,,2020-09-01,September 2020,Gait and Posture,09666362,28025,18792219,Journal,81,,,247-253,,,4,0,,,,,
49,2-s2.0-85087714661,10.1016/j.biotri.2020.100133,S2352573820300196,,In vivo damage study of different textured breast implants,ar,Article,Garabedian C.,,Université Polytechnique Hauts-de-France,Valenciennes,France,,,,,2020-09-01,September 2020,Biotribology,,21100264506,23525738,Journal,23,,100133,,,,2,1,repositoryam,Green,,,
