,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85091258755,10.1016/j.tcs.2020.09.010,S0304397520305090,,Maximum independent sets in subcubic graphs: New results,ar,Article,Harutyunyan A.,,Université Paris-Dauphine,Paris,France,,,,,2020-12-18,18 December 2020,Theoretical Computer Science,03043975,20571,,Journal,846,,,14-26,,,0,0,repositoryam,Green,,,
1,2-s2.0-85114403483,10.1109/WIIAT50758.2020.00052,,,Agent-based ordinal classification for group decision making,cp,Conference Paper,Nefla O.,,Université Paris-Dauphine,Paris,France,,,,,2020-12-01,December 2020,"Proceedings - 2020 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology, WI-IAT 2020",,21101058341,,Conference Proceeding,,,9457691,365-370,,,0,0,repositoryam,Green,,,
2,2-s2.0-85101457386,10.4230/LIPIcs.IPEC.2020.9,,,New algorithms for mixed dominating set,cp,Conference Paper,Dublois L.,,Université Paris-Dauphine,Paris,France,,,,,2020-12-01,December 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,180,,9,,,,0,0,,,,,
3,2-s2.0-85100950255,10.4230/LIPIcs.ISAAC.2020.3,,,(In)approximability of maximum minimal FVS,cp,Conference Paper,Dublois L.,,Université Paris-Dauphine,Paris,France,,,,,2020-12-01,December 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,181,,3,31-314,,,3,0,,,,,
4,2-s2.0-85100934210,10.4230/LIPIcs.ISAAC.2020.62,,,Towards constant-factor approximation for chordal / Distance-hereditary vertex deletion,cp,Conference Paper,Ahn J.,,"Institute for Basic Science, Daejeon;Korea Advanced Institute of Science and Technology",Daejeon;Daejeon,South Korea;South Korea,,,,,2020-12-01,December 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,181,,62,621-6216,,,2,0,,,,,
5,2-s2.0-85098776074,10.2197/ipsjjip.28.849,,,K<inf>3</inf> edge cover problem in a wide sense,ar,Article,Chiba K.,,The University of Electro-Communications,Chofu,Japan,,,,,2020-12-01,December 2020,Journal of Information Processing,03875806,32853,18826652,Journal,28,,,849-858,,,0,1,repositoryam,Green,,,
6,2-s2.0-85090490045,10.1016/j.seps.2020.100923,S0038012119306457,,Mapping walkability. A subjective value theory approach,ar,Article,Fancello G.,,Université PSL,Paris,France,,,,,2020-12-01,December 2020,Socio-Economic Planning Sciences,00380121,18291,,Journal,72,,100923,,,,6,0,repositoryam,Green,,,
7,2-s2.0-85088783797,10.1111/cobi.13592,,33216401,"Invasion costs, impacts, and human agency: response to Sagoff 2020",no,Note,Cuthbert R.N.,,GEOMAR - Helmholtz-Zentrum für Ozeanforschung Kiel;Queen's University Belfast,Kiel;Belfast,Germany;United Kingdom,,,,,2020-12-01,December 2020,Conservation Biology,08888892,17822,15231739,Journal,34,6,,1579-1582,,,16,1,repositoryam,Green,,,
8,2-s2.0-85086112632,10.1007/s00500-020-05043-y,,,The Multiple Steiner TSP with order constraints: complexity and optimization algorithms,ar,Article,Gabrel V.,,Université Paris-Dauphine,Paris,France,,,,,2020-12-01,December 2020,Soft Computing,14327643,28554,14337479,Journal,24,23,,17957-17968,,,2,0,repositoryvor,Green,,,
9,2-s2.0-85097277565,10.1613/JAIR.1.11970,,,The complexity landscape of outcome determination in judgment aggregation,ar,Article,de Haan U.E.R.,,Universiteit van Amsterdam,Amsterdam,Netherlands,,,,,2020-11-04,4 November 2020,Journal of Artificial Intelligence Research,10769757,24330,,Journal,69,,,687-731,,,2,1,repositoryvor,Green,,,
10,2-s2.0-85101541301,10.1109/ICDCS47774.2020.00060,,,Game theoretical analysis of cross-chain swaps,cp,Conference Paper,Belotti M.,,Conservatoire National des Arts et Metiers,Paris,France,,,,,2020-11-01,November 2020,Proceedings - International Conference on Distributed Computing Systems,,26104,,Conference Proceeding,2020-November,,9355687,485-495,,,5,0,repositoryam,Green,,,
11,2-s2.0-85097970518,10.1109/FOCS46700.2020.00062,,,Twin-width i: Tractable fo model checking,cp,Conference Paper,Bonnet E.,,École Normale Supérieure de Lyon,Lyon,France,,,,,2020-11-01,November 2020,"Proceedings - Annual IEEE Symposium on Foundations of Computer Science, FOCS",02725428,21100474207,,Conference Proceeding,2020-November,,9317878,601-612,,,12,0,repositoryam,Green,,,
12,2-s2.0-85089522777,10.1016/j.artint.2020.103365,S0004370220301156,,Knowledge-based programs as succinct policies for partially observable domains,ar,Article,Zanuttini B.,,Université de Caen Normandie,Caen,France,,,,,2020-11-01,November 2020,Artificial Intelligence,00043702,23675,,Journal,288,,103365,,,,1,1,repositoryam,Green,,,
13,2-s2.0-85089390834,10.1007/s40070-020-00116-7,,,What does it mean to provide decision support to a responsible and competent expert?: The case of diagnostic decision support systems,ar,Article,Richard A.,,Université Paris-Dauphine;GIE Hopsis Lyon,Paris;Lyon,France;France,,,,,2020-11-01,November 2020,EURO Journal on Decision Processes,21939438,21100901158,21939446,Journal,8,3-4,,205-236,,,2,1,repositoryam,Green,,,
