,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85099069217,10.1088/1742-5468/abc62d,,,Ultrametric fitting by gradient descent,ar,Article,Chierchia G.,,Laboratoire d'Informatique Gaspard Monge,Marne-la-Vallee,France,,,,,2020-12-21,21 December 2020,Journal of Statistical Mechanics: Theory and Experiment,,145274,17425468,Journal,2020,12,124004,,,,1,0,repositoryam,Green,,,
1,2-s2.0-85102770937,10.1049/iet-ipr.2020.1141,,,Synthetic medical image generator for data augmentation and anonymisation based on generative adversarial network for glioblastoma tumors growth prediction,ar,Article,Kamli A.,,Université Fédérale Toulouse Midi-Pyrénées;Université Mohamed Khider Biskra,Toulouse;Biskra,France;Algeria,,,,,2020-12-19,19 December 2020,IET Image Processing,17519659,5400152646,,Journal,14,16,,,,,0,1,publisherfree2read,Bronze,,,
2,2-s2.0-85103829349,10.1109/BigData50022.2020.9377824,,,Knowledge Graph Anonymization using Semantic Anatomization,cp,Conference Paper,Thouvenot M.,,Laboratoire d'Informatique Gaspard Monge,Marne-la-Vallee,France,,,,,2020-12-10,10 December 2020,"Proceedings - 2020 IEEE International Conference on Big Data, Big Data 2020",,21101041968,,Conference Proceeding,,,9377824,4065-4074,,,1,0,,,,,
3,2-s2.0-85107876682,10.1093/bioinformatics/btaa1054,,,Minimally overlapping words for sequence similarity search,ar,Article,Frith M.C.,,The University of Tokyo;National Institute of Advanced Industrial Science and Technology;Waseda University,Tokyo;Tsukuba;Tokyo,Japan;Japan;Japan,,,,,2020-12-01,1 December 2020,Bioinformatics,13674803,17945,14602059,Journal,36,22-23,,5344-5350,,,2,1,repositoryam,Green,,,
4,2-s2.0-85101451064,10.4230/LIPIcs.FSTTCS.2020.54,,,The degree of a finite set of words,cp,Conference Paper,Perrin D.,,Université Gustave Eiffel,Marne-la-Vallee,France,,,,,2020-12-01,December 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,182,,54,,,,0,0,,,,,
5,2-s2.0-85100929679,10.4230/LIPIcs.ISAAC.2020.55,,,Sorting by prefix block-interchanges,cp,Conference Paper,Labarre A.,,Université Gustave Eiffel,Marne-la-Vallee,France,,,,,2020-12-01,December 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,181,,55,551-5515,,,2,0,,,,,
6,2-s2.0-85100418548,10.1109/GLOBECOM42002.2020.9322191,,,Toward an approach for securing IMS signaling and media planes,cp,Conference Paper,Kanoune Y.,,École nationale supérieure d'Informatique,Algiers,Algeria,,,,,2020-12-01,December 2020,"2020 IEEE Global Communications Conference, GLOBECOM 2020 - Proceedings",,21101036128,,Conference Proceeding,,,9322191,,,,1,0,,,,,
7,2-s2.0-85099320775,10.23919/PEMWN50727.2020.9293087,,,WiFi/LTE learning based Qos-aware coexistence,cp,Conference Paper,Hafaiedh H.,,Université Paris-Est;Université de la Manouba,Marne-la-Vallee;Manouba,France;Tunisia,,,,,2020-12-01,1 December 2020,"2020 9th IFIP International Conference on Performance Evaluation and Modeling in Wireless Networks, PEMWN 2020",,21101033876,,Conference Proceeding,,,9293087,,,,0,0,,,,,
8,2-s2.0-85097405266,10.1186/s12864-020-07281-8,,33302864,Glucose-lactose mixture feeds in industry-like conditions: a gene regulatory network analysis on the hyperproducing Trichoderma reesei strain Rut-C30,ar,Article,Pirayre A.,,IFP Energies nouvelles,Rueil-Malmaison,France,,,,,2020-12-01,December 2020,BMC Genomics,,21727,14712164,Journal,21,1,885,,,,1,1,repositoryam,Green,,,
9,2-s2.0-85091804780,10.1007/s00285-020-01543-5,,33005997,Counting phylogenetic networks of level 1 and 2,ar,Article,Bouvel M.,,Universität Zürich,Zurich,Switzerland,,,,,2020-12-01,December 2020,Journal of Mathematical Biology,03036812,29610,14321416,Journal,81,6-7,,1357-1395,,,3,0,repositoryam,Green,,,
