,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85086427361,10.1016/j.ejor.2020.05.017,S0377221720304458,,A single-item lot-sizing problem with a by-product and inventory capacities,ar,Article,Suzanne E.,,Université Clermont Auvergne,Clermont-Ferrand,France,,,,,2020-12-16,16 December 2020,European Journal of Operational Research,03772217,22489,,Journal,287,3,,844-855,,,9,1,repositoryam,Green,,,
1,2-s2.0-85103914150,10.1109/WSC48552.2020.9384021,,,A Generic Framework to Analyze and Improve Patient Pathways within a Healthcare Network Using Process Mining and Discrete-Event Simulation,cp,Conference Paper,Franck T.,,Groupe hospitalier Bretagne Sud (GHBS),Lorient,France,,,,,2020-12-14,14 December 2020,Proceedings - Winter Simulation Conference,08917736,145228,,Conference Proceeding,2020-December,,9384021,968-979,,,1,0,repositoryam,Green,,,
2,2-s2.0-85103899286,10.1109/WSC48552.2020.9383976,,,Maintenance with Production Planning Constraints in Semiconductor Manufacturing,cp,Conference Paper,Moritz A.,,Université Clermont Auvergne,Clermont-Ferrand,France,,,,,2020-12-14,14 December 2020,Proceedings - Winter Simulation Conference,08917736,145228,,Conference Proceeding,2020-December,,9383976,1921-1930,,,0,0,,,,,
3,2-s2.0-85103893145,10.1109/WSC48552.2020.9383933,,,Allocating Reticles in an Automated Stocker for Semiconductor Manufacturing Facility,cp,Conference Paper,Benzoni A.,,Université Clermont Auvergne,Clermont-Ferrand,France,,,,,2020-12-14,14 December 2020,Proceedings - Winter Simulation Conference,08917736,145228,,Conference Proceeding,2020-December,,9383933,1711-1717,,,0,0,,,,,
4,2-s2.0-85103889171,10.1109/WSC48552.2020.9383973,,,"Scalable, Reconfigurable Simulation Models in Industry 4.0-Oriented Enterprise Modeling",cp,Conference Paper,Abdellaoui M.E.A.E.,,Thermotechnology Division,,France,,,,,2020-12-14,14 December 2020,Proceedings - Winter Simulation Conference,08917736,145228,,Conference Proceeding,2020-December,,9383973,2755-2766,,,1,0,,,,,
5,2-s2.0-85103888352,10.1109/WSC48552.2020.9383873,,,An Agent-Based Simulation Model with Human Resource Integration for Semiconductor Manufacturing Facility,cp,Conference Paper,Werling J.,,Université Clermont Auvergne,Clermont-Ferrand,France,,,,,2020-12-14,14 December 2020,Proceedings - Winter Simulation Conference,08917736,145228,,Conference Proceeding,2020-December,,9383873,1801-1812,,,0,0,,,,,
6,2-s2.0-85103883961,10.1109/WSC48552.2020.9384119,,,Optimizing the Allocation of Single-Lot Stockers in an AMHS in Semiconductor Manufacturing,cp,Conference Paper,Aresi L.,,Université Clermont Auvergne,Clermont-Ferrand,France,,,,,2020-12-14,14 December 2020,Proceedings - Winter Simulation Conference,08917736,145228,,Conference Proceeding,2020-December,,9384119,1700-1710,,,0,0,,,,,
7,2-s2.0-85103883587,10.1109/WSC48552.2020.9383872,,,"Scheduling and Simulation in wafer fabs: Competitors, Independent Players or Amplifiers?",cp,Conference Paper,Lendermann P.,,D-SIMLAB Technologies Pte Ltd,Singapore City,Singapore,,,,,2020-12-14,14 December 2020,Proceedings - Winter Simulation Conference,08917736,145228,,Conference Proceeding,2020-December,,9383872,1861-1874,,,0,0,,,,,
8,2-s2.0-85103878629,10.1109/WSC48552.2020.9384093,,,Impact of COVID-19 Epidemics on Bed Requirements in a Healthcare Center Using Data-Driven Discrete-Event Simulation,cp,Conference Paper,Le Lay J.,,Université Clermont Auvergne,Clermont-Ferrand,France,,,,,2020-12-14,14 December 2020,Proceedings - Winter Simulation Conference,08917736,145228,,Conference Proceeding,2020-December,,9384093,771-781,,,3,1,repositoryam,Green,,,
9,2-s2.0-85103873528,10.1109/WSC48552.2020.9384001,,,Dynamic Sampling for Risk Minimization in Semiconductor Manufacturing,cp,Conference Paper,Le Quere E.,,Université Clermont Auvergne,Clermont-Ferrand,France,,,,,2020-12-14,14 December 2020,Proceedings - Winter Simulation Conference,08917736,145228,,Conference Proceeding,2020-December,,9384001,1886-1897,,,0,0,,,,,
