,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85096669196,10.7326/M20-5261,,32931326,The COVID-NMA project: Building an evidence ecosystem for the COVID-19 pandemic,re,Review,Boutron I.,,Université Paris Cité;Hôpital Hotel-Dieu AP-HP,Paris;Paris,France;France,,,,,2020-12-15,15 December 2020,Annals of Internal Medicine,00034819,26574,15393704,Journal,173,12,,1015-1017,,,19,0,repositoryvor,Green,,,
1,2-s2.0-85098631416,10.3233/FAIA200869,,,Automatic removal of identifying information in official EU languages for public administrations: The MAPA project,cp,Conference Paper,Gianola L.,,Universite Paris-Saclay,Saint-Aubin,France,,,,,2020-12-01,1 December 2020,Frontiers in Artificial Intelligence and Applications,09226389,19500157321,,Book Series,334,,,223-226,,,0,1,repositoryam,Green,,,
2,2-s2.0-85098272822,10.1186/s12859-020-03886-8,,33372606,C-Norm: a neural approach to few-shot entity normalization,ar,Article,Ferré A.,,Universite Paris-Saclay,Saint-Aubin,France,,,,,2020-12-01,December 2020,BMC Bioinformatics,,17929,14712105,Journal,21,,579,,,,1,1,repositoryvor,Green,,,
3,2-s2.0-85098068337,10.3390/a13120310,,,Experimenting the automatic recognition of non-conventionalized units in sign language,ar,Article,Belissen V.,,Universite Paris-Saclay,Saint-Aubin,France,,,,,2020-12-01,December 2020,Algorithms,,21100199795,19994893,Journal,13,12,310,,,,0,1,repositoryam,Green,,,
4,2-s2.0-85091786080,10.1016/j.ijheatmasstransfer.2020.120470,S0017931020334062,,A well-resolved numerical study of a turbulent buoyant helium jet in a highly-confined two-vented enclosure,ar,Article,Saikali E.,,Universite Paris-Saclay;Commissariat a L'Energie Atomique CEA,Saint-Aubin;Gif-sur-Yvette,France;France,,,,,2020-12-01,December 2020,International Journal of Heat and Mass Transfer,00179310,20448,,Journal,163,,120470,,,,0,1,repositoryam,Green,,,
5,2-s2.0-85097580880,10.1103/PhysRevE.102.053108,,33327071,Modeling the collapse of the edge when two transition routes compete,ar,Article,Beneitez M.,,The Royal Institute of Technology (KTH),Stockholm,Sweden,,,,,2020-11-30,30 November 2020,Physical Review E,24700045,21100855841,24700053,Journal,102,5,053108,,,,0,1,repositoryam,Green,,,
6,2-s2.0-85096142097,10.1103/PhysRevFluids.5.110501,,,Rico and the jets: Direct numerical simulations of turbulent liquid jets,ar,Article,Constante-Amores C.R.,,Imperial College London,London,United Kingdom,,,,,2020-11-12,12 November 2020,Physical Review Fluids,,21100836848,2469990X,Journal,5,11,110501,,,,0,1,repositoryam,Green,,,
7,2-s2.0-85102569930,10.3390/en13225882,,,A two-step energy management method guided by day-ahead quantile solar forecasts: Cross-impacts on four services for smart-buildings,ar,Article,Calderon-Obaldia F.,,Université PSL;Universite Paris-Saclay;Universidad de Costa Rica;Sorbonne Universite,Paris;Saint-Aubin;San Jose;Paris,France;France;Costa Rica;France,,,,,2020-11-01,November 2020,Energies,,62932,19961073,Journal,13,22,en13225882,,,,1,1,repositoryam,Green,,,
8,2-s2.0-85097232171,10.5802/CRMECA.22,,,Instability of a swirling bubble ring,ar,Article,Xu Y.,,Sorbonne Universite,Paris,France,,,,,2020-11-01,November 2020,Comptes Rendus - Mecanique,16310721,19731,18737234,Journal,348,6-7,,519-535,,,0,1,repositoryam,Green,,,
9,2-s2.0-85095815884,10.1145/3385956.3418949,,,Virtual Navigation considering User Workspace: Automatic and Manual Positioning before Teleportation,cp,Conference Paper,Zhang Y.,,Universite Paris-Saclay,Saint-Aubin,France,,,,,2020-11-01,1 November 2020,"Proceedings of the ACM Symposium on Virtual Reality Software and Technology, VRST",,21101027239,,Conference Proceeding,,,,,,,1,0,repositoryvor,Green,,,
