,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85098149405,10.3389/fneur.2020.579725,,,Semi-automatic Extraction of Functional Dynamic Networks Describing Patient's Epileptic Seizures,ar,Article,Frusque G.,,École Normale Supérieure de Lyon,Lyon,France,,,,,2020-12-11,11 December 2020,Frontiers in Neurology,,21100212316,16642295,Journal,11,,579725,,,,1,1,repositoryvor,Green,,,
1,2-s2.0-85089806566,10.1016/j.comnet.2020.107440,S1389128620311270,,Delivering Video-on-Demand services with IEEE 802.11p to major non-urban roads: A stochastic performance analysis,ar,Article,Begin T.,,Laboratoire de l'Informatique du Parallélisme,Lyon,France,,,,,2020-12-09,9 December 2020,Computer Networks,13891286,26811,,Journal,182,,107440,,,,1,1,repositoryam,Green,,,
2,2-s2.0-85103696315,10.1109/ASONAM49781.2020.9381365,,,Information Adoption via Repeated or Diversified Social Influence on Twitter,cp,Conference Paper,De Oliveira J.F.,,Pontificia Universidade Catolica de Minas Gerais;École Normale Supérieure de Lyon,Belo Horizonte;Lyon,Brazil;France,,,,,2020-12-07,7 December 2020,"Proceedings of the 2020 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2020",,21101041880,,Conference Proceeding,,,9381365,237-241,,,0,0,,,,,
3,2-s2.0-85101471249,10.4230/LIPIcs.IPEC.2020.3,,,Close relatives of Feedback Vertex Set without single-exponential algorithms parameterized by treewidth,cp,Conference Paper,Bergougnoux B.,,Universitetet i Bergen,Bergen,Norway,,,,,2020-12-01,December 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,180,,3,,,,3,0,,,,,
4,2-s2.0-85101444836,10.4230/LIPIcs.FSTTCS.2020.17,,,Maximum clique in disk-like intersection graphs,cp,Conference Paper,Bonnet É.,,École Normale Supérieure de Lyon,Lyon,France,,,,,2020-12-01,December 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,182,,17,,,,0,0,,,,,
5,2-s2.0-85087700713,10.1140/epjds/s13688-020-00237-8,,,Temporal social network reconstruction using wireless proximity sensors: model selection and consequences,ar,Article,Dai S.,,Laboratoire CNRS Institut Rhônalpin des Systèmes Complexes;East China Normal University,Lyon;Shanghai,France;China,,,,,2020-12-01,1 December 2020,EPJ Data Science,,21100397403,21931127,Journal,9,1,19,,,,2,1,publisherfullgold,Gold,,,
6,2-s2.0-85086724113,10.1109/JPROC.2020.2991885,,,Elementary Functions and Approximate Computing,cp,Conference Paper,Muller J.M.,,École Normale Supérieure de Lyon,Lyon,France,,,,,2020-12-01,December 2020,Proceedings of the IEEE,00189219,17915,15582256,Journal,108,12,9106347,2136-2149,,,7,0,repositoryam,Green,,,
7,2-s2.0-85083994404,10.1038/s41598-020-63221-2,,32346033,weg2vec: Event embedding for temporal networks,ar,Article,Torricelli M.,,Institute for Scientific Interchange Foundation;Alma Mater Studiorum Università di Bologna,Turin;Bologna,Italy;Italy,,,,,2020-12-01,1 December 2020,Scientific Reports,,21100200805,20452322,Journal,10,1,7164,,,,11,1,repositoryam,Green,,,
8,2-s2.0-85078677829,10.1038/s41598-020-57824-y,,31996708,"Author Correction: Measuring dynamic social contacts in a rehabilitation hospital: effect of wards, patient and staff characteristics (Scientific Reports, (2018), 8, 1, (1686), 10.1038/s41598-018-20008-w)",er,Erratum,Duval A.,,Université de Versailles Saint-Quentin-en-Yvelines,Versailles,France,,,,,2020-12-01,1 December 2020,Scientific Reports,,21100200805,20452322,Journal,10,1,1827,,,,0,1,repositoryvor,Green,,,
9,2-s2.0-85077533725,10.1007/s41109-019-0237-x,,,Joint embedding of structure and features via graph convolutional networks,ar,Article,Lerique S.,,Laboratoire CNRS Institut Rhônalpin des Systèmes Complexes,Lyon,France,,,,,2020-12-01,1 December 2020,Applied Network Science,,21100901173,23648228,Journal,5,1,5,,,,7,1,repositoryam,Green,,,
10,2-s2.0-85097709911,10.1145/3416011.3424755,,,Towards a Fast and Efficient Strategy to Assign Channels in WLANs with Channel Bonding,cp,Conference Paper,Chadda A.,,École Normale Supérieure de Lyon,Lyon,France,,,,,2020-11-16,16 November 2020,"PE-WASUN 2020 - Proceedings of the 17th ACM Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks",,21101080973,,Conference Proceeding,,,,93-100,,,1,0,repositoryvor,Green,,,
11,2-s2.0-85107820641,10.1109/IEEECONF51394.2020.9443498,,,An Architecture for Improving Variable Radix Real and Complex Division Using Recurrence Division,cp,Conference Paper,Stine J.E.,,Oklahoma State University,Stillwater,United States,,,,,2020-11-01,1 November 2020,"Conference Record - Asilomar Conference on Signals, Systems and Computers",10586393,12222,,Conference Proceeding,2020-November,,9443498,529-533,,,0,0,repositoryam,Green,,,
12,2-s2.0-85097970518,10.1109/FOCS46700.2020.00062,,,Twin-width i: Tractable fo model checking,cp,Conference Paper,Bonnet E.,,École Normale Supérieure de Lyon,Lyon,France,,,,,2020-11-01,November 2020,"Proceedings - Annual IEEE Symposium on Foundations of Computer Science, FOCS",02725428,21100474207,,Conference Proceeding,2020-November,,9317878,601-612,,,12,0,repositoryam,Green,,,
13,2-s2.0-85094965220,10.3390/s20216241,,33139608,Smart helmet 5.0 for industrial internet of things using artificial intelligence,ar,Article,Campero-Jurado I.,,Laboratoire de l'Informatique du Parallélisme,Lyon,France,,,,,2020-11-01,1 November 2020,Sensors (Switzerland),14248220,130124,,Journal,20,21,6241,1-27,,,12,1,repositoryvor,Green,,,
