,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85102948646,10.1109/IEDM13553.2020.9372026,,,High-voltage micro-plasma switch for efficient power management of triboelectric kinetic energy harvesters,cp,Conference Paper,Basset P.,,Université Gustave Eiffel,Marne-la-Vallee,France,,,,,2020-12-12,12 December 2020,"Technical Digest - International Electron Devices Meeting, IEDM",01631918,26142,,Conference Proceeding,2020-December,,9372026,37.4.1-37.4.4,,,0,0,,,,,
1,2-s2.0-85099564171,10.1109/ASONAM49781.2020.9381334,,,Testing the Impact of Semantics and Structure on Recommendation Accuracy and Diversity,cp,Conference Paper,Morales P.R.,,Médialab Sciences Po,Paris,France,,,,,2020-12-07,7 December 2020,"Proceedings of the 2020 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2020",,21101041880,,Conference Proceeding,,,9381334,250-257,,,1,0,repositoryam,Green,,,
2,2-s2.0-85114403483,10.1109/WIIAT50758.2020.00052,,,Agent-based ordinal classification for group decision making,cp,Conference Paper,Nefla O.,,Université Paris-Dauphine,Paris,France,,,,,2020-12-01,December 2020,"Proceedings - 2020 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology, WI-IAT 2020",,21101058341,,Conference Proceeding,,,9457691,365-370,,,0,0,repositoryam,Green,,,
3,2-s2.0-85114397602,10.1109/WIIAT50758.2020.00017,,,A game theoretical approach to self-assembly in swarm robotics,cp,Conference Paper,Iwase T.,,Toyota Motor Europe NV/SA,Zaventem,Belgium,,,,,2020-12-01,December 2020,"Proceedings - 2020 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology, WI-IAT 2020",,21101058341,,Conference Proceeding,,,9457789,90-97,,,0,0,,,,,
4,2-s2.0-85100683705,10.1007/s11134-021-09690-2,,,"Editorial introduction to the special issue on stochastic matching models, matching queues and applications",ed,Editorial,Mairesse J.,,Sorbonne Universite,Paris,France,,,,,2020-12-01,December 2020,Queueing Systems,02570130,19124,15729443,Journal,96,3-4,,357-358,,,0,1,publisherfree2read,Bronze,,,
5,2-s2.0-85099887184,10.1109/PRDC50213.2020.00011,,,Topology Aware Leader Election Algorithm for Dynamic Networks,cp,Conference Paper,Favier A.,,Sorbonne Universite,Paris,France,,,,,2020-12-01,December 2020,"Proceedings of IEEE Pacific Rim International Symposium on Dependable Computing, PRDC",15410110,21100198514,,Conference Proceeding,2020-December,,9320365,1-10,,,2,0,repositoryam,Green,,,
6,2-s2.0-85099702337,10.1109/SSCI47803.2020.9308510,,,Per-Instance Configuration of the Modularized CMA-ES by Means of Classifier Chains and Exploratory Landscape Analysis,cp,Conference Paper,Prager R.P.,,Westfälische Wilhelms-Universität Münster,Munster,Germany,,,,,2020-12-01,1 December 2020,"2020 IEEE Symposium Series on Computational Intelligence, SSCI 2020",,21101034124,,Conference Proceeding,,,9308510,996-1003,,,1,0,,,,,
7,2-s2.0-85099701050,10.1109/SSCI47803.2020.9308180,,,Linear Matrix Factorization Embeddings for Single-objective Optimization Landscapes,cp,Conference Paper,Eftimov T.,,Jozef Stefan Institute,Ljubljana,Slovenia,,,,,2020-12-01,1 December 2020,"2020 IEEE Symposium Series on Computational Intelligence, SSCI 2020",,21101034124,,Conference Proceeding,,,9308180,775-782,,,4,0,repositoryam,Green,,,
8,2-s2.0-85099693739,10.1109/SSCI47803.2020.9308465,,,Exploring Dimensionality Reduction Techniques for Efficient Surrogate-Assisted optimization,cp,Conference Paper,Ullah S.,,Universiteit Leiden,Leiden,Netherlands,,,,,2020-12-01,1 December 2020,"2020 IEEE Symposium Series on Computational Intelligence, SSCI 2020",,21101034124,,Conference Proceeding,,,9308465,2965-2974,,,3,0,repositoryam,Green,,,
9,2-s2.0-85099682532,10.1109/SSCI47803.2020.9308394,,,Neural Network Design: Learning from Neural Architecture Search,cp,Conference Paper,Stein B.V.,,Universiteit Leiden,Leiden,Netherlands,,,,,2020-12-01,1 December 2020,"2020 IEEE Symposium Series on Computational Intelligence, SSCI 2020",,21101034124,,Conference Proceeding,,,9308394,1341-1349,,,0,0,repositoryam,Green,,,
