,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85096669196,10.7326/M20-5261,,32931326,The COVID-NMA project: Building an evidence ecosystem for the COVID-19 pandemic,re,Review,Boutron I.,,Université Paris Cité;Hôpital Hotel-Dieu AP-HP,Paris;Paris,France;France,,,,,2020-12-15,15 December 2020,Annals of Internal Medicine,00034819,26574,15393704,Journal,173,12,,1015-1017,,,19,0,repositoryvor,Green,,,
1,2-s2.0-85100941884,10.1109/IOTSMS52051.2020.9340188,,,Methodological approach for creating an IoT manufacturing application,cp,Conference Paper,Rahmouni A.,,Université Claude Bernard Lyon 1,Villeurbanne,France,,,,,2020-12-14,14 December 2020,"2020 7th International Conference on Internet of Things: Systems, Management and Security, IOTSMS 2020",,21101038554,,Conference Proceeding,,,9340188,,,,0,0,repositoryam,Green,,,
2,2-s2.0-85099764152,10.1109/IEEM45057.2020.9309877,,,Lean management 4.0 proposition for the evolution of managerial criteria,cp,Conference Paper,Rother E.,,Institut National des Sciences Appliquées de Lyon,Villeurbanne,France,,,,,2020-12-14,14 December 2020,IEEE International Conference on Industrial Engineering and Engineering Management,21573611,21100197517,2157362X,Conference Proceeding,2020-December,,9309877,255-259,,,1,0,,,,,
3,2-s2.0-85099755650,10.1109/IEEM45057.2020.9309774,,,Multi-objective optimization for mixed-model assembly line sequencing and balancing in the context of industry 4.0,cp,Conference Paper,Majidian-Eidgahi M.,,Institut National des Sciences Appliquées de Lyon,Villeurbanne,France,,,,,2020-12-14,14 December 2020,IEEE International Conference on Industrial Engineering and Engineering Management,21573611,21100197517,2157362X,Conference Proceeding,2020-December,,9309774,1172-1178,,,0,0,,,,,
4,2-s2.0-85103855881,10.1109/BigData50022.2020.9378376,,,Crash prediction for a French highway network with an XAI-informed Bayesian hierarchical model,cp,Conference Paper,Veran T.,,Laboratoire d'Informatique en Image et Systèmes d'Information,Villeurbanne,France,,,,,2020-12-10,10 December 2020,"Proceedings - 2020 IEEE International Conference on Big Data, Big Data 2020",,21101041968,,Conference Proceeding,,,9378376,1256-1265,,,0,0,,,,,
5,2-s2.0-85102486321,10.1109/WIFS49906.2020.9360883,,,Fighting against medicine packaging counterfeits: Rotogravure press vs cylinder signatures,cp,Conference Paper,Tkachenko I.,,Université Lumière Lyon 2,Lyon,France,,,,,2020-12-06,6 December 2020,"2020 IEEE International Workshop on Information Forensics and Security, WIFS 2020",,21101039836,,Conference Proceeding,,,9360883,,,,0,0,repositoryam,Green,,,
6,2-s2.0-85100923050,10.4230/LIPIcs.ISAAC.2020.37,,,Linear transformations between dominating sets in the TAR-model,cp,Conference Paper,Bousquet N.,,Université Claude Bernard Lyon 1,Villeurbanne,France,,,,,2020-12-01,December 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,181,,37,371-3714,,,2,0,,,,,
7,2-s2.0-85100915340,10.4230/LIPIcs.ISAAC.2020.44,,,On girth and the parameterized complexity of token sliding and token jumping,cp,Conference Paper,Bartier V.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-12-01,December 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,181,,44,441-4417,,,2,0,,,,,
8,2-s2.0-85098243335,10.1093/comnet/cnaa027,,,Evaluating community detection algorithms for progressively evolving graphs,ar,Article,Cazabet R.,,Université Claude Bernard Lyon 1,Villeurbanne,France,,,,,2020-12-01,1 December 2020,Journal of Complex Networks,20511310,21100395701,20511329,Journal,8,6,cnaa027,,,,5,0,repositoryam,Green,,,
9,2-s2.0-85091502583,10.1002/rsa.20960,,,The Glauber dynamics for edge-colorings of trees,ar,Article,Delcourt M.,,Ryerson University,Toronto,Canada,,,,,2020-12-01,1 December 2020,Random Structures and Algorithms,10429832,26324,10982418,Journal,57,4,,1050-1076,,,1,0,repositoryam,Green,,,
