,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85099153620,10.1103/PhysRevD.102.122007,,,Observation of the cosmic ray shadow of the Sun with the ANTARES neutrino telescope,ar,Article,Albert A.,,Université de Strasbourg;Universite de Haute Alsace,Strasbourg;Mulhouse,France;France,,,,,2020-12-28,28 December 2020,Physical Review D,24700010,21100779241,24700029,Journal,102,12,122007,,,,1,0,repositoryam,Green,,,
1,2-s2.0-85100497116,10.1109/STA50679.2020.9329327,,,Sensorless Backstepping Drive for a Five-Phase PMSM based on Unknown Input Observer,cp,Conference Paper,Hezzi A.,,Université de Gabès,,Tunisia,,,,,2020-12-20,20 December 2020,Proceedings - STA 2020: 2020 20th International Conference on Sciences and Techniques of Automatic Control and Computer Engineering,,21101036607,,Conference Proceeding,,,9329327,125-130,,,1,0,,,,,
2,2-s2.0-85100487520,10.1109/STA50679.2020.9329305,,,New LiFePO<inf>4</inf>Battery Model Identification for Online SOC Estimation Application,cp,Conference Paper,Snoussi J.,,Ecole National d'Ingenieurs de Monastir,Monastir,Tunisia,,,,,2020-12-20,20 December 2020,Proceedings - STA 2020: 2020 20th International Conference on Sciences and Techniques of Automatic Control and Computer Engineering,,21101036607,,Conference Proceeding,,,9329305,179-182,,,0,0,,,,,
3,2-s2.0-85100612995,10.1109/IC_ASET49463.2020.9318289,,,Fire Tracking in Video Sequences Using Geometric Active Contours Controlled by Artificial Neural Network,cp,Conference Paper,Mouelhi A.,,École Nationale Supérieure d'Ingénieurs de Tunis,Tunis,Tunisia,,,,,2020-12-15,15 December 2020,"Proceedings of the International Conference on Advanced Systems and Emergent Technologies, IC_ASET 2020",,21101037138,,Conference Proceeding,,,9318289,338-343,,,0,0,repositoryam,Green,,,
4,2-s2.0-85100605938,10.1109/IC_ASET49463.2020.9318261,,,A novel method based on deep learning for herniated lumbar disc segmentation,cp,Conference Paper,Mbarki W.,,Université de Sousse,Sousse,Tunisia,,,,,2020-12-15,15 December 2020,"Proceedings of the International Conference on Advanced Systems and Emergent Technologies, IC_ASET 2020",,21101037138,,Conference Proceeding,,,9318261,394-399,,,2,0,,,,,
5,2-s2.0-85099773567,10.1109/IEEM45057.2020.9309742,,,Diagnosis on energy and sustainability of reconfigurable manufacturing system (RMS) design: A bi-level decomposition approach,cp,Conference Paper,Khezri A.,,Arts et Metiers Institute of Technology,Paris,France,,,,,2020-12-14,14 December 2020,IEEE International Conference on Industrial Engineering and Engineering Management,21573611,21100197517,2157362X,Conference Proceeding,2020-December,,9309742,141-145,,,0,0,repositoryam,Green,,,
6,2-s2.0-85097846053,10.3390/app10248905,,,Robust resonant controllers for distributed energy resources in microgrids,ar,Article,Bouzid A.E.M.,,Ecole Centrale de Nantes,Nantes,France,,,,,2020-12-02,2 December 2020,Applied Sciences (Switzerland),,21100829268,20763417,Journal,10,24,8905,1-15,,,0,1,repositoryvor,Green,,,
7,2-s2.0-85086866566,10.1016/j.tcs.2020.06.019,S0304397520303595,,Expansive automata networks,ar,Article,Bridoux F.,,Laboratoire d’Informatique et Systèmes,Marseille,France,,,,,2020-12-02,2 December 2020,Theoretical Computer Science,03043975,20571,,Journal,843,,,25-44,,,0,1,repositoryam,Green,,,
8,2-s2.0-85097283388,10.1038/s41598-020-78455-3,,33288805,Quantum control using quantum memory,ar,Article,Roget M.,,Laboratoire d’Informatique et Systèmes;École Normale Supérieure de Lyon,Marseille;Lyon,France;France,,,,,2020-12-01,December 2020,Scientific Reports,,21100200805,20452322,Journal,10,1,21354,,,,0,1,repositoryam,Green,,,
9,2-s2.0-85096771707,10.1111/phor.12338,,,Towards online UAS-based photogrammetric measurements for 3D metrology inspection,ar,Article,Menna F.,,Bruno Kessler Foundation,Trento,Italy,,,,,2020-12-01,December 2020,Photogrammetric Record,0031868X,12367,14779730,Journal,35,172,,467-486,,,1,0,,,,,
10,2-s2.0-85095934354,10.1177/1747021820941356,,32640871,Detection of regularities in a random environment,ar,Article,Rey A.,,Laboratoire de Psychologie Cognitive;Aix Marseille Université,Marseille;Marseille,France;France,,,,,2020-12-01,December 2020,Quarterly Journal of Experimental Psychology,17470218,4000149409,17470226,Journal,73,12,,2106-2118,,,1,0,repositoryam,Green,,,
11,2-s2.0-85093920590,10.1007/s00009-020-01634-z,,,Cayley Posets,ar,Article,García-Marco I.,,Universidad de la Laguna,San Cristobal de La Laguna,Spain,,,,,2020-12-01,1 December 2020,Mediterranean Journal of Mathematics,16605446,145249,16605454,Journal,17,6,186,,,,1,0,,,,,
12,2-s2.0-85093069606,10.1016/j.est.2020.101973,S2352152X20318089,,Unknown input observer design for lithium-ion batteries SOC estimation based on a differential-algebraic model,ar,Article,Snoussi J.,,Ecole National d'Ingenieurs de Monastir,Monastir,Tunisia,,,,,2020-12-01,December 2020,Journal of Energy Storage,,21100400826,2352152X,Journal,32,,101973,,,,7,1,repositoryam,Green,,,
13,2-s2.0-85092259452,10.1007/s11038-020-09535-7,,,Automated Extraction of Crater Rims on 3D Meshes Combining Artificial Neural Network and Discrete Curvature Labeling,ar,Article,Christoff N.,,Technical University of Sofia,Sofia,Bulgaria,,,,,2020-12-01,1 December 2020,"Earth, Moon and Planets",01679295,27181,15730794,Journal,124,3-4,,51-72,,,2,0,,,,,
14,2-s2.0-85092239019,10.1016/j.artint.2020.103397,S0004370220301478,,Understanding the power of Max-SAT resolution through UP-resilience,ar,Article,Cherif M.S.,,Laboratoire d’Informatique et Systèmes,Marseille,France,,,,,2020-12-01,December 2020,Artificial Intelligence,00043702,23675,,Journal,289,,103397,,,,4,1,repositoryam,Green,,,
15,2-s2.0-85091588263,10.1016/j.cmpb.2020.105730,S0169260720315637,32987228,Inter-subject pattern analysis for multivariate group analysis of functional neuroimaging. A unifying formalization,ar,Article,Wang Q.,,Aix Marseille Université,Marseille,France,,,,,2020-12-01,December 2020,Computer Methods and Programs in Biomedicine,01692607,23604,18727565,Journal,197,,105730,,,,1,1,repositoryam,Green,,,
16,2-s2.0-85091371882,10.1007/s10846-020-01256-3,,,Path Following Control of Quadrotor UAV With Continuous Fractional-Order Super Twisting Sliding Mode,ar,Article,Labbadi M.,,"Ecole Mohammadia d'Ingenieurs, Mohammed V University in Rabat",Rabat,Morocco,,,,,2020-12-01,December 2020,Journal of Intelligent and Robotic Systems: Theory and Applications,09210296,24360,15730409,Journal,100,3-4,,1429-1451,,,19,0,,,,,
17,2-s2.0-85090767689,10.1007/s13272-020-00470-x,,,Adaptive prediction for ship motion in rotorcraft maritime operations,ar,Article,Monneau A.,,Laboratoire d’Informatique et Systèmes,Marseille,France,,,,,2020-12-01,1 December 2020,CEAS Aeronautical Journal,18695582,21100367685,18695590,Journal,11,4,,1071-1082,,,0,0,repositoryam,Green,,,
18,2-s2.0-85088994037,10.1016/j.inat.2020.100837,S2214751920303984,,Lumbar spine discs classification based on deep convolutional neural networks using axial view MRI,ar,Article,Mbarki W.,,Université de Sousse;École Nationale Supérieure d'Ingénieurs de Tunis,Sousse;Tunis,Tunisia;Tunisia,,,,,2020-12-01,December 2020,Interdisciplinary Neurosurgery: Advanced Techniques and Case Management,,21100315995,22147519,Journal,22,,100837,,,,8,1,repositoryvor,Green,,,
19,2-s2.0-85088857312,10.1007/s00453-020-00738-y,,,Enumerating k-Arc-Connected Orientations,ar,Article,Blind S.,,"Laboratoire de Génie Informatique, de Production et de Maintenance",Metz,France,,,,,2020-12-01,1 December 2020,Algorithmica,01784617,23087,14320541,Journal,82,12,,3588-3603,,,0,0,repositoryam,Green,,,
20,2-s2.0-85084937178,10.1016/j.sysarc.2020.101805,S1383762120300953,,Power profiling and monitoring in embedded systems: A comparative study and a novel methodology based on NARX neural networks,ar,Article,Djedidi O.,,Laboratoire d’Informatique et Systèmes,Marseille,France,,,,,2020-12-01,December 2020,Journal of Systems Architecture,13837621,12398,,Journal,111,,101805,,,,3,1,repositoryam,Green,,,
21,2-s2.0-85084787657,10.1038/s41598-020-64613-0,,32415228,Inter-annual decrease in pulse rate and peak frequency of Southeast Pacific blue whale song types,ar,Article,Malige F.,,Laboratoire d’Informatique et Systèmes,Marseille,France,,,,,2020-12-01,1 December 2020,Scientific Reports,,21100200805,20452322,Journal,10,1,8121,,,,4,1,repositoryam,Green,,,
