,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85097093083,10.1016/j.anthro.2020.102808,S0003552120301035,,Geometric analysis of shape variability of lower jaws of prehistoric humans,ar,Article,Ren J.,,King Abdullah University of Science and Technology,Thuwal,Saudi Arabia,,,,,2020-12-01,December 2020,Anthropologie (France),00035521,69772,,Journal,124,5,102808,,,,0,0,repositoryam,Green,,,
1,2-s2.0-85095951593,10.1186/s13015-020-00179-w,,,Fast and accurate structure probability estimation for simultaneous alignment and folding of RNAs with Markov chains,ar,Article,Miladi M.,,Universität Freiburg,Freiburg im Breisgau,Germany,,,,,2020-12-01,December 2020,Algorithms for Molecular Biology,,5800179604,17487188,Journal,15,1,19,,,,1,1,repositoryvor,Green,,,
2,2-s2.0-85089729785,10.1109/TEVC.2019.2956633,,,Significance-Based Estimation-of-Distribution Algorithms,ar,Article,Doerr B.,,École polytechnique,Palaiseau,France,,,,,2020-12-01,December 2020,IEEE Transactions on Evolutionary Computation,1089778X,25037,19410026,Journal,24,6,8917722,1025-1034,,,11,0,repositoryam,Green,,,
3,2-s2.0-85083432037,10.1109/TEVC.2020.2987361,,,Sharp Bounds for Genetic Drift in Estimation of Distribution Algorithms,ar,Article,Doerr B.,,École polytechnique,Palaiseau,France,,,,,2020-12-01,December 2020,IEEE Transactions on Evolutionary Computation,1089778X,25037,19410026,Journal,24,6,9064720,1140-1149,,,15,0,repositoryam,Green,,,
4,2-s2.0-85097350639,10.1145/3414685.3417800,,,MapTree: Recovering multiple solutions in the space of maps,ar,Article,Ren J.,,King Abdullah University of Science and Technology,Thuwal,Saudi Arabia,,,,,2020-11-26,26 November 2020,ACM Transactions on Graphics,07300301,24972,15577368,Journal,39,6,264,,,,6,1,repositoryam,Green,,,
5,2-s2.0-85088969324,10.1016/j.neucom.2020.05.024,S0925231220308596,,Probabilistic regressor chains with Monte Carlo methods,ar,Article,Read J.,,Laboratoire d'Informatique de l'Ecole Polytechnique,Palaiseau,France,,,,,2020-11-06,6 November 2020,Neurocomputing,09252312,24807,18728286,Journal,413,,,471-486,,,3,1,repositoryam,Green,,,
6,2-s2.0-85086148871,10.1016/j.tcs.2020.06.006,S030439752030342X,,Edge degeneracy: Algorithmic and structural results,ar,Article,Limnios S.,,Laboratoire d'Informatique de l'Ecole Polytechnique,Palaiseau,France,,,,,2020-11-02,2 November 2020,Theoretical Computer Science,03043975,20571,,Journal,839,,,164-175,,,1,1,repositoryam,Green,,,
7,2-s2.0-85114432273,10.1016/j.entcs.2020.09.003,S1571066120300499,,Bifibrations of Polycategories and Classical Linear Logic,ar,Article,Blanco N.,,University of Birmingham,Birmingham,United Kingdom,,,,,2020-10-01,1 October 2020,Electronic Notes in Theoretical Computer Science,15710661,20569,,Journal,352,,,29-52,,,0,1,publisherfullgold,Gold,,,
8,2-s2.0-85089079329,10.1016/j.cag.2020.07.006,S0097849320301023,,Content-aware texture deformation with dynamic control,ar,Article,Guingo G.,,Universite Grenoble Alpes;Université de Strasbourg,Saint Martin d'Heres;Strasbourg,France;France,,,,,2020-10-01,October 2020,Computers and Graphics (Pergamon),00978493,25028,,Journal,91,,,95-107,,,2,0,repositoryam,Green,,,
9,2-s2.0-85086445415,10.1109/LCSYS.2020.2997261,,,Robust Under-Approximations and Application to Reachability of Non-Linear Control Systems with Disturbances,ar,Article,Goubault E.,,École polytechnique,Palaiseau,France,,,,,2020-10-01,October 2020,IEEE Control Systems Letters,,21100885366,24751456,Journal,4,4,9099222,928-933,,,4,0,,,,,
10,2-s2.0-85086333386,10.1016/j.jco.2020.101498,S0885064X20300418,,Directed evaluation,ar,Article,van der Hoeven J.,,Laboratoire d'Informatique de l'Ecole Polytechnique,Palaiseau,France,,,,,2020-10-01,October 2020,Journal of Complexity,0885064X,28500,10902708,Journal,60,,101498,,,,1,1,repositoryam,Green,,,
11,2-s2.0-85085685453,10.1007/s12021-020-09452-0,,32474750,QFib: Fast and Efficient Brain Tractogram Compression,ar,Article,Mercier C.,,Institut Polytechnique de Paris;École polytechnique,Palaiseau;Palaiseau,France;France,,,,,2020-10-01,1 October 2020,Neuroinformatics,15392791,23987,15590089,Journal,18,4,,627-640,,,1,0,repositoryam,Green,,,
12,2-s2.0-85085375201,10.1016/j.jcta.2020.105270,S0097316520300625,,Orientations and bijections for toroidal maps with prescribed face-degrees and essential girth,ar,Article,Fusy É.,,Laboratoire d'Informatique de l'Ecole Polytechnique,Palaiseau,France,,,,,2020-10-01,October 2020,Journal of Combinatorial Theory. Series A,00973165,40107,10960899,Journal,175,,105270,,,,1,1,repositoryam,Green,,,
13,2-s2.0-85090491040,10.1093/nar/gkaa607,,32735675,IPANEMAP: integrative probing analysis of nucleic acids empowered by multiple accessibility profiles,ar,Article,Saaidi A.,,Laboratoire d'Informatique de l'Ecole Polytechnique,Palaiseau,France,,,,,2020-09-04,4 September 2020,Nucleic Acids Research,03051048,14204,13624962,Journal,48,15,,8276-8289,,,2,1,repositoryam,Green,,,
14,2-s2.0-85102861433,10.1145/3457341.3457342,,,Computing one billion roots using the tangent Graeffe method,ar,Article,Van Der Hoeven J.,,Laboratoire d'Informatique de l'Ecole Polytechnique,Palaiseau,France,,,,,2020-09-01,September 2020,ACM Communications in Computer Algebra,19322232,21100198457,19322240,Journal,54,3,,65-85,,,0,0,repositoryam,Green,,,
15,2-s2.0-85096532385,10.1109/EuroSP48549.2020.00038,,,Generalized Iterative Bayesian Update and Applications to Mechanisms for Privacy Protection,cp,Conference Paper,Elsalamouny E.,,INRIA Institut National de Recherche en Informatique et en Automatique,Le Chesnay,France,,,,,2020-09-01,September 2020,"Proceedings - 5th IEEE European Symposium on Security and Privacy, Euro S and P 2020",,21101028336,,Conference Proceeding,,,9230415,490-507,,,0,0,,,,,
16,2-s2.0-85095745357,10.15439/2020F35,,,MD-JEEP: A New Release for Discretizable Distance Geometry Problems with Interval Data,cp,Conference Paper,Mucherino A.,,Universite de Rennes 1,Rennes,France,,,,,2020-09-01,September 2020,"Proceedings of the 2020 Federated Conference on Computer Science and Information Systems, FedCSIS 2020",,21101027205,,Conference Proceeding,,,9222880,289-294,,,2,1,repositoryam,Green,,,
17,2-s2.0-85092205563,10.1109/MED48518.2020.9183277,,,Model-free control as a service in the industrial internet of things: Packet loss and latency issues via preliminary experiments,cp,Conference Paper,Join C.,,Université de Lorraine;AL.I.E.N. (ALgèbre pour Identification &amp; Estimation Numériques),Nancy;Vézelise,France;France,,,,,2020-09-01,September 2020,"2020 28th Mediterranean Conference on Control and Automation, MED 2020",,21101022990,,Conference Proceeding,,,9183277,299-306,,,4,0,repositoryam,Green,,,
18,2-s2.0-85091048016,10.1007/s10288-020-00455-w,,,Mathematical programming formulations for the alternating current optimal power flow problem,ar,Article,Bienstock D.,,Columbia University,New York,United States,,,,,2020-09-01,1 September 2020,4OR,16194500,145295,16142411,Journal,18,3,,249-292,,,6,0,repositoryam,Green,,,
19,2-s2.0-85090921235,10.1109/JSYST.2020.2982266,,,Spotting Key Members in Networks: Clustering-Embedded Eigenvector Centrality,ar,Article,Carrizosa E.,,Universidad de Sevilla,Sevilla,Spain,,,,,2020-09-01,September 2020,IEEE Systems Journal,19328184,11300153734,19379234,Journal,14,3,9069279,3916-3925,,,0,0,repositoryvor,Green,,,
20,2-s2.0-85090402238,10.1109/TIT.2020.2978385,,,Improved Protocols and Hardness Results for the Two-Player Cryptogenography Problem,ar,Article,Doerr B.,,Laboratoire d'Informatique de l'Ecole Polytechnique,Palaiseau,France,,,,,2020-09-01,September 2020,IEEE Transactions on Information Theory,00189448,15107,15579654,Journal,66,9,9115678,5729-5741,,,0,0,repositoryam,Green,,,
21,2-s2.0-85088170628,10.1002/cpa.21921,,,Global Identifiability of Differential Models,ar,Article,Hong H.,,NC State University,Raleigh,United States,,,,,2020-09-01,1 September 2020,Communications on Pure and Applied Mathematics,00103640,25820,10970312,Journal,73,9,,1831-1879,,,12,0,repositoryam,Green,,,
22,2-s2.0-85088109485,10.1007/s10623-020-00781-4,,,On the security of a Loidreau rank metric code based encryption scheme,ar,Article,Coggia D.,,Délégation Générale pour l'Armement;Inria Paris,Bordeaux Armees;Paris,France;France,,,,,2020-09-01,1 September 2020,"Designs, Codes, and Cryptography",09251022,25862,15737586,Journal,88,9,,1941-1957,,,1,0,,,,,
23,2-s2.0-85086087881,10.1007/s10107-020-01517-x,,,Random projections for quadratic programs,ar,Article,D’Ambrosio C.,,Laboratoire d'Informatique de l'Ecole Polytechnique,Palaiseau,France,,,,,2020-09-01,1 September 2020,Mathematical Programming,00255610,28512,14364646,Journal,183,1-2,,619-647,,,2,0,repositoryam,Green,,,
24,2-s2.0-85082460178,10.1007/s00778-020-00611-y,,,RDF graph summarization for first-sight structure discovery,ar,Article,Goasdoué F.,,INRIA Institut National de Recherche en Informatique et en Automatique,Le Chesnay,France,,,,,2020-09-01,1 September 2020,VLDB Journal,10668888,13646,0949877X,Journal,29,5,,1191-1218,,,9,0,repositoryam,Green,,,
25,2-s2.0-85091105650,10.5194/isprs-annals-V-2-2020-195-2020,,,Provably Consistent Distributed Delaunay Triangulation,cp,Conference Paper,Brédif M.,,Université Gustave Eiffel,Marne-la-Vallee,France,,,,,2020-08-03,3 August 2020,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",21949042,21100830113,21949050,Conference Proceeding,5,2,,195-202,,,0,1,publisherfullgold,Gold,,,
26,2-s2.0-85092068746,10.4153/S0008414X19000063,S0008414X19000063,,The Weak Order on Weyl Posets,ar,Article,Gay J.,,Universite Paris-Saclay,Saint-Aubin,France,,,,,2020-08-01,1 August 2020,Canadian Journal of Mathematics,0008414X,101474,,Journal,72,4,,867-899,,,0,0,repositoryam,Green,,,
27,2-s2.0-85091597998,10.4230/LIPIcs.CONCUR.2020.4,,,Modern applications of game-theoretic principles,cp,Conference Paper,Palamidessi C.,,INRIA Saclay;École polytechnique,Palaiseau;Palaiseau,France;France,,,,,2020-08-01,1 August 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,171,,4,41-49,,,0,0,,,,,
28,2-s2.0-85090217940,10.1090/tran/8119,,,Anticanonical codes from del pezzo surfaces with picard rank one,ar,Article,Blache R.,,Université des Antilles,Pointe-a-Pitre,France,,,,,2020-08-01,August 2020,Transactions of the American Mathematical Society,00029947,24689,10886850,Journal,373,8,,5371-5393,,,1,1,repositoryam,Green,,,
29,2-s2.0-85089373049,10.1111/cgf.14084,,,Consistent ZoomOut: Efficient Spectral Map Synchronization,ar,Article,Huang R.,,Laboratoire d'Informatique de l'Ecole Polytechnique,Palaiseau,France,,,,,2020-08-01,1 August 2020,Computer Graphics Forum,01677055,25023,14678659,Journal,39,5,,265-278,,,5,0,repositoryam,Green,,,
