,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85080030657,10.1016/j.fss.2020.01.006,S0165011419302325,,Learning rule sets and Sugeno integrals for monotonic classification problems,ar,Article,Brabant Q.,,Université de Lorraine,Nancy,France,,,,,2020-12-15,15 December 2020,Fuzzy Sets and Systems,01650114,26529,,Journal,401,,,4-37,,,3,1,repositoryam,Green,,,
1,2-s2.0-85099878257,10.1109/CDC42340.2020.9304229,,,Structural Risk Minimization for Switched System Identification,cp,Conference Paper,Massucci L.,,LORIA Laboratoire Lorrain de Recherche en Informatique et ses Applications,Vandoeouvre-les-Nancy,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304229,1002-1007,,,2,0,repositoryam,Green,,,
2,2-s2.0-85100746103,10.1109/IPAS50080.2020.9334960,,,Neural Networks for Cross-Section Segmentation in Raw Images of Log Ends,cp,Conference Paper,Decelle R.,,Université de Lorraine,Nancy,France,,,,,2020-12-09,9 December 2020,"4th International Conference on Image Processing, Applications and Systems, IPAS 2020",,21101037297,,Conference Proceeding,,,9334960,131-137,,,0,0,repositoryam,Green,,,
3,2-s2.0-85089814723,10.1016/j.comnet.2020.107451,S1389128620311324,,"A survey on cellular-connected UAVs: Design challenges, enabling 5G/B5G innovations, and experimental advancements",sh,Short Survey,Mishra D.,,LORIA Laboratoire Lorrain de Recherche en Informatique et ses Applications,Vandoeouvre-les-Nancy,France,,,,,2020-12-09,9 December 2020,Computer Networks,13891286,26811,,Journal,182,,107451,,,,26,1,repositoryam,Green,,,
4,2-s2.0-85102496067,10.1109/WIFS49906.2020.9360895,,,Encrypted HTTP/2 Traffic Monitoring: Standing the Test of Time and Space,cp,Conference Paper,Brissaud P.O.,,Université de Lorraine;Thales Group,Nancy;Puteaux,France;France,,,,,2020-12-06,6 December 2020,"2020 IEEE International Workshop on Information Forensics and Security, WIFS 2020",,21101039836,,Conference Proceeding,,,9360895,,,,0,0,repositoryam,Green,,,
5,2-s2.0-85092177718,10.1080/08839514.2020.1824090,,,Automatic Tongue Delineation from MRI Images with a Convolutional Neural Network Approach,ar,Article,Isaieva K.,,Imagerie Adaptative Diagnostique et Interventionnelle,Vandoeouvre-les-Nancy,France,,,,,2020-12-05,5 December 2020,Applied Artificial Intelligence,08839514,23673,10876545,Journal,34,14,,1115-1123,,,0,0,,,,,
6,2-s2.0-85097847496,10.3390/ijerph17249367,,33327641,Persistence of covid-19 symptoms after recovery in mexican population,ar,Article,Galván-Tejada C.E.,,Universidad Autónoma de Zacatecas,Zacatecas,Mexico,,,,,2020-12-02,2 December 2020,International Journal of Environmental Research and Public Health,16617827,144989,16604601,Journal,17,24,9367,1-12,,,18,1,repositoryvor,Green,,,
7,2-s2.0-85114391056,10.1109/WIIAT50758.2020.00092,,,Handling item similarity in behavioral patterns through general pattern mining,cp,Conference Paper,Daher J.B.,,Université de Lorraine,Nancy,France,,,,,2020-12-01,December 2020,"Proceedings - 2020 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology, WI-IAT 2020",,21101058341,,Conference Proceeding,,,9457792,611-618,,,0,0,repositoryam,Green,,,
8,2-s2.0-85102376892,10.1109/APSEC51365.2020.00022,,,An integrated framework for the formal analysis of critical interactive systems,cp,Conference Paper,Mendil I.,,IRIT Institut de Recherche Informatique de Toulouse,Toulouse,France,,,,,2020-12-01,December 2020,"Proceedings - Asia-Pacific Software Engineering Conference, APSEC",15301362,145296,,Conference Proceeding,2020-December,,9359256,139-148,,,2,0,,,,,
9,2-s2.0-85097146893,10.1142/S1664360719500097,,,Krawtchouk transforms and convolutions,ar,Article,Feinsilver P.,,Southern Illinois University Carbondale;LORIA Laboratoire Lorrain de Recherche en Informatique et ses Applications,Carbondale;Vandoeouvre-les-Nancy,United States;France,,,,,2020-12-01,December 2020,Bulletin of Mathematical Sciences,16643607,21100409617,16643615,Journal,10,3,1950009,,,,0,0,publisherfullgold,Green,,,
