,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85089464035,10.1016/j.comnet.2020.107445,S1389128620311294,,A fully distributed approach for joint user association and RRH clustering in cloud radio access networks,ar,Article,Taleb H.,,Université Saint-Joseph de Beyrouth,Beirut,Lebanon,,,,,2020-12-09,9 December 2020,Computer Networks,13891286,26811,,Journal,182,,107445,,,,2,0,,,,,
1,2-s2.0-85102389221,10.1109/APSEC51365.2020.00024,,,A coloured petri nets based attack tolerance framework,cp,Conference Paper,Zhou W.,,Universite Paris-Saclay;Jilin University;Ministry of Education China,Saint-Aubin;Changchun;Beijing,France;China;China,,,,,2020-12-01,December 2020,"Proceedings - Asia-Pacific Software Engineering Conference, APSEC",15301362,145296,,Conference Proceeding,2020-December,,9359293,159-168,,,0,0,repositoryam,Green,,,
2,2-s2.0-85097946402,10.3390/pr8121649,,,Answer set programming for computing constraints-based elementary flux modes: Application to escherichia coli core metabolism,ar,Article,Mahout M.,,Universite Paris-Saclay,Saint-Aubin,France,,,,,2020-12-01,December 2020,Processes,,21100838131,22279717,Journal,8,12,1649,1-17,,,2,1,publisherfullgold,Gold,,,
3,2-s2.0-85097301520,10.1007/s00422-020-00853-7,,33289880,A feedback information-theoretic transmission scheme (FITTS) for modeling trajectory variability in aimed movements,ar,Article,Gori J.,,Universite Paris-Saclay,Saint-Aubin,France,,,,,2020-12-01,December 2020,Biological Cybernetics,03401200,17953,14320770,Journal,114,6,,621-641,,,1,0,repositoryam,Green,,,
4,2-s2.0-85091397233,10.1038/s41467-020-18766-1,,32973140,"Publisher Correction: Reconciling qualitative, abstract, and scalable modeling of biological networks (Nature Communications, (2020), 11, 1, (4256), 10.1038/s41467-020-18112-5)",er,Erratum,Paulevé L.,,Laboratoire de Recherche en Informatique;Université de Bordeaux,Gif-sur-Yvette;Bordeaux,France;France,,,,,2020-12-01,1 December 2020,Nature Communications,,19700182758,20411723,Journal,11,1,4900,,,,0,1,publisherfullgold,Gold,,,
5,2-s2.0-85091127536,10.1038/s41467-020-18335-6,,32938925,Factor analysis of ancient population genomic samples,ar,Article,François O.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-12-01,1 December 2020,Nature Communications,,19700182758,20411723,Journal,11,1,4661,,,,10,1,repositoryvor,Green,,,
6,2-s2.0-85090364720,10.1016/j.disc.2020.112117,S0012365X20303034,,Vertex-disjoint rainbow triangles in edge-colored graphs,ar,Article,Hu J.,,Universite Paris-Saclay,Saint-Aubin,France,,,,,2020-12-01,December 2020,Discrete Mathematics,0012365X,25892,,Journal,343,12,112117,,,,1,1,publisherfree2read,Bronze,,,
7,2-s2.0-85089874072,10.1038/s41467-020-18112-5,,32848126,"Reconciling qualitative, abstract, and scalable modeling of biological networks",ar,Article,Paulevé L.,,Laboratoire de Recherche en Informatique;Université de Bordeaux,Gif-sur-Yvette;Bordeaux,France;France,,,,,2020-12-01,1 December 2020,Nature Communications,,19700182758,20411723,Journal,11,1,4256,,,,14,1,repositoryam,Green,,,
8,2-s2.0-85088321183,10.1038/s41598-020-68719-3,,32694514,Evolutionary algorithms converge towards evolved biological photonic structures,ar,Article,Barry M.A.,,CNRS Centre National de la Recherche Scientifique,Paris,France,,,,,2020-12-01,1 December 2020,Scientific Reports,,21100200805,20452322,Journal,10,1,12024,,,,4,1,repositoryam,Green,,,
9,2-s2.0-85087460691,10.1007/s10522-020-09888-6,,32617766,Cancer and Alzheimer’s disease: intracellular pH scales the metabolic disorders,re,Review,Schwartz L.,,AP-HP Assistance Publique - Hopitaux de Paris,Paris,France,,,,,2020-12-01,1 December 2020,Biogerontology,13895729,28582,15736768,Journal,21,6,,683-694,,,18,0,,,,,
10,2-s2.0-85086456579,10.1038/s41467-020-16811-7,,32541693,The influence of the brittle-ductile transition zone on aftershock and foreshock occurrence,ar,Article,Petrillo G.,,Università degli Studi della Campania Luigi Vanvitelli,Naples,Italy,,,,,2020-12-01,1 December 2020,Nature Communications,,19700182758,20411723,Journal,11,1,3010,,,,2,1,repositoryam,Green,,,
11,2-s2.0-85084141145,10.1038/s41598-020-64312-w,,32355290,Targeted analysis of polymorphic loci from low-coverage shotgun sequence data allows accurate genotyping of HLA genes in historical human populations,ar,Article,Pierini F.,,Universite Paris-Saclay;Max Planck Institute for Evolutionary Biology,Saint-Aubin;Plon,France;Germany,,,,,2020-12-01,1 December 2020,Scientific Reports,,21100200805,20452322,Journal,10,1,7339,,,,3,1,repositoryvor,Green,,,
12,2-s2.0-85100871736,10.1109/ICDM50108.2020.00144,,,Bandits under the influence,cp,Conference Paper,Maniu S.,,Universite Paris-Saclay,Saint-Aubin,France,,,,,2020-11-01,November 2020,"Proceedings - IEEE International Conference on Data Mining, ICDM",15504786,7600153125,,Conference Proceeding,2020-November,,9338262,1172-1177,,,0,0,,,,,
13,2-s2.0-85099315149,10.1109/ISMAR50242.2020.00060,,,ARPads: Mid-air Indirect Input for Augmented Reality,cp,Conference Paper,Brasier E.,,Universite Paris-Saclay,Saint-Aubin,France,,,,,2020-11-01,November 2020,"Proceedings - 2020 IEEE International Symposium on Mixed and Augmented Reality, ISMAR 2020",,21101033870,,Conference Proceeding,,,9284722,332-343,,,3,0,repositoryam,Green,,,
14,2-s2.0-85095815884,10.1145/3385956.3418949,,,Virtual Navigation considering User Workspace: Automatic and Manual Positioning before Teleportation,cp,Conference Paper,Zhang Y.,,Universite Paris-Saclay,Saint-Aubin,France,,,,,2020-11-01,1 November 2020,"Proceedings of the ACM Symposium on Virtual Reality Software and Technology, VRST",,21101027239,,Conference Proceeding,,,,,,,1,0,repositoryvor,Green,,,
15,2-s2.0-85089742378,10.1016/j.cie.2020.106752,S0360835220304691,,Locating electric vehicle charging stations under uncertain battery energy status and power consumption,ar,Article,Kchaou-Boujelben M.,,United Arab Emirates University,Al Ain,United Arab Emirates,,,,,2020-11-01,November 2020,Computers and Industrial Engineering,03608352,18164,,Journal,149,,106752,,,,5,0,repositoryam,Green,,,
16,2-s2.0-85088643286,10.1038/s41431-020-0699-4,,32712624,Differences in local population history at the finest level: the case of the Estonian population,ar,Article,Pankratov V.,,Tartu Ülikool,Tartu,Estonia,,,,,2020-11-01,1 November 2020,European Journal of Human Genetics,10184813,22101,14765438,Journal,28,11,,1580-1591,,,9,1,repositoryam,Green,,,
17,2-s2.0-85057821339,10.1109/TDSC.2018.2883416,,,The Authorization Policy Existence Problem,ar,Article,Bergé P.,,Universite Paris-Saclay,Saint-Aubin,France,,,,,2020-11-01,1 November 2020,IEEE Transactions on Dependable and Secure Computing,15455971,28918,19410018,Journal,17,6,,1333-1344,,,3,0,repositoryam,Green,,,
