,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85099878726,10.1109/CDC42340.2020.9304305,,,A Nonsmooth Newton Method for the Design of State Feedback Stabilizers under Structure Constraints,cp,Conference Paper,Yagoubi M.,,Laboratoire des Sciences du Numérique de Nantes,Nantes,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304305,5992-5997,,,0,0,,,,,
1,2-s2.0-85099773567,10.1109/IEEM45057.2020.9309742,,,Diagnosis on energy and sustainability of reconfigurable manufacturing system (RMS) design: A bi-level decomposition approach,cp,Conference Paper,Khezri A.,,Arts et Metiers Institute of Technology,Paris,France,,,,,2020-12-14,14 December 2020,IEEE International Conference on Industrial Engineering and Engineering Management,21573611,21100197517,2157362X,Conference Proceeding,2020-December,,9309742,141-145,,,0,0,repositoryam,Green,,,
2,2-s2.0-85098374800,10.1109/CDC42340.2020.9304178,,,Forwarding design for stabilization of a coupled transport equation-ODE with a cone-bounded input nonlinearity,cp,Conference Paper,Marx S.,,Laboratoire des Sciences du Numérique de Nantes,Nantes,France,,,,,2020-12-14,14 December 2020,Proceedings of the IEEE Conference on Decision and Control,07431546,87424,25762370,Conference Proceeding,2020-December,,9304178,640-645,,,3,0,repositoryam,Green,,,
3,2-s2.0-85100111133,10.1109/ICARCV50220.2020.9305426,,,Consensus-based formation control and obstacle avoidance for nonholonomic multi-robot system,cp,Conference Paper,Koung D.,,Ecole Centrale de Nantes,Nantes,France,,,,,2020-12-13,13 December 2020,"16th IEEE International Conference on Control, Automation, Robotics and Vision, ICARCV 2020",,21101034443,,Conference Proceeding,,,9305426,92-97,,,2,0,repositoryam,Green,,,
4,2-s2.0-85100087002,10.1109/ICARCV50220.2020.9305465,,,Multi-Sensor-based Predictive Control for Autonomous Parking in Presence of Pedestrians,cp,Conference Paper,Perez-Morales D.,,Ecole Centrale de Nantes,Nantes,France,,,,,2020-12-13,13 December 2020,"16th IEEE International Conference on Control, Automation, Robotics and Vision, ICARCV 2020",,21101034443,,Conference Proceeding,,,9305465,406-413,,,2,0,repositoryam,Green,,,
5,2-s2.0-85102413389,10.23919/ICITST51030.2020.9351314,,,A Reliable Encryption Oriented Pseudo-chaotic Number Generator Using a Key Space Expandable Strategy,cp,Conference Paper,Qiao Z.,,Ecole Centrale de Nantes,Nantes,France,,,,,2020-12-08,8 December 2020,"2020 15th International Conference for Internet Technology and Secured Transactions, ICITST 2020",,21101039785,,Conference Proceeding,,,9351314,,,,0,0,,,,,
6,2-s2.0-85102412698,10.23919/ICITST51030.2020.9351350,,,A Stream Cipher Based on Fractional Pseudo Chaotic Random Number Generator,cp,Conference Paper,Yang C.,,Ecole Centrale de Nantes,Nantes,France,,,,,2020-12-08,8 December 2020,"2020 15th International Conference for Internet Technology and Secured Transactions, ICITST 2020",,21101039785,,Conference Proceeding,,,9351350,,,,1,0,repositoryam,Green,,,
7,2-s2.0-85097846053,10.3390/app10248905,,,Robust resonant controllers for distributed energy resources in microgrids,ar,Article,Bouzid A.E.M.,,Ecole Centrale de Nantes,Nantes,France,,,,,2020-12-02,2 December 2020,Applied Sciences (Switzerland),,21100829268,20763417,Journal,10,24,8905,1-15,,,0,1,repositoryvor,Green,,,
8,2-s2.0-85103741984,10.1109/MSIEID52046.2020.00060,,,A model of assessment and minimization of CO<inf>2</inf>emissions for green hub location-routing problem,cp,Conference Paper,Yang X.,,Shanghai Customs College,Shanghai,China,,,,,2020-12-01,December 2020,"Proceedings - 2020 Management Science Informatization and Economic Innovation Development Conference, MSIEID 2020",,21101041914,,Conference Proceeding,,,9382572,289-295,,,0,0,,,,,
9,2-s2.0-85095701511,10.1109/TAC.2020.2973609,,,A New Varying-Gain-Exponent-Based Differentiator/Observer: An Efficient Balance between Linear and Sliding-Mode Algorithms,ar,Article,Ghanes M.,,Laboratoire des Sciences du Numérique de Nantes,Nantes,France,,,,,2020-12-01,December 2020,IEEE Transactions on Automatic Control,00189286,17339,15582523,Journal,65,12,8998147,5407-5414,,,11,0,,,,,
