,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85102389221,10.1109/APSEC51365.2020.00024,,,A coloured petri nets based attack tolerance framework,cp,Conference Paper,Zhou W.,,Universite Paris-Saclay;Jilin University;Ministry of Education China,Saint-Aubin;Changchun;Beijing,France;China;China,,,,,2020-12-01,December 2020,"Proceedings - Asia-Pacific Software Engineering Conference, APSEC",15301362,145296,,Conference Proceeding,2020-December,,9359293,159-168,,,0,0,repositoryam,Green,,,
1,2-s2.0-85101486416,10.4230/LIPIcs.FSTTCS.2020.39,,,Synthesizing safe coalition strategies,cp,Conference Paper,Bertrand N.,,CNRS Centre National de la Recherche Scientifique,Paris,France,,,,,2020-12-01,December 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,182,,39,,,,0,0,,,,,
2,2-s2.0-85093642947,10.1007/s10626-020-00320-2,,,Diagnosis and Degradation Control for Probabilistic Systems,ar,Article,Bertrand N.,,CNRS Centre National de la Recherche Scientifique,Paris,France,,,,,2020-12-01,1 December 2020,Discrete Event Dynamic Systems: Theory and Applications,09246703,28967,15737594,Journal,30,4,,695-723,,,0,0,repositoryam,Green,,,
3,2-s2.0-85091397233,10.1038/s41467-020-18766-1,,32973140,"Publisher Correction: Reconciling qualitative, abstract, and scalable modeling of biological networks (Nature Communications, (2020), 11, 1, (4256), 10.1038/s41467-020-18112-5)",er,Erratum,Paulevé L.,,Laboratoire de Recherche en Informatique;Université de Bordeaux,Gif-sur-Yvette;Bordeaux,France;France,,,,,2020-12-01,1 December 2020,Nature Communications,,19700182758,20411723,Journal,11,1,4900,,,,0,1,publisherfullgold,Gold,,,
4,2-s2.0-85089874072,10.1038/s41467-020-18112-5,,32848126,"Reconciling qualitative, abstract, and scalable modeling of biological networks",ar,Article,Paulevé L.,,Laboratoire de Recherche en Informatique;Université de Bordeaux,Gif-sur-Yvette;Bordeaux,France;France,,,,,2020-12-01,1 December 2020,Nature Communications,,19700182758,20411723,Journal,11,1,4256,,,,14,1,repositoryam,Green,,,
5,2-s2.0-85096162101,10.1145/3372297.3417229,,,Oracle Simulation: A Technique for Protocol Composition with Long Term Shared Secrets,cp,Conference Paper,Comon H.,,INRIA Institut National de Recherche en Informatique et en Automatique,Le Chesnay,France,,,,,2020-10-30,30 October 2020,Proceedings of the ACM Conference on Computer and Communications Security,15437221,110362,,Conference Proceeding,,,,1427-1444,,,1,0,repositoryam,Green,,,
6,2-s2.0-85104140770,10.4230/LIPIcs.DISC.2020.7,,,Distributed computation with continual population growth,cp,Conference Paper,Cho D.J.,,Universität Kassel,Kassel,Germany,,,,,2020-10-01,1 October 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,179,,,,,,0,0,,,,,
7,2-s2.0-85094112225,10.1109/TCAD.2019.2937748,,,A Faithful Binary Circuit Model,ar,Article,Fugger M.,,CNRS Centre National de la Recherche Scientifique,Paris,France,,,,,2020-10-01,October 2020,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,02780070,27724,19374151,Journal,39,10,8818370,2784-2797,,,1,1,repositoryam,Green,,,
8,2-s2.0-85086328767,10.1007/s10485-020-09599-6,,,The Order-Sobrification Monad,ar,Article,Jia X.,,Universite Paris-Saclay,Saint-Aubin,France,,,,,2020-10-01,1 October 2020,Applied Categorical Structures,09272852,28049,15729095,Journal,28,5,,845-852,,,0,0,,,,,
9,2-s2.0-85084214043,10.1109/TCSI.2020.2989552,,,Synchronizer-Free Digital Link Controller,ar,Article,Bund J.,,Max Planck Institute for Informatics;Saarbrücken Graduate School of Computer Science,Saarbrucken;Saarbrucken,Germany;Germany,,,,,2020-10-01,October 2020,IEEE Transactions on Circuits and Systems I: Regular Papers,15498328,11000153733,15580806,Journal,67,10,9085899,3562-3573,,,0,1,repositoryam,Green,,,
