,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85099074282,10.1063/5.0031843,,33353339,Electronic structure and optical properties of quantum crystals from first principles calculations in the Born-Oppenheimer approximation,ar,Article,Gorelov V.,,Université de Versailles Saint-Quentin-en-Yvelines,Versailles,France,,,,,2020-12-21,21 December 2020,The Journal of chemical physics,,28134,10897690,Journal,153,23,,234117,,,5,0,repositoryam,Green,,,
1,2-s2.0-85097153568,10.1103/PhysRevB.102.195133,,,Electronic energy gap closure and metal-insulator transition in dense liquid hydrogen,ar,Article,Gorelov V.,,Maison de la Simulation,Gif-sur-Yvette,France,,,,,2020-11-19,19 November 2020,Physical Review B,24699950,21100874236,24699969,Journal,102,19,195133,,,,5,0,repositoryam,Green,,,
2,2-s2.0-85095976726,10.1021/acs.jctc.0c00729,,32894674,Tackling Solvent Effects by Coupling Electronic and Molecular Density Functional Theory,ar,Article,Jeanmairet G.,,Sorbonne Universite,Paris,France,,,,,2020-11-10,10 November 2020,Journal of Chemical Theory and Computation,15499618,5100155074,15499626,Journal,16,11,,7123-7134,,,9,0,repositoryam,Green,,,
3,2-s2.0-85106101372,10.4208/CICP.OA-2019-0184,,,Multi-Mesh-Scale approximation of thin geophysical mass flows on complex topographies,ar,Article,Tai Y.C.,,National Cheng Kung University,Tainan,Taiwan,,,,,2020-11-01,November 2020,Communications in Computational Physics,18152406,10600153306,19917120,Journal,29,1,,148-185,,,1,1,publisherfree2read,Bronze,,,
4,2-s2.0-85097184022,10.1093/mnras/staa2300,,,A library of self-consistent simulated exoplanet atmospheres,ar,Article,Goyal J.M.,,University of Exeter;Cornell University,Exeter;Ithaca,United Kingdom;United States,,,,,2020-11-01,1 November 2020,Monthly Notices of the Royal Astronomical Society,00358711,28218,13652966,Journal,498,4,,4680-4704,,,11,0,repositoryam,Green,,,
5,2-s2.0-85095135587,10.1051/0004-6361/202038771,,,Rotational spectral modulation of cloudless atmospheres for L/T brown dwarfs and extrasolar giant planets,ar,Article,Tremblin P.,,CEA Saclay,Gif-sur-Yvette,France,,,,,2020-11-01,1 November 2020,Astronomy and Astrophysics,00046361,26750,14320746,Journal,643,,A23,,,,5,1,repositoryam,Green,,,
6,2-s2.0-85083090767,10.1007/s10494-020-00125-1,,,An Accurate Sharp Interface Method for Two-Phase Compressible Flows at Low-Mach Regime,ar,Article,Zou Z.,,Universite Paris-Saclay,Saint-Aubin,France,,,,,2020-11-01,November 2020,"Flow, Turbulence and Combustion",13866184,21322,15731987,Journal,105,4,,1413-1444,,,1,0,,,,,
7,2-s2.0-85080120750,10.1002/cpe.5710,,,A parallel generator of non-Hermitian matrices computed from given spectra,cp,Conference Paper,Wu X.,,Maison de la Simulation;Université de Lille,Gif-sur-Yvette;Lille,France;France,,,,,2020-10-25,25 October 2020,Concurrency and Computation: Practice and Experience,15320626,27871,15320634,Journal,32,20,e5710,,,,1,0,repositoryam,Green,,,
8,2-s2.0-85095416939,10.1103/PhysRevB.102.144108,,,Quantum Monte Carlo determination of the principal Hugoniot of deuterium,ar,Article,Ruggeri M.,,Maison de la Simulation,Gif-sur-Yvette,France,,,,,2020-10-22,22 October 2020,Physical Review B,24699950,21100874236,24699969,Journal,102,14,144108,,,,2,0,repositoryam,Green,,,
9,2-s2.0-85115896225,10.1103/PhysRevResearch.2.043007,,,Techniques to generate intense isolated attosecond pulses from relativistic plasma mirrors,ar,Article,Kallala H.,,Maison de la Simulation;Universite Paris-Saclay,Gif-sur-Yvette;Saint-Aubin,France;France,,,,,2020-10-01,1 October 2020,Physical Review Research,26431564,21101060181,,Journal,2,4,043007,,,,1,1,repositoryam,Green,,,
