,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85096445885,10.1038/s41598-020-77263-z,,33230245,Musical coordination in a large group without plans nor leaders,ar,Article,Goupil L.,,Sciences et Technologies de la Musique et du Son;University of East London,Paris;London,France;United Kingdom,,,,,2020-12-01,December 2020,Scientific Reports,,21100200805,20452322,Journal,10,1,20377,,,,2,1,repositoryvor,Green,,,
1,2-s2.0-85091826869,10.1038/s41598-020-72423-7,,33009439,Auditory local–global temporal processing: evidence for perceptual reorganization with musical expertise,ar,Article,Susini P.,,Sciences et Technologies de la Musique et du Son,Paris,France,,,,,2020-12-01,1 December 2020,Scientific Reports,,21100200805,20452322,Journal,10,1,16390,,,,0,1,repositoryam,Green,,,
2,2-s2.0-85096655644,10.1145/3382507.3421155,,,Towards Multimodal Human-Like Characteristics and Expressive Visual Prosody in Virtual Agents,cp,Conference Paper,Fares M.,,Sorbonne Universite,Paris,France,,,,,2020-10-21,21 October 2020,ICMI 2020 - Proceedings of the 2020 International Conference on Multimodal Interaction,,21101028402,,Conference Proceeding,,,,743-747,,,2,0,repositoryam,Green,,,
3,2-s2.0-85097352054,10.17743/jaes.2020.0015,,,A web-based framework for distributed music system research and creation,ar,Article,Matuszewski B.,,Universite Paris 8 Vincennes-St Denis,Saint-Denis,France,,,,,2020-10-01,October 2020,AES: Journal of the Audio Engineering Society,15494950,19437,,Journal,68,10,,717-726,,,3,1,repositoryam,Green,,,
4,2-s2.0-85093984989,10.1121/10.0002109,,33138478,'Warming up' a wind instrument: The time-dependent effects of exhaled air on the resonances of a trombone,ar,Article,Boutin H.,,Sorbonne Universite,Paris,France,,,,,2020-10-01,1 October 2020,Journal of the Acoustical Society of America,00014966,12936,15208524,Journal,148,4,,1817-1823,,,0,0,repositoryam,Green,,,
5,2-s2.0-85087917873,10.1016/j.poetic.2020.101475,S0304422X20302126,,"The fuzzy middle. Uncertainty, indifference, and disagreement in the evaluation of contemporary art music",ar,Article,Fryberger A.,,École des Hautes Études en Sciences Sociales;Sorbonne Universite,Paris;Paris,France;France,,,,,2020-10-01,October 2020,Poetics,0304422X,17409,,Journal,82,,101475,,,,0,0,,,,,
6,2-s2.0-85091513554,10.3389/fphys.2020.00762,,,Heart Rate Variability Synchronizes When Non-experts Vocalize Together,ar,Article,Ruiz-Blais S.,,Queen Mary University of London,London,United Kingdom,,,,,2020-09-08,8 September 2020,Frontiers in Physiology,,21100215107,1664042X,Journal,11,,762,,,,2,1,repositoryvor,Green,,,
7,2-s2.0-85043391235,10.1109/TAFFC.2018.2811465,,,Realistic Transformation of Facial and Vocal Smiles in Real-Time Audiovisual Streams,ar,Article,Arias P.,,Sorbonne Universite,Paris,France,,,,,2020-07-01,July-September 2020,IEEE Transactions on Affective Computing,,19700177034,19493045,Journal,11,3,8307228,507-518,,,5,1,repositoryvor,Green,,,
8,2-s2.0-85087638268,10.1121/10.0001466,,32611147,"Trombone lip mechanics with inertive and compliant loads (""lipping up and down"")",ar,Article,Boutin H.,,Sorbonne Universite,Paris,France,,,,,2020-06-01,1 June 2020,Journal of the Acoustical Society of America,00014966,12936,15208524,Journal,147,6,,4133-4144,,,2,0,repositoryam,Green,,,
9,2-s2.0-85086706698,10.1684/pnv.2020.0861,,32554353,Sensorimotor synchronization and non-verbal behaviors in Alzheimer's disease: The influence of social and musical context,ar,Article,Ghilain M.,,"Psychologie : Interactions, Temps, Emotions, Cognition ( PSITEC )",Villeneuve-d'Ascq,France,,,,,2020-06-01,June 2020,Geriatrie et Psychologie Neuropsychiatrie du Vieillissement,21158789,19800188011,21157863,Journal,18,2,,213-222,,,3,0,repositoryam,Green,,,
10,2-s2.0-85086103500,10.3390/app10113747,,,Auralization of high-order directional sources from first-order RIR measurements,ar,Article,Zaunschirm M.,,Universitat fur Musik und darstellende Kunst Graz,Graz,Austria,,,,,2020-06-01,1 June 2020,Applied Sciences (Switzerland),,21100829268,20763417,Journal,10,11,3747,,,,1,1,publisherfullgold,Gold,,,
11,2-s2.0-85102854620,10.3389/fcomp.2020.00016,,,Machine Learning Approaches for Motor Learning: A Short Review,re,Review,Caramiaux B.,,Universite Paris-Saclay,Saint-Aubin,France,,,,,2020-05-29,29 May 2020,Frontiers in Computer Science,,21101062832,26249898,Journal,2,,16,,,,4,1,repositoryam,Green,,,
12,2-s2.0-85089228803,10.1109/ICASSP40776.2020.9053089,,,GCI Detection from Raw Speech Using a Fully-Convolutional Network,cp,Conference Paper,Ardaillon L.,,Sciences et Technologies de la Musique et du Son,Paris,France,,,,,2020-05-01,May 2020,"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings",15206149,110544,,Conference Proceeding,2020-May,,9053089,6739-6743,,,4,0,repositoryam,Green,,,
