Année,Nom,Total,Article,Conference Paper,Data Paper,Book,Book Chapter,Editorial,Erratum,Letter,Review,Short Survey,Note,Retracted
2016,CMP,13,10,2,0,0,1,0,0,0,0,0,0,0
2017,CMP,16,10,6,0,0,0,0,0,0,0,0,0,0
2018,CMP,12,10,1,0,0,0,0,0,0,1,0,0,0
2019,CMP,3,2,1,0,0,0,0,0,0,0,0,0,0
2020,CMP,3,3,0,0,0,0,0,0,0,0,0,0,0
2016,CRAN,253,111,124,0,0,4,6,0,0,7,1,0,0
2017,CRAN,243,97,123,0,0,7,5,2,3,4,1,1,0
2018,CRAN,296,135,129,0,1,10,3,0,2,13,3,0,0
2019,CRAN,256,117,97,0,1,21,4,1,1,11,1,2,0
2020,CRAN,255,147,75,0,0,7,4,3,1,17,0,1,0
2016,CREATIS,155,95,47,0,0,3,1,0,2,3,2,2,0
2017,CREATIS,180,91,74,0,0,2,1,1,3,3,1,1,3
2018,CREATIS,189,118,59,0,0,2,3,0,1,5,1,0,0
2019,CREATIS,175,108,57,0,0,0,0,1,1,5,3,0,0
2020,CREATIS,170,112,36,0,0,0,3,1,7,8,3,0,0
2016,CRIL,73,9,62,0,0,0,1,0,0,1,0,0,0
2017,CRIL,72,14,56,0,0,1,0,0,0,1,0,0,0
2018,CRIL,83,15,63,0,1,0,4,0,0,0,0,0,0
2019,CRIL,58,7,49,0,0,1,1,0,0,0,0,0,0
2020,CRIL,36,6,30,0,0,0,0,0,0,0,0,0,0
2016,CRISTAL,312,137,167,0,0,3,2,0,0,1,2,0,0
2017,CRISTAL,299,113,176,0,0,4,5,0,0,1,0,0,0
2018,CRISTAL,350,119,200,0,0,19,5,1,1,4,0,0,1
2019,CRISTAL,285,111,162,0,0,4,2,0,1,1,3,1,0
2020,CRISTAL,337,150,158,1,0,11,3,2,0,5,4,3,0
2016,DI ENS,21,9,10,0,0,0,2,0,0,0,0,0,0
2017,DI ENS,38,14,22,0,0,0,1,0,0,1,0,0,0
2018,DI ENS,56,20,36,0,0,0,0,0,0,0,0,0,0
2019,DI ENS,62,20,40,0,0,0,1,1,0,0,0,0,0
2020,DI ENS,65,19,43,0,0,1,0,2,0,0,0,0,0
2016,ETIS,72,19,52,0,0,1,0,0,0,0,0,0,0
2017,ETIS,98,31,63,0,0,1,2,0,0,0,0,1,0
2018,ETIS,67,24,43,0,0,0,0,0,0,0,0,0,0
2019,ETIS,108,35,68,0,0,1,0,0,0,4,0,0,0
2020,ETIS,87,43,41,0,0,1,1,1,0,0,0,0,0
2016,GIPSA-Lab,351,160,175,0,0,8,4,0,1,2,0,1,0
2017,GIPSA-Lab,328,143,150,0,0,24,3,0,0,5,2,1,0
2018,GIPSA-Lab,369,146,190,0,1,24,3,0,0,4,0,1,0
2019,GIPSA-Lab,353,160,184,0,0,4,1,1,0,2,1,0,0
2020,GIPSA-Lab,291,155,123,0,0,4,2,1,1,5,0,0,0
2016,GREYC,123,47,71,0,0,2,2,1,0,0,0,0,0
2017,GREYC,130,57,68,0,0,4,1,0,0,0,0,0,0
2018,GREYC,100,35,63,0,0,0,2,0,0,0,0,0,0
2019,GREYC,100,42,57,0,0,0,0,0,0,0,0,1,0
2020,GREYC,92,48,38,0,0,2,3,0,0,1,0,0,0
2016,G-SCOP,86,44,41,0,0,0,0,0,0,1,0,0,0
2017,G-SCOP,107,66,35,0,0,3,0,2,0,1,0,0,0
2018,G-SCOP,104,58,42,0,0,3,0,1,0,0,0,0,0
2019,G-SCOP,109,44,60,0,0,2,0,1,0,2,0,0,0
2020,G-SCOP,110,40,67,0,0,0,1,0,0,2,0,0,0
2016,HEUDIASYC,146,51,89,0,1,2,1,0,0,2,0,0,0
2017,HEUDIASYC,149,49,92,0,0,2,1,0,0,5,0,0,0
2018,HEUDIASYC,132,47,83,0,0,0,1,0,0,1,0,0,0
2019,HEUDIASYC,114,51,60,0,0,0,3,0,0,0,0,0,0
2020,HEUDIASYC,111,53,47,0,0,9,0,0,0,2,0,0,0
2016,I3S,161,50,108,0,0,2,1,0,0,0,0,0,0
2017,I3S,162,64,89,0,0,3,6,0,0,0,0,0,0
2018,I3S,166,54,103,0,1,2,3,1,0,2,0,0,0
2019,I3S,198,57,128,0,1,4,6,2,0,0,0,0,0
2020,I3S,191,67,112,0,0,1,9,0,0,2,0,0,0
2016,ICUBE,251,144,91,0,0,5,1,0,2,3,4,1,0
2017,ICUBE,286,163,99,0,0,4,1,1,2,12,2,2,0
2018,ICUBE,260,175,68,0,0,3,2,2,0,6,3,1,0
2019,ICUBE,316,193,95,0,1,4,6,2,2,10,2,1,0
2020,ICUBE,244,159,59,0,0,2,2,1,4,11,5,1,0
2016,IDRIS,1,1,0,0,0,0,0,0,0,0,0,0,0
2017,IDRIS,3,2,1,0,0,0,0,0,0,0,0,0,0
2018,IDRIS,1,1,0,0,0,0,0,0,0,0,0,0,0
2019,IDRIS,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,IDRIS,3,1,1,0,0,0,0,0,0,1,0,0,0
2016,IRIF,151,69,78,0,0,1,3,0,0,0,0,0,0
2017,IRIF,159,79,74,0,0,2,1,0,0,2,0,1,0
2018,IRIF,163,74,83,0,0,4,0,0,0,2,0,0,0
2019,IRIF,149,71,76,0,0,1,1,0,0,0,0,0,0
2020,IRIF,146,63,80,0,0,1,1,0,0,1,0,0,0
2016,IRISA,494,141,314,0,0,20,15,0,0,4,0,0,0
2017,IRISA,479,138,299,0,1,19,15,1,1,4,1,0,0
2018,IRISA,512,152,328,1,2,6,17,0,0,6,0,0,0
2019,IRISA,552,153,369,0,0,10,17,1,0,1,0,1,0
2020,IRISA,495,195,271,1,0,8,14,1,0,4,0,1,0
2016,IRIT,529,133,367,0,0,12,10,1,0,5,1,0,0
2017,IRIT,499,137,341,0,0,8,11,0,0,2,0,0,0
2018,IRIT,499,152,313,0,0,13,13,1,0,7,0,0,0
2019,IRIT,508,152,327,0,1,9,11,0,1,5,2,0,0
2020,IRIT,423,150,251,0,0,7,5,0,1,9,0,0,0
