,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85097783272,10.1109/TMTT.2020.3015974,,,Design of mm-Wave Slow-Wave-Coupled Coplanar Waveguides,ar,Article,Margalef-Rovira M.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-12-01,December 2020,IEEE Transactions on Microwave Theory and Techniques,00189480,17366,15579670,Journal,68,12,9173705,5014-5028,,,4,0,repositoryvor,Green,,,
1,2-s2.0-85088816570,10.1038/s41467-020-17592-9,,32728047,Optomechanical mass spectrometry,ar,Article,Sansa M.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-12-01,1 December 2020,Nature Communications,,19700182758,20411723,Journal,11,1,3781,,,,14,1,repositoryam,Green,,,
2,2-s2.0-85099483930,10.1109/ICECS49266.2020.9294938,,,Assessment of machine learning algorithms for near-sensor computing under radiation soft errors,cp,Conference Paper,Trindade M.G.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-11-23,23 November 2020,"ICECS 2020 - 27th IEEE International Conference on Electronics, Circuits and Systems, Proceedings",,21101033916,,Conference Proceeding,,,9294938,,,,3,0,repositoryvor,Green,,,
3,2-s2.0-85099471519,10.1109/ICMIM48759.2020.9299098,,,A Fully-Integrated High-Isolation Transfer Switch for G-band in-situ Reflectometer applications,cp,Conference Paper,Aouimeur W.,,TiHive Technologies,Meulan,France,,,,,2020-11-23,23 November 2020,"2020 IEEE MTT-S International Conference on Microwaves for Intelligent Mobility, ICMIM 2020",,21101033934,,Conference Proceeding,,,9299098,,,,2,0,,,,,
4,2-s2.0-85099471124,10.1109/ICECS49266.2020.9294821,,,High level fault injection method for evaluating critical system parameter ranges,cp,Conference Paper,Roux J.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-11-23,23 November 2020,"ICECS 2020 - 27th IEEE International Conference on Electronics, Circuits and Systems, Proceedings",,21101033916,,Conference Proceeding,,,9294821,,,,2,0,,,,,
5,2-s2.0-85099444274,10.1109/ICMIM48759.2020.9299099,,,A Non-Closed-Form Mathematical Model for Uniform and Non-Uniform Distributed Amplifiers,cp,Conference Paper,El Chaar M.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-11-23,23 November 2020,"2020 IEEE MTT-S International Conference on Microwaves for Intelligent Mobility, ICMIM 2020",,21101033934,,Conference Proceeding,,,9299099,,,,0,0,repositoryam,Green,,,
6,2-s2.0-85099442909,10.1109/ICMIM48759.2020.9299107,,,Miniaturization of Transmission Lines: Meandered Slow-wave CPWs,cp,Conference Paper,Margalef-Rovira M.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-11-23,23 November 2020,"2020 IEEE MTT-S International Conference on Microwaves for Intelligent Mobility, ICMIM 2020",,21101033934,,Conference Proceeding,,,9299107,,,,0,0,repositoryvor,Green,,,
7,2-s2.0-85097934656,10.1145/3400302.3416260,,,Machine Learning and Hardware security: Challenges and Opportunities -Invited Talk-,cp,Conference Paper,Regazzoni F.,,Universiteit van Amsterdam,Amsterdam,Netherlands,,,,,2020-11-02,2 November 2020,"IEEE/ACM International Conference on Computer-Aided Design, Digest of Technical Papers, ICCAD",10923152,51882,,Conference Proceeding,2020-November,,9256522,,,,3,0,,,,,
8,2-s2.0-85100205749,10.1109/ITC44778.2020.9325261,,,At-speed DfT Architecture for Bundled-data Design,cp,Conference Paper,Guazzelli R.A.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-11-01,1 November 2020,Proceedings - International Test Conference,10893539,25589,,Conference Proceeding,2020-November,,9325261,,,,0,0,repositoryam,Green,,,
9,2-s2.0-85100186092,10.1109/ITC44778.2020.9325260,,,New Perspectives on Core In-field Path Delay Test,cp,Conference Paper,Cantoro R.,,Politecnico di Torino,Turin,Italy,,,,,2020-11-01,1 November 2020,Proceedings - International Test Conference,10893539,25589,,Conference Proceeding,2020-November,,9325260,,,,1,0,,,,,
