,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85098645765,10.1371/journal.ppat.1008893,,33326490,Bacterial behavior in human blood reveals complement evaders with some persister-like features,ar,Article,Pont S.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-12-16,16 December 2020,PLoS Pathogens,15537366,4000151809,15537374,Journal,16,12,e1008893,,,,4,1,repositoryam,Green,,,
1,2-s2.0-85097942321,10.1136/bmjopen-2020-045500,,33323452,Detailing sexual outcomes after treatment of localised prostate cancer with focal therapy using various energy sources: protocol for a mixed-methods study,ar,Article,Fiard G.,,UCL Faculty of Medical Sciences;Universite Grenoble Alpes;University College London,London;Saint Martin d'Heres;London,United Kingdom;France;United Kingdom,,,,,2020-12-15,15 December 2020,BMJ Open,,19800188003,20446055,Journal,10,12,e045500,,,,1,1,repositoryam,Green,,,
2,2-s2.0-85098276766,10.3390/cancers12123820,,,Circulating il-13 is associated with de novo development of hcc in hcv-infected patients responding to direct-acting antivirals,ar,Article,Jílková Z.M.,,Institut pour l'Avancée des Biosciences;Centre Hospitalier Universitaire de Grenoble,La Tronche;Grenoble,France;France,,,,,2020-12-01,December 2020,Cancers,,19700188419,20726694,Journal,12,12,3820,1-7,,,4,1,repositoryvor,Green,,,
3,2-s2.0-85097321477,10.1186/s12941-020-00403-w,,33298064,Evaluation of Rapid Sepsityper® protocol and specific MBT-Sepsityper module (Bruker Daltonics) for the rapid diagnosis of bacteremia and fungemia by MALDI-TOF-MS,ar,Article,Ponderand L.,,Universite Grenoble Alpes;Centre Hospitalier Universitaire de Grenoble,Saint Martin d'Heres;Grenoble,France;France,,,,,2020-12-01,December 2020,Annals of Clinical Microbiology and Antimicrobials,,19608,14760711,Journal,19,1,60,,,,5,1,repositoryvor,Green,,,
4,2-s2.0-85096447681,10.1002/oby.23001,,33230959,Effectiveness and Safety of Bariatric Surgery in Patients with End-Stage Chronic Kidney Disease or Kidney Transplant,re,Review,Guggino J.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-12-01,December 2020,Obesity,19307381,4700152825,1930739X,Journal,28,12,,2290-2304,,,5,0,,,,,
5,2-s2.0-85096445128,10.1186/s13613-020-00762-9,,,Management of pharmaceutical and recreational drug poisoning,re,Review,Mégarbane B.,,Optimisation Thérapeutique en Neuropsychopharmacologie,Paris,France,,,,,2020-12-01,December 2020,Annals of Intensive Care,,21100200831,21105820,Journal,10,1,157,,,,14,1,repositoryvor,Green,,,
6,2-s2.0-85096223168,10.1016/j.jmoldx.2020.09.001,S1525157820304591,32976994,"Development, Optimization, and Validation of a Multiplex Real-Time PCR Assay on the BD MAX Platform for Routine Diagnosis of Acanthamoeba Keratitis",ar,Article,Maubon D.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-12-01,December 2020,Journal of Molecular Diagnostics,15251578,15983,19437811,Journal,22,12,,1400-1407,,,1,1,publisherfree2read,Bronze,,,
7,2-s2.0-85094324680,10.1016/j.clinbiomech.2020.105181,S0268003320303004,33128961,Biomechanical monitoring and machine learning for the detection of lying postures,ar,Article,Caggiari S.,,University of Southampton,Southampton,United Kingdom,,,,,2020-12-01,December 2020,Clinical Biomechanics,02680033,21170,18791271,Journal,80,,105181,,,,2,0,repositoryam,Green,,,
8,2-s2.0-85092234478,10.1016/j.ijantimicag.2020.106153,S0924857920303526,32911069,Genomic trajectories to fluoroquinolone resistance in Francisella tularensis subsp. holarctica live vaccine strain,ar,Article,Sutera V.,,Universite Grenoble Alpes;Centre Hospitalier Universitaire de Grenoble,Saint Martin d'Heres;Grenoble,France;France,,,,,2020-12-01,December 2020,International Journal of Antimicrobial Agents,09248579,19757,18727913,Journal,56,6,106153,,,,1,0,,,,,
9,2-s2.0-85092044999,10.1007/s41999-020-00405-z,,33141405,August 2020 Interim EuGMS guidance to prepare European Long-Term Care Facilities for COVID-19,ar,Article,Blain H.,,Centre Hospitalier Universitaire de Montpellier,Montpellier,France,,,,,2020-12-01,December 2020,European Geriatric Medicine,18787649,19700175204,18787657,Journal,11,6,,899-913,,,23,1,repositoryvor,Green,,,
