,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85100685120,10.1109/MEMOCODE51338.2020.9315156,,,Runtime Verification of Timed Properties in Autonomous Robots,cp,Conference Paper,Foughali M.,,Verimag,Saint Martin d'Heres,France,,,,,2020-12-02,2 December 2020,"2020 18th ACM-IEEE International Conference on Formal Methods and Models for System Design, MEMOCODE 2020",,21101037175,,Conference Proceeding,,,9315156,,,,2,0,repositoryam,Green,,,
1,2-s2.0-85100633350,10.1109/MEMOCODE51338.2020.9315034,,,Safe and efficient collision avoidance control for autonomous vehicles,cp,Conference Paper,Wang Q.,,Southern University of Science and Technology,Shenzhen,China,,,,,2020-12-02,2 December 2020,"2020 18th ACM-IEEE International Conference on Formal Methods and Models for System Design, MEMOCODE 2020",,21101037175,,Conference Proceeding,,,9315034,,,,2,0,repositoryam,Green,,,
2,2-s2.0-85102001097,10.1109/RTSS49844.2020.00034,,,A study of predictable execution models implementation for industrial data-flow applications on a multi-core platform with shared banked memory,cp,Conference Paper,Schuh M.,,CNRS Centre National de la Recherche Scientifique,Paris,France,,,,,2020-12-01,December 2020,Proceedings - Real-Time Systems Symposium,10528725,85329,,Conference Proceeding,2020-December,,9355487,283-295,,,2,0,repositoryam,Green,,,
3,2-s2.0-85089577998,10.1016/j.jpdc.2020.08.004,S0743731520303440,,Election in unidirectional rings with homonyms,ar,Article,Altisen K.,,Verimag,Saint Martin d'Heres,France,,,,,2020-12-01,December 2020,Journal of Parallel and Distributed Computing,07437315,25621,,Journal,146,,,79-95,,,1,1,repositoryam,Green,,,
4,2-s2.0-85087837036,10.1007/s10009-020-00582-z,,,AMT 2.0: qualitative and quantitative trace analysis with extended signal temporal logic,ar,Article,Ničković D.,,Austrian Institute of Technology,Vienna,Austria,,,,,2020-12-01,December 2020,International Journal on Software Tools for Technology Transfer,14332779,19271,14332787,Journal,22,6,,741-758,,,3,0,,,,,
5,2-s2.0-85086460152,10.1016/j.sysarc.2020.101817,S1383762120301090,,Bridging the gap between formal verification and schedulability analysis: The case of robotics,ar,Article,Foughali M.,,Verimag,Saint Martin d'Heres,France,,,,,2020-12-01,December 2020,Journal of Systems Architecture,13837621,12398,,Journal,111,,101817,,,,5,1,repositoryam,Green,,,
6,2-s2.0-85097576437,10.1145/3428197,,,Certified and efficient instruction scheduling: Application to interlocked VLIW processors,ar,Article,Six C.,,Universite Grenoble Alpes;KALRAY SA,Saint Martin d'Heres;Montbonnot,France;France,,,,,2020-11-13,13 November 2020,Proceedings of the ACM on Programming Languages,,21101020042,24751421,Journal,4,OOPSLA,129,,,,2,1,repositoryam,Green,,,
7,2-s2.0-85089133376,10.1016/j.peva.2020.102124,S0166531620300444,,Bounding the delays of the MPPA network-on-chip with network calculus: Models and benchmarks,ar,Article,Boyer M.,,Université Fédérale Toulouse Midi-Pyrénées,Toulouse,France,,,,,2020-11-01,November 2020,Performance Evaluation,01665316,22313,,Journal,143,,102124,,,,3,0,repositoryam,Green,,,
8,2-s2.0-85087658314,10.1007/s10703-020-00345-1,,,Abstraction refinement and antichains for trace inclusion of infinite state systems,ar,Article,Holík L.,,"Brno University of Technology, Faculty of Information Technology",Brno,Czech Republic,,,,,2020-11-01,November 2020,Formal Methods in System Design,09259856,12262,15728102,Journal,55,3,,137-170,,,0,0,repositoryam,Green,,,
9,2-s2.0-85092687999,10.3233/FAIA200578,,,Formal modeling and verification of blockchain consensus protocol for IoT systems,cp,Conference Paper,Baouya A.,,Verimag,Saint Martin d'Heres,France,,,,,2020-09-15,15 September 2020,Frontiers in Artificial Intelligence and Applications,09226389,19500157321,,Book Series,327,,,330-342,,,2,0,,,,,
10,2-s2.0-85096569067,10.1109/FDTC51366.2020.00009,,,An End-to-End Approach for Multi-Fault Attack Vulnerability Assessment,cp,Conference Paper,Werner V.,,Commissariat a L'Energie Atomique CEA,Gif-sur-Yvette,France,,,,,2020-09-01,September 2020,"Proceedings - 2020 Workshop on Fault Detection and Tolerance in Cryptography, FDTC 2020",,21101028373,,Conference Proceeding,,,9237302,10-17,,,3,0,repositoryam,Green,,,
11,2-s2.0-85091453612,10.4230/LIPIcs.FUN.2021.6,,,Finding water on poleless using melomaniac myopic chameleon robots,cp,Conference Paper,Bramas Q.,,Université de Strasbourg,Strasbourg,France,,,,,2020-09-01,1 September 2020,"Leibniz International Proceedings in Informatics, LIPIcs",18688969,21100244929,,Conference Proceeding,157,,6,,,,1,0,,,,,
