iso_a3,total
AFG,0
AGO,0
ALB,9
ARE,95
ARG,227
ARM,6
AUS,673
AUT,590
AZE,0
BDI,0
BEL,1247
BEN,11
BFA,34
BGD,3
BGR,40
BHS,0
BIH,7
BLR,76
BLZ,0
BOL,0
BRA,1141
BRN,0
BTN,0
BWA,5
CAF,0
CAN,1802
CHE,1039
CHL,308
CHN,1684
CIV,20
CMR,109
COD,1
COG,0
COL,141
CRI,11
CUB,4
CYP,28
CZE,336
DEU,2618
DJI,0
DNK,374
DOM,0
DZA,788
ECU,39
EGY,38
ERI,0
ESP,1402
EST,47
ETH,7
FIN,363
FJI,5
FLK,0
FRA,71187
GAB,0
GBR,2640
GEO,0
GHA,1
GIN,1
GMB,0
GNB,3
GRC,419
GRL,2
GTM,0
GUY,0
HND,0
HRV,31
HTI,0
HUN,147
IDN,28
IND,446
IRL,330
IRN,141
IRQ,2
ISL,66
ISR,362
ITA,2523
JAM,0
JOR,16
JPN,1101
KAZ,8
KEN,15
KGZ,0
KHM,1
KOR,125
KWT,2
LBN,349
LBR,0
LBY,0
LKA,5
LSO,0
LTU,18
LUX,356
LVA,10
MAR,339
MDA,2
MDG,35
MEX,549
MKD,9
MLI,13
MNE,21
MNG,0
MOZ,0
MRT,1
MWI,0
MYS,53
NAM,0
NER,1
NGA,1
NIC,0
NLD,1003
NOR,299
NPL,0
NZL,100
OMN,12
PAK,63
PAN,1
PER,23
PHL,11
PNG,0
POL,414
PRI,1
PRK,0
PRT,339
PRY,1
PSE,10
QAT,41
ROU,246
RUS,452
RWA,0
SAU,176
SDN,11
SEN,125
SLE,0
SLV,0
SOM,0
SRB,73
SUR,0
SVK,28
SVN,88
SWE,526
SYR,1
TGO,0
THA,48
TJK,0
TKM,0
TTO,0
TUN,1169
TUR,181
TWN,64
TZA,3
UGA,0
UKR,59
URY,47
USA,4366
UZB,0
VEN,45
VNM,149
VUT,0
YEM,1
ZAF,82
ZMB,0
ZWE,3
