Année,Nom,Total,COMM,ART,COUV,DOUV,OUV,THESE,HDR
2016,CMP,2,1,1,0,0,0,0,0
2017,CMP,5,2,3,0,0,0,0,0
2018,CMP,2,2,0,0,0,0,0,0
2019,CMP,0,0,0,0,0,0,0,0
2020,CMP,0,0,0,0,0,0,0,0
2016,CRAN,376,201,129,14,8,2,20,2
2017,CRAN,404,241,119,6,4,1,31,2
2018,CRAN,394,201,155,10,6,2,18,2
2019,CRAN,400,200,150,18,5,1,22,4
2020,CRAN,309,107,179,4,2,1,16,0
2016,CREATIS,252,111,116,2,3,0,20,0
2017,CREATIS,320,165,126,5,1,0,23,0
2018,CREATIS,287,115,158,3,0,0,10,1
2019,CREATIS,269,120,124,3,0,0,20,2
2020,CREATIS,228,62,154,2,0,0,10,0
2016,CRIL,69,57,9,1,1,0,1,0
2017,CRIL,64,40,15,1,4,0,4,0
2018,CRIL,62,48,11,1,0,1,1,0
2019,CRIL,52,42,5,0,1,1,1,2
2020,CRIL,48,33,6,5,2,2,0,0
2016,CRISTAL,585,333,185,13,7,4,39,4
2017,CRISTAL,626,366,201,10,4,11,32,2
2018,CRISTAL,508,289,169,10,8,4,27,1
2019,CRISTAL,489,275,159,13,7,2,28,5
2020,CRISTAL,493,243,189,25,7,9,19,1
2016,DI ENS,154,86,41,4,4,0,18,1
2017,DI ENS,176,107,40,3,4,3,19,0
2018,DI ENS,209,117,55,2,3,2,30,0
2019,DI ENS,170,98,44,3,1,0,24,0
2020,DI ENS,180,118,39,2,1,2,18,0
2016,ETIS,116,82,30,3,0,0,1,0
2017,ETIS,136,71,40,4,6,0,13,2
2018,ETIS,95,52,33,3,1,1,5,0
2019,ETIS,105,59,36,1,2,0,6,1
2020,ETIS,100,36,48,8,2,1,4,1
2016,GIPSA-Lab,503,258,176,28,3,2,33,3
2017,GIPSA-Lab,478,246,170,14,4,4,39,1
2018,GIPSA-Lab,463,231,163,27,1,2,39,0
2019,GIPSA-Lab,465,245,175,15,3,2,25,0
2020,GIPSA-Lab,349,138,166,12,2,0,31,0
2016,GREYC,186,108,55,6,3,0,11,3
2017,GREYC,196,102,67,1,5,3,16,2
2018,GREYC,163,95,46,2,2,5,11,2
2019,GREYC,170,95,56,0,5,0,14,0
2020,GREYC,105,38,44,9,3,3,7,1
2016,G-SCOP,175,87,58,6,1,0,21,2
2017,G-SCOP,200,106,64,6,1,0,22,1
2018,G-SCOP,185,89,65,11,0,1,19,0
2019,G-SCOP,150,83,42,13,0,1,11,0
2020,G-SCOP,146,58,55,19,1,0,13,0
2016,HEUDIASYC,192,115,56,0,1,0,20,0
2017,HEUDIASYC,203,120,61,4,6,1,10,1
2018,HEUDIASYC,170,99,50,5,3,1,12,0
2019,HEUDIASYC,167,87,59,3,5,0,13,0
2020,HEUDIASYC,139,68,52,5,2,2,10,0
2016,I3S,255,163,62,8,5,1,15,1
2017,I3S,283,132,111,9,8,2,20,1
2018,I3S,262,162,71,4,4,1,17,3
2019,I3S,294,178,85,11,4,4,11,1
2020,I3S,291,156,99,12,3,3,14,4
2016,ICUBE,315,121,137,10,2,0,45,0
2017,ICUBE,330,118,156,16,2,3,35,0
2018,ICUBE,348,114,176,7,6,0,44,1
2019,ICUBE,456,133,248,19,4,5,47,0
2020,ICUBE,396,115,231,14,4,2,29,1
