,AF,ZA,AX,AL,DZ,DE,DD,AD,AO,AI,AQ,AG,AN,SA,AR,AM,AW,AU,AT,AZ,BS,BH,BD,BB,BY,BE,BZ,BJ,BM,BT,BO,BQ,BA,BW,BV,BR,BN,BG,BF,BI,CV,KY,KH,CM,CA,CL,CN,CX,CY,CC,CO,KM,CG,CD,CK,KR,KP,CR,CI,HR,CU,CW,DK,DJ,DO,DM,EG,SV,AE,EC,ER,ES,EE,US,ET,FK,FO,FJ,FI,FR,GA,GM,GE,GS,GH,GI,GR,GD,GL,GP,GU,GT,GG,GN,GW,GQ,GY,GF,HT,HM,HN,HK,HU,IM,UM,VG,VI,IN,IO,ID,IR,IQ,IE,IS,IL,IT,JM,JP,JE,JO,KZ,KE,KG,KI,KW,LA,LS,LV,LB,LR,LY,LI,LT,LU,MO,MK,MG,MY,MW,MV,ML,MT,MP,MA,MH,MQ,MU,MR,YT,MX,FM,MD,MC,MN,ME,MS,MZ,MM,,NR,NP,NI,NE,NG,NU,NF,NO,NC,NZ,OM,UG,UZ,PK,PW,PS,PA,PG,PY,NL,XX,ZZ,PE,PH,PN,PL,PF,PR,PT,QA,SY,CF,RE,RO,GB,RU,RW,EH,BL,KN,SM,MF,SX,PM,VC,SH,LC,SB,WS,AS,ST,SN,RS,SC,SL,SG,SK,SI,SO,SD,SS,LK,SE,CH,SR,SJ,SZ,TJ,TW,TZ,TD,CS,CZ,TF,TH,TL,TG,TK,TO,TT,TN,TM,TC,TR,TV,UA,SU,UY,VU,VA,VE,VN,VD,WF,YE,YU,ZR,ZM,ZW
CRAN,0,0,0,0,36,43,0,0,0,0,0,0,0,9,6,0,0,57,16,0,0,0,1,0,29,83,0,0,0,0,0,0,0,0,0,30,0,2,0,0,0,0,0,6,33,27,76,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,2,0,0,1,0,24,0,80,0,0,0,0,7,1924,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,31,0,0,6,0,10,0,0,71,0,1,0,0,1,0,0,0,0,0,0,4,2,0,0,0,0,111,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,41,0,0,0,0,0,16,0,0,10,1,0,0,1,42,51,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,2,0,2,0,0,16,10,0,0,0,0,0,2,0,4,0,0,11,0,0,0,0,0,98,0,0,2,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0
CRIL,0,1,0,0,13,7,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,307,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
CRISTAL,0,4,0,0,51,76,0,0,0,0,0,0,0,3,2,0,0,25,37,0,0,0,1,0,0,284,0,3,0,0,0,0,0,0,0,41,0,1,0,0,0,0,0,10,147,31,141,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,12,0,0,0,2,0,2,0,0,60,2,217,1,0,0,0,18,3039,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,8,0,1,4,0,14,1,41,98,0,52,0,0,0,1,0,0,2,0,0,0,6,0,0,0,1,13,0,0,0,1,0,0,0,0,0,19,0,1,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,2,0,0,0,0,0,53,0,0,0,2,0,14,2,0,18,2,0,0,2,13,155,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,1,8,0,0,0,0,40,37,0,0,0,0,4,1,0,0,18,0,1,0,0,0,0,0,65,0,0,6,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0
ETIS,0,0,0,0,6,23,0,0,0,0,0,0,0,0,14,0,0,3,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,9,0,6,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,9,0,49,0,0,0,0,7,588,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,8,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
GIPSA,0,2,0,0,10,67,0,0,0,0,0,0,0,1,14,0,0,40,6,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,34,0,0,1,0,0,0,0,2,56,13,101,0,0,0,9,0,0,0,0,3,0,0,1,5,0,0,7,0,0,0,1,0,1,6,0,48,0,159,0,0,0,1,1,2441,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,16,0,0,0,0,7,0,0,37,0,6,17,17,75,0,39,0,0,3,0,0,0,0,0,0,1,6,0,0,0,0,1,0,3,1,0,0,0,0,0,0,6,0,0,0,0,0,35,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,39,0,0,5,0,0,4,0,0,3,0,0,0,4,32,38,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,13,19,0,0,0,0,2,0,0,0,9,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0
GREYC,0,1,0,0,35,26,0,0,0,0,0,0,0,2,3,0,0,3,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,11,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,26,0,28,0,0,0,0,2,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,30,0,15,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,2,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HEUDIASYC,0,1,0,3,37,9,0,0,0,0,0,0,0,1,2,0,0,4,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,12,0,0,0,0,0,887,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,9,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
IPAL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3S,0,0,0,0,2,50,0,0,0,0,0,0,0,3,15,0,0,21,17,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,75,0,0,1,0,0,0,0,2,65,16,55,0,2,0,9,0,0,0,0,3,0,0,0,0,0,0,25,0,0,0,1,0,1,0,0,33,2,66,0,0,0,0,4,1574,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,1,4,0,18,4,1,143,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,3,3,0,0,0,0,0,0,0,0,25,0,0,0,0,0,11,0,0,10,0,0,0,10,17,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,5,0,1,0,0,0,0,16,18,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,1,9,0,0,0,0,0,0,0
IRIT,0,8,0,3,64,129,0,0,0,0,0,0,0,10,33,6,0,47,54,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,44,0,10,5,0,0,0,0,31,93,31,44,0,4,0,7,0,0,0,0,1,0,2,0,2,0,0,23,0,0,0,2,0,2,13,0,100,2,151,1,0,0,0,23,3590,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,3,0,0,0,4,5,0,0,0,0,17,0,0,1,1,17,2,5,99,0,30,0,1,0,0,0,0,0,0,0,0,4,0,0,0,3,13,0,0,13,4,0,0,6,0,0,53,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,18,0,0,0,2,0,6,0,0,0,45,0,0,0,0,0,15,0,0,46,4,0,0,5,8,214,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,33,0,2,0,0,0,0,27,35,0,0,0,0,2,0,0,0,12,0,5,0,0,0,0,0,143,0,0,18,0,0,0,1,0,0,2,35,0,0,0,0,0,0,0
